timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-19 09:51:40,0,0.10,48.35,7837.7,0.62,1.92MB / 2.15MB,16.9MB / 28.5MB
2025-12-19 09:54:37,2,0.09,45.79,7837.7,0.58,2MB / 2.25MB,16.9MB / 28.5MB
2025-12-19 09:54:52,3,0.11,45.79,7837.7,0.58,2.01MB / 2.25MB,16.9MB / 28.5MB
2025-12-19 09:55:08,3,0.06,45.79,7837.7,0.58,2.02MB / 2.26MB,16.9MB / 28.5MB
2025-12-19 09:55:23,3,0.13,45.79,7837.7,0.58,2.02MB / 2.27MB,16.9MB / 28.5MB
2025-12-19 09:55:38,3,0.50,45.79,7837.7,0.58,2.03MB / 2.28MB,16.9MB / 28.5MB
2025-12-19 09:55:53,4,0.13,45.79,7837.7,0.58,2.04MB / 2.29MB,16.9MB / 28.5MB
2025-12-19 09:56:08,4,0.11,45.8,7837.7,0.58,2.05MB / 2.3MB,16.9MB / 28.5MB
2025-12-19 09:56:23,4,0.04,45.79,7837.7,0.58,2.05MB / 2.3MB,16.9MB / 28.5MB
2025-12-19 09:56:38,4,0.04,45.8,7837.7,0.58,2.06MB / 2.31MB,16.9MB / 28.5MB
2025-12-19 09:56:53,5,0.05,45.79,7837.7,0.58,2.07MB / 2.32MB,16.9MB / 28.5MB
2025-12-19 09:57:08,5,0.04,45.79,7837.7,0.58,2.08MB / 2.33MB,16.9MB / 28.5MB
2025-12-19 09:57:23,5,0.04,45.79,7837.7,0.58,2.08MB / 2.34MB,16.9MB / 28.5MB
2025-12-19 09:57:38,5,0.07,45.79,7837.7,0.58,2.09MB / 2.34MB,16.9MB / 28.5MB
2025-12-19 09:57:53,6,0.05,45.79,7837.7,0.58,2.1MB / 2.35MB,16.9MB / 28.5MB
2025-12-19 09:58:08,6,0.08,45.8,7837.7,0.58,2.11MB / 2.36MB,16.9MB / 28.5MB
2025-12-19 09:58:23,6,0.04,45.79,7837.7,0.58,2.11MB / 2.37MB,16.9MB / 28.5MB
2025-12-19 09:58:38,6,0.04,45.79,7837.7,0.58,2.12MB / 2.38MB,16.9MB / 28.5MB
2025-12-19 09:58:53,7,0.05,45.8,7837.7,0.58,2.13MB / 2.38MB,16.9MB / 28.5MB
2025-12-19 09:59:08,7,0.05,45.79,7837.7,0.58,2.13MB / 2.39MB,16.9MB / 28.5MB
2025-12-19 09:59:23,7,0.04,45.79,7837.7,0.58,2.14MB / 2.4MB,16.9MB / 28.5MB
2025-12-19 09:59:38,7,0.04,45.8,7837.7,0.58,2.15MB / 2.41MB,16.9MB / 28.5MB
2025-12-19 09:59:53,8,0.03,45.79,7837.7,0.58,2.16MB / 2.42MB,16.9MB / 28.5MB
2025-12-19 10:00:08,8,0.04,45.79,7837.7,0.58,2.16MB / 2.43MB,16.9MB / 28.5MB
2025-12-19 10:00:23,8,0.08,45.8,7837.7,0.58,2.17MB / 2.43MB,16.9MB / 28.5MB
2025-12-19 10:00:38,8,0.05,45.79,7837.7,0.58,2.18MB / 2.44MB,16.9MB / 28.5MB
2025-12-19 10:00:53,9,0.05,45.79,7837.7,0.58,2.19MB / 2.45MB,16.9MB / 28.5MB
2025-12-19 10:01:08,9,0.08,45.8,7837.7,0.58,2.2MB / 2.46MB,16.9MB / 28.5MB
2025-12-19 10:01:23,9,0.07,45.79,7837.7,0.58,2.2MB / 2.47MB,16.9MB / 28.5MB
2025-12-19 10:01:38,9,0.08,45.79,7837.7,0.58,2.21MB / 2.47MB,16.9MB / 28.5MB
2025-12-19 10:01:54,10,0.05,45.79,7837.7,0.58,2.22MB / 2.48MB,16.9MB / 28.5MB
2025-12-19 10:02:09,10,0.04,45.79,7837.7,0.58,2.23MB / 2.49MB,16.9MB / 28.5MB
2025-12-19 10:02:24,10,0.13,45.79,7837.7,0.58,2.23MB / 2.5MB,16.9MB / 28.5MB
2025-12-19 10:02:39,10,0.04,45.8,7837.7,0.58,2.24MB / 2.51MB,16.9MB / 28.5MB
2025-12-19 10:02:53,11,0.05,45.79,7837.7,0.58,2.25MB / 2.51MB,16.9MB / 28.5MB
2025-12-19 10:03:08,11,0.07,45.79,7837.7,0.58,2.26MB / 2.52MB,16.9MB / 28.5MB
2025-12-19 10:03:23,11,0.14,45.79,7837.7,0.58,2.26MB / 2.53MB,16.9MB / 28.5MB
2025-12-19 10:03:38,11,0.05,45.8,7837.7,0.58,2.27MB / 2.54MB,16.9MB / 28.5MB
2025-12-19 10:03:53,12,0.09,45.79,7837.7,0.58,2.28MB / 2.55MB,16.9MB / 28.5MB
2025-12-19 10:04:08,12,0.06,45.8,7837.7,0.58,2.29MB / 2.56MB,16.9MB / 28.5MB
2025-12-19 10:04:23,12,0.04,45.79,7837.7,0.58,2.29MB / 2.56MB,16.9MB / 28.5MB
2025-12-19 10:04:38,12,0.04,45.8,7837.7,0.58,2.3MB / 2.57MB,16.9MB / 28.5MB
2025-12-19 10:04:53,13,0.06,45.79,7837.7,0.58,2.31MB / 2.58MB,16.9MB / 28.5MB
