timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-19 09:51:40,0,10.79,66.62,7837.7,0.85,23.2MB / 24.6MB,422kB / 12.3kB
2025-12-19 09:54:37,2,20.62,67.26,7837.7,0.86,44.5MB / 47.2MB,422kB / 12.3kB
2025-12-19 09:54:52,3,7.57,67.34,7837.7,0.86,46.4MB / 49.3MB,422kB / 12.3kB
2025-12-19 09:55:08,3,19.15,67.39,7837.7,0.86,48.3MB / 51.3MB,422kB / 12.3kB
2025-12-19 09:55:23,3,9.31,67.68,7837.7,0.86,50.1MB / 53.2MB,422kB / 12.3kB
2025-12-19 09:55:38,3,27.86,67.52,7837.7,0.86,52MB / 55.1MB,422kB / 12.3kB
2025-12-19 09:55:53,4,15.46,67.55,7837.7,0.86,53.8MB / 57.1MB,422kB / 12.3kB
2025-12-19 09:56:08,4,15.21,67.59,7837.7,0.86,55.7MB / 59.1MB,422kB / 12.3kB
2025-12-19 09:56:23,4,9.30,67.91,7837.7,0.87,57.5MB / 61MB,422kB / 12.3kB
2025-12-19 09:56:38,4,9.62,67.71,7837.7,0.86,59.3MB / 63MB,422kB / 12.3kB
2025-12-19 09:56:53,5,7.74,67.75,7837.7,0.86,61.2MB / 64.9MB,422kB / 12.3kB
2025-12-19 09:57:08,5,7.84,67.8,7837.7,0.87,63.1MB / 66.9MB,422kB / 12.3kB
2025-12-19 09:57:23,5,8.68,67.87,7837.7,0.87,64.9MB / 68.9MB,422kB / 12.3kB
2025-12-19 09:57:38,5,11.94,67.9,7837.7,0.87,66.8MB / 70.9MB,422kB / 12.3kB
2025-12-19 09:57:53,6,9.97,67.95,7837.7,0.87,68.7MB / 72.9MB,422kB / 12.3kB
2025-12-19 09:58:08,6,10.52,68.01,7837.7,0.87,70.5MB / 74.9MB,422kB / 12.3kB
2025-12-19 09:58:23,6,7.52,68.06,7837.7,0.87,72.4MB / 76.8MB,422kB / 24.6kB
2025-12-19 09:58:38,6,8.27,68.11,7837.7,0.87,74.2MB / 78.8MB,422kB / 36.9kB
2025-12-19 09:58:53,7,7.92,68.2,7837.7,0.87,76.1MB / 80.8MB,422kB / 36.9kB
2025-12-19 09:59:08,7,8.42,68.22,7837.7,0.87,78MB / 82.8MB,422kB / 49.2kB
2025-12-19 09:59:23,7,7.54,68.29,7837.7,0.87,79.8MB / 84.7MB,422kB / 49.2kB
2025-12-19 09:59:38,7,7.71,68.33,7837.7,0.87,81.7MB / 86.7MB,422kB / 49.2kB
2025-12-19 09:59:53,8,9.29,68.38,7837.7,0.87,83.5MB / 88.7MB,422kB / 49.2kB
2025-12-19 10:00:08,8,10.28,68.44,7837.7,0.87,85.4MB / 90.6MB,422kB / 61.4kB
2025-12-19 10:00:23,8,9.79,68.48,7837.7,0.87,87.2MB / 92.6MB,422kB / 61.4kB
2025-12-19 10:00:38,8,9.86,68.53,7837.7,0.87,89.1MB / 94.6MB,422kB / 61.4kB
2025-12-19 10:00:53,9,12.77,68.59,7837.7,0.88,91MB / 96.6MB,422kB / 61.4kB
2025-12-19 10:01:08,9,7.65,68.64,7837.7,0.88,92.8MB / 98.6MB,422kB / 61.4kB
2025-12-19 10:01:23,9,19.55,68.72,7837.7,0.88,94.7MB / 101MB,422kB / 61.4kB
2025-12-19 10:01:38,9,12.55,68.75,7837.7,0.88,96.6MB / 102MB,422kB / 61.4kB
2025-12-19 10:01:54,10,23.01,68.79,7837.7,0.88,98.4MB / 104MB,422kB / 61.4kB
2025-12-19 10:02:09,10,7.62,68.85,7837.7,0.88,100MB / 106MB,422kB / 61.4kB
2025-12-19 10:02:24,10,7.30,68.9,7837.7,0.88,102MB / 108MB,422kB / 61.4kB
2025-12-19 10:02:39,10,11.48,68.96,7837.7,0.88,104MB / 110MB,422kB / 61.4kB
2025-12-19 10:02:53,11,9.02,69,7837.7,0.88,106MB / 112MB,422kB / 73.7kB
2025-12-19 10:03:08,11,9.07,69.06,7837.7,0.88,108MB / 114MB,422kB / 73.7kB
2025-12-19 10:03:23,11,7.96,69.11,7837.7,0.88,110MB / 116MB,422kB / 73.7kB
2025-12-19 10:03:38,11,9.29,69.15,7837.7,0.88,111MB / 118MB,422kB / 73.7kB
2025-12-19 10:03:53,12,9.35,69.22,7837.7,0.88,113MB / 120MB,422kB / 73.7kB
2025-12-19 10:04:08,12,8.82,69.26,7837.7,0.88,115MB / 122MB,422kB / 73.7kB
2025-12-19 10:04:23,12,9.75,69.55,7837.7,0.89,117MB / 124MB,422kB / 73.7kB
2025-12-19 10:04:38,12,10.31,69.38,7837.7,0.89,119MB / 126MB,422kB / 73.7kB
2025-12-19 10:04:53,13,13.81,69.42,7837.7,0.89,121MB / 128MB,422kB / 73.7kB
2025-12-19 10:05:08,13,11.74,69.46,7837.7,0.89,123MB / 130MB,422kB / 73.7kB
