timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-19 09:51:40,0,99.57,263.1,7837.7,3.36,17.7MB / 1.58MB,125MB / 111kB
2025-12-19 09:54:37,2,94.98,265.1,7837.7,3.38,21MB / 3.41MB,125MB / 258kB
2025-12-19 09:54:52,3,96.61,265.3,7837.7,3.38,21.4MB / 3.68MB,125MB / 270kB
2025-12-19 09:55:08,3,138.52,266.5,7837.7,3.40,21.8MB / 3.9MB,125MB / 283kB
2025-12-19 09:55:23,3,99.42,267.2,7837.7,3.41,22.2MB / 4.11MB,125MB / 295kB
2025-12-19 09:55:38,3,100.01,267.1,7837.7,3.41,22.5MB / 4.32MB,125MB / 307kB
2025-12-19 09:55:53,4,100.98,267.1,7837.7,3.41,22.9MB / 4.55MB,125MB / 319kB
2025-12-19 09:56:08,4,99.41,267.3,7837.7,3.41,23.2MB / 4.71MB,125MB / 332kB
2025-12-19 09:56:23,4,95.15,266.7,7837.7,3.40,23.6MB / 4.95MB,125MB / 344kB
2025-12-19 09:56:38,4,96.76,267.6,7837.7,3.41,24MB / 5.2MB,125MB / 356kB
2025-12-19 09:56:53,5,99.42,267.8,7837.7,3.42,24.4MB / 5.45MB,125MB / 369kB
2025-12-19 09:57:08,5,131.53,268,7837.7,3.42,24.8MB / 5.7MB,125MB / 381kB
2025-12-19 09:57:23,5,104.02,268.4,7837.7,3.42,25.2MB / 5.95MB,125MB / 393kB
2025-12-19 09:57:38,5,129.43,268.3,7837.7,3.42,25.6MB / 6.19MB,125MB / 406kB
2025-12-19 09:57:53,6,99.86,268.4,7837.7,3.43,26MB / 6.43MB,125MB / 418kB
2025-12-19 09:58:08,6,99.71,268.9,7837.7,3.43,26.4MB / 6.68MB,125MB / 418kB
2025-12-19 09:58:23,6,95.88,268.9,7837.7,3.43,26.8MB / 6.93MB,125MB / 430kB
2025-12-19 09:58:38,6,99.27,269.6,7837.7,3.44,27.3MB / 7.19MB,125MB / 430kB
2025-12-19 09:58:53,7,97.95,269.5,7837.7,3.44,27.7MB / 7.44MB,125MB / 442kB
