timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-19 09:51:40,0,1.19,69.16,7837.7,0.88,1.08MB / 1.22MB,9.52MB / 0B
2025-12-19 09:54:37,2,7.31,71.07,7837.7,0.91,2.45MB / 2.76MB,11.2MB / 0B
2025-12-19 09:54:52,3,1.22,70.85,7837.7,0.90,2.64MB / 2.97MB,11.2MB / 0B
2025-12-19 09:55:08,3,1.35,70.85,7837.7,0.90,2.84MB / 3.2MB,11.2MB / 0B
2025-12-19 09:55:23,3,1.90,70.87,7837.7,0.90,2.99MB / 3.37MB,11.2MB / 0B
2025-12-19 09:55:38,3,1.62,70.88,7837.7,0.90,3.17MB / 3.57MB,11.2MB / 0B
2025-12-19 09:55:53,4,1.72,70.9,7837.7,0.90,3.33MB / 3.75MB,11.2MB / 0B
2025-12-19 09:56:08,4,1.12,70.9,7837.7,0.90,3.48MB / 3.92MB,11.2MB / 0B
2025-12-19 09:56:23,4,1.58,70.92,7837.7,0.90,3.63MB / 4.09MB,11.2MB / 0B
2025-12-19 09:56:38,4,1.33,70.94,7837.7,0.91,3.81MB / 4.29MB,11.2MB / 8.19kB
2025-12-19 09:56:53,5,1.20,70.95,7837.7,0.91,4MB / 4.51MB,11.2MB / 8.19kB
2025-12-19 09:57:08,5,0.87,70.96,7837.7,0.91,4.2MB / 4.73MB,11.2MB / 8.19kB
2025-12-19 09:57:23,5,1.47,71,7837.7,0.91,4.41MB / 4.97MB,11.2MB / 8.19kB
2025-12-19 09:57:38,5,1.33,71,7837.7,0.91,4.62MB / 5.2MB,11.2MB / 8.19kB
2025-12-19 09:57:53,6,1.50,71.02,7837.7,0.91,4.8MB / 5.4MB,11.2MB / 8.19kB
2025-12-19 09:58:08,6,1.25,71.02,7837.7,0.91,5MB / 5.62MB,11.2MB / 8.19kB
2025-12-19 09:58:23,6,1.25,71.04,7837.7,0.91,5.19MB / 5.84MB,11.2MB / 8.19kB
2025-12-19 09:58:38,6,1.36,71.04,7837.7,0.91,5.39MB / 6.07MB,11.2MB / 8.19kB
2025-12-19 09:58:53,7,1.28,71.2,7837.7,0.91,5.58MB / 6.28MB,11.4MB / 8.19kB
2025-12-19 09:59:08,7,1.59,71.22,7837.7,0.91,5.79MB / 6.52MB,11.4MB / 8.19kB
2025-12-19 09:59:23,7,2.02,71.23,7837.7,0.91,5.99MB / 6.74MB,11.4MB / 8.19kB
2025-12-19 09:59:38,7,1.83,71.24,7837.7,0.91,6.2MB / 6.98MB,11.4MB / 16.4kB
2025-12-19 09:59:53,8,1.18,71.25,7837.7,0.91,6.4MB / 7.2MB,11.4MB / 16.4kB
2025-12-19 10:00:08,8,1.44,71.26,7837.7,0.91,6.61MB / 7.44MB,11.4MB / 16.4kB
2025-12-19 10:00:23,8,0.75,71.27,7837.7,0.91,6.82MB / 7.67MB,11.4MB / 16.4kB
2025-12-19 10:00:38,8,0.73,71.28,7837.7,0.91,7.02MB / 7.9MB,11.4MB / 16.4kB
2025-12-19 10:00:53,9,2.73,71.29,7837.7,0.91,7.22MB / 8.13MB,11.4MB / 16.4kB
