rules-processing,2025-12-23_14:45:02,101.46%,242.8MiB / 7.654GiB,3.10%,2.81MB / 1.25MB,136MB / 295kB
rules-processing,2025-12-23_14:45:13,88.35%,242.3MiB / 7.654GiB,3.09%,2.95MB / 1.31MB,136MB / 307kB
rules-processing,2025-12-23_14:45:25,105.98%,243.1MiB / 7.654GiB,3.10%,3.09MB / 1.37MB,136MB / 307kB
rules-processing,2025-12-23_14:45:37,95.98%,243.3MiB / 7.654GiB,3.10%,3.23MB / 1.43MB,136MB / 319kB
rules-processing,2025-12-23_14:45:48,101.33%,243.7MiB / 7.654GiB,3.11%,3.37MB / 1.49MB,136MB / 332kB
rules-processing,2025-12-23_14:46:00,90.53%,243.6MiB / 7.654GiB,3.11%,3.53MB / 1.56MB,136MB / 344kB
rules-processing,2025-12-23_14:46:12,106.28%,243.8MiB / 7.654GiB,3.11%,3.67MB / 1.62MB,136MB / 344kB
rules-processing,2025-12-23_14:46:24,107.63%,243MiB / 7.654GiB,3.10%,3.81MB / 1.68MB,136MB / 356kB
rules-processing,2025-12-23_14:46:36,92.13%,243.6MiB / 7.654GiB,3.11%,3.94MB / 1.73MB,136MB / 369kB
rules-processing,2025-12-23_14:46:47,105.70%,243.9MiB / 7.654GiB,3.11%,4.09MB / 1.81MB,136MB / 369kB
rules-processing,2025-12-23_14:46:59,98.08%,256.8MiB / 7.654GiB,3.28%,4.25MB / 1.88MB,136MB / 381kB
rules-processing,2025-12-23_14:47:11,103.34%,279.1MiB / 7.654GiB,3.56%,4.4MB / 1.94MB,136MB / 393kB
rules-processing,2025-12-23_14:47:23,103.11%,279.5MiB / 7.654GiB,3.57%,4.54MB / 2MB,136MB / 406kB
rules-processing,2025-12-23_14:47:35,106.96%,279.9MiB / 7.654GiB,3.57%,4.68MB / 2.06MB,136MB / 406kB
rules-processing,2025-12-23_14:47:47,103.35%,279.8MiB / 7.654GiB,3.57%,4.82MB / 2.13MB,136MB / 418kB
rules-processing,2025-12-23_14:47:58,78.54%,280.4MiB / 7.654GiB,3.58%,4.96MB / 2.19MB,136MB / 430kB
