rules-processing,2026-01-02_13:02:27,0.31%,233.6MiB / 7.654GiB,2.98%,46.7kB / 49.6kB,120MB / 61.4kB
archive-sync,2026-01-02_13:02:27,0.19%,85.86MiB / 7.654GiB,1.10%,46.3kB / 46.2kB,32.6MB / 65.5kB
archive-sync-ols,2026-01-02_13:02:27,0.17%,69.65MiB / 7.654GiB,0.89%,45.3kB / 48.3kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:02:27,1.94%,59.57MiB / 7.654GiB,0.76%,47.5kB / 49.4kB,12.5MB / 65.5kB
rules-uploader,2026-01-02_13:02:27,0.17%,71.44MiB / 7.654GiB,0.91%,45.4kB / 47.8kB,9.42MB / 65.5kB
rules-processing,2026-01-02_13:02:34,99.00%,271MiB / 7.654GiB,3.46%,75.9kB / 57.8kB,135MB / 61.4kB
archive-sync,2026-01-02_13:02:34,15.68%,86.32MiB / 7.654GiB,1.10%,295kB / 311kB,32.7MB / 65.5kB
archive-sync-ols,2026-01-02_13:02:34,1.68%,69.67MiB / 7.654GiB,0.89%,47.7kB / 50.1kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:02:34,8.52%,59.88MiB / 7.654GiB,0.76%,295kB / 110kB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:02:34,0.26%,73.05MiB / 7.654GiB,0.93%,48kB / 49.9kB,11.3MB / 65.5kB
rules-processing,2026-01-02_13:02:42,88.75%,285.7MiB / 7.654GiB,3.65%,173kB / 96.1kB,136MB / 73.7kB
archive-sync,2026-01-02_13:02:42,25.46%,86.61MiB / 7.654GiB,1.11%,1.27MB / 1.33MB,32.7MB / 65.5kB
archive-sync-ols,2026-01-02_13:02:42,1.51%,69.66MiB / 7.654GiB,0.89%,51.4kB / 55kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:02:42,19.79%,60.41MiB / 7.654GiB,0.77%,1.23MB / 344kB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:02:42,4.22%,73.26MiB / 7.654GiB,0.93%,66.6kB / 71.7kB,11.3MB / 65.5kB
rules-processing,2026-01-02_13:02:49,103.55%,282.9MiB / 7.654GiB,3.61%,250kB / 127kB,136MB / 86kB
archive-sync,2026-01-02_13:02:49,31.31%,86.71MiB / 7.654GiB,1.11%,2.01MB / 2.1MB,32.7MB / 65.5kB
archive-sync-ols,2026-01-02_13:02:49,0.11%,69.66MiB / 7.654GiB,0.89%,54.8kB / 57kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:02:49,17.98%,60.21MiB / 7.654GiB,0.77%,1.91MB / 510kB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:02:49,0.85%,73.27MiB / 7.654GiB,0.93%,86.8kB / 91.9kB,11.3MB / 65.5kB
rules-processing,2026-01-02_13:02:57,96.46%,286MiB / 7.654GiB,3.65%,374kB / 188kB,136MB / 86kB
archive-sync,2026-01-02_13:02:57,15.30%,86.78MiB / 7.654GiB,1.11%,2.88MB / 3.01MB,32.7MB / 65.5kB
archive-sync-ols,2026-01-02_13:02:57,0.09%,69.66MiB / 7.654GiB,0.89%,65.8kB / 62.4kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:02:57,12.06%,60.26MiB / 7.654GiB,0.77%,2.72MB / 715kB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:02:57,6.17%,73.31MiB / 7.654GiB,0.94%,136kB / 140kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:03:04,93.23%,286.1MiB / 7.654GiB,3.65%,480kB / 238kB,136MB / 111kB
archive-sync,2026-01-02_13:03:04,15.98%,87.11MiB / 7.654GiB,1.11%,3.72MB / 3.9MB,32.7MB / 77.8kB
archive-sync-ols,2026-01-02_13:03:04,0.14%,69.66MiB / 7.654GiB,0.89%,70.5kB / 64.9kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:03:04,9.79%,60.31MiB / 7.654GiB,0.77%,3.51MB / 912kB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:03:04,0.29%,73.32MiB / 7.654GiB,0.94%,163kB / 169kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:03:12,90.07%,286.5MiB / 7.654GiB,3.66%,586kB / 288kB,136MB / 123kB
archive-sync,2026-01-02_13:03:12,18.77%,86.91MiB / 7.654GiB,1.11%,4.61MB / 4.85MB,32.7MB / 77.8kB
archive-sync-ols,2026-01-02_13:03:12,0.22%,69.66MiB / 7.654GiB,0.89%,74.6kB / 70.3kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:03:12,14.49%,60.37MiB / 7.654GiB,0.77%,4.35MB / 1.12MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:03:12,4.96%,73.38MiB / 7.654GiB,0.94%,206kB / 217kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:03:19,104.99%,287.5MiB / 7.654GiB,3.67%,693kB / 338kB,136MB / 135kB
archive-sync,2026-01-02_13:03:19,15.61%,87.25MiB / 7.654GiB,1.11%,5.49MB / 5.78MB,32.7MB / 90.1kB
archive-sync-ols,2026-01-02_13:03:19,0.10%,69.66MiB / 7.654GiB,0.89%,79kB / 72.6kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:03:19,10.88%,60.41MiB / 7.654GiB,0.77%,5.18MB / 1.33MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:03:19,2.29%,73.38MiB / 7.654GiB,0.94%,240kB / 254kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:03:26,98.64%,288.4MiB / 7.654GiB,3.68%,817kB / 401kB,136MB / 147kB
archive-sync,2026-01-02_13:03:26,14.05%,87.03MiB / 7.654GiB,1.11%,6.34MB / 6.68MB,32.7MB / 90.1kB
archive-sync-ols,2026-01-02_13:03:26,3.40%,69.67MiB / 7.654GiB,0.89%,84.2kB / 78kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:03:26,11.18%,60.45MiB / 7.654GiB,0.77%,5.98MB / 1.53MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:03:26,3.76%,73.4MiB / 7.654GiB,0.94%,284kB / 303kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:03:33,102.53%,288.4MiB / 7.654GiB,3.68%,927kB / 458kB,136MB / 147kB
archive-sync,2026-01-02_13:03:33,16.25%,87.09MiB / 7.654GiB,1.11%,7.24MB / 7.64MB,32.7MB / 90.1kB
archive-sync-ols,2026-01-02_13:03:33,0.07%,69.66MiB / 7.654GiB,0.89%,87.9kB / 80.7kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:03:33,10.23%,60.5MiB / 7.654GiB,0.77%,6.83MB / 1.74MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:03:33,4.34%,73.41MiB / 7.654GiB,0.94%,333kB / 357kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:03:41,104.71%,287.6MiB / 7.654GiB,3.67%,1.09MB / 539kB,136MB / 160kB
archive-sync,2026-01-02_13:03:41,14.65%,87.12MiB / 7.654GiB,1.11%,8.13MB / 8.57MB,32.7MB / 90.1kB
archive-sync-ols,2026-01-02_13:03:41,0.14%,69.66MiB / 7.654GiB,0.89%,99.4kB / 85.8kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:03:41,11.07%,60.52MiB / 7.654GiB,0.77%,7.66MB / 1.95MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:03:41,1.74%,73.44MiB / 7.654GiB,0.94%,391kB / 414kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:03:48,102.59%,288MiB / 7.654GiB,3.67%,1.17MB / 578kB,136MB / 160kB
archive-sync,2026-01-02_13:03:48,40.34%,87.16MiB / 7.654GiB,1.11%,8.83MB / 9.32MB,32.7MB / 90.1kB
archive-sync-ols,2026-01-02_13:03:48,0.18%,69.66MiB / 7.654GiB,0.89%,103kB / 88.5kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:03:48,23.39%,60.79MiB / 7.654GiB,0.78%,8.33MB / 2.11MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:03:48,0.29%,73.44MiB / 7.654GiB,0.94%,417kB / 443kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:03:56,105.50%,287.8MiB / 7.654GiB,3.67%,1.27MB / 622kB,136MB / 172kB
archive-sync,2026-01-02_13:03:56,26.22%,87.18MiB / 7.654GiB,1.11%,9.67MB / 10.2MB,32.7MB / 90.1kB
archive-sync-ols,2026-01-02_13:03:56,0.26%,69.67MiB / 7.654GiB,0.89%,107kB / 93.8kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:03:56,14.87%,60.57MiB / 7.654GiB,0.77%,9.11MB / 2.31MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:03:56,3.21%,73.45MiB / 7.654GiB,0.94%,444kB / 474kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:04:04,99.13%,288MiB / 7.654GiB,3.68%,1.37MB / 670kB,136MB / 172kB
archive-sync,2026-01-02_13:04:04,22.48%,87.21MiB / 7.654GiB,1.11%,10.5MB / 11.1MB,32.7MB / 90.1kB
archive-sync-ols,2026-01-02_13:04:04,0.10%,69.66MiB / 7.654GiB,0.89%,110kB / 96.3kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:04:04,13.78%,60.61MiB / 7.654GiB,0.77%,9.9MB / 2.51MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:04:04,1.26%,73.45MiB / 7.654GiB,0.94%,478kB / 511kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:04:11,97.39%,288.2MiB / 7.654GiB,3.68%,1.47MB / 722kB,136MB / 184kB
archive-sync,2026-01-02_13:04:11,17.03%,87.26MiB / 7.654GiB,1.11%,11.4MB / 12MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:04:11,0.11%,69.66MiB / 7.654GiB,0.89%,115kB / 102kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:04:11,15.26%,60.62MiB / 7.654GiB,0.77%,10.6MB / 2.7MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:04:11,2.45%,73.47MiB / 7.654GiB,0.94%,514kB / 551kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:04:18,103.34%,288.1MiB / 7.654GiB,3.68%,1.6MB / 785kB,136MB / 184kB
archive-sync,2026-01-02_13:04:18,18.48%,87.25MiB / 7.654GiB,1.11%,12.3MB / 13MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:04:18,0.09%,69.67MiB / 7.654GiB,0.89%,119kB / 104kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:04:18,15.55%,60.55MiB / 7.654GiB,0.77%,11.6MB / 2.93MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:04:18,5.03%,73.48MiB / 7.654GiB,0.94%,555kB / 597kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:04:26,92.76%,280.9MiB / 7.654GiB,3.58%,1.72MB / 845kB,136MB / 197kB
archive-sync,2026-01-02_13:04:26,18.73%,82.18MiB / 7.654GiB,1.05%,13.2MB / 13.9MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:04:26,0.27%,69.65MiB / 7.654GiB,0.89%,123kB / 110kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:04:26,15.26%,60.58MiB / 7.654GiB,0.77%,12.4MB / 3.15MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:04:26,1.48%,73.13MiB / 7.654GiB,0.93%,597kB / 646kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:04:34,97.76%,280.6MiB / 7.654GiB,3.58%,1.83MB / 899kB,136MB / 197kB
archive-sync,2026-01-02_13:04:34,13.20%,81.98MiB / 7.654GiB,1.05%,14MB / 14.8MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:04:34,3.94%,69.65MiB / 7.654GiB,0.89%,126kB / 113kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:04:34,13.02%,60.59MiB / 7.654GiB,0.77%,13.3MB / 3.35MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:04:34,0.23%,73.13MiB / 7.654GiB,0.93%,631kB / 683kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:04:41,105.23%,280.7MiB / 7.654GiB,3.58%,1.95MB / 960kB,136MB / 209kB
archive-sync,2026-01-02_13:04:41,14.03%,81.99MiB / 7.654GiB,1.05%,14.8MB / 15.6MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:04:41,0.15%,69.65MiB / 7.654GiB,0.89%,130kB / 118kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:04:41,10.72%,60.61MiB / 7.654GiB,0.77%,14.1MB / 3.55MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:04:41,1.79%,73.14MiB / 7.654GiB,0.93%,672kB / 728kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:04:48,93.53%,282.1MiB / 7.654GiB,3.60%,2.05MB / 1.01MB,136MB / 209kB
archive-sync,2026-01-02_13:04:48,22.37%,82.11MiB / 7.654GiB,1.05%,15.7MB / 16.6MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:04:48,0.16%,69.65MiB / 7.654GiB,0.89%,133kB / 120kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:04:48,13.03%,60.63MiB / 7.654GiB,0.77%,14.8MB / 3.75MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:04:48,0.25%,73.14MiB / 7.654GiB,0.93%,707kB / 769kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:04:55,124.87%,281.1MiB / 7.654GiB,3.59%,2.17MB / 1.07MB,136MB / 221kB
archive-sync,2026-01-02_13:04:55,22.19%,82.01MiB / 7.654GiB,1.05%,16.6MB / 17.5MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:04:55,0.18%,69.65MiB / 7.654GiB,0.89%,137kB / 126kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:04:55,16.67%,60.66MiB / 7.654GiB,0.77%,15.6MB / 3.95MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:04:55,5.84%,73.16MiB / 7.654GiB,0.93%,747kB / 814kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:05:03,101.79%,282MiB / 7.654GiB,3.60%,2.28MB / 1.12MB,136MB / 233kB
archive-sync,2026-01-02_13:05:03,18.30%,82.54MiB / 7.654GiB,1.05%,17.4MB / 18.4MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:05:03,0.25%,69.65MiB / 7.654GiB,0.89%,141kB / 128kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:05:03,12.52%,60.69MiB / 7.654GiB,0.77%,16.4MB / 4.15MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:05:03,4.18%,73.16MiB / 7.654GiB,0.93%,783kB / 854kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:05:10,103.07%,281.8MiB / 7.654GiB,3.60%,2.39MB / 1.17MB,136MB / 233kB
archive-sync,2026-01-02_13:05:10,22.10%,82.06MiB / 7.654GiB,1.05%,18.2MB / 19.3MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:05:10,1.13%,69.65MiB / 7.654GiB,0.89%,146kB / 134kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:05:10,21.87%,60.71MiB / 7.654GiB,0.77%,17.2MB / 4.34MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:05:10,6.44%,73.16MiB / 7.654GiB,0.93%,817kB / 891kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:05:17,106.78%,282.2MiB / 7.654GiB,3.60%,2.48MB / 1.21MB,136MB / 246kB
archive-sync,2026-01-02_13:05:17,16.13%,82.1MiB / 7.654GiB,1.05%,19MB / 20.1MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:05:17,0.18%,69.65MiB / 7.654GiB,0.89%,149kB / 136kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:05:17,12.70%,60.73MiB / 7.654GiB,0.77%,17.9MB / 4.54MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:05:17,0.11%,73.18MiB / 7.654GiB,0.93%,844kB / 923kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:05:24,112.62%,282.5MiB / 7.654GiB,3.60%,2.57MB / 1.27MB,136MB / 246kB
archive-sync,2026-01-02_13:05:24,18.51%,82.36MiB / 7.654GiB,1.05%,19.7MB / 20.9MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:05:24,0.12%,69.65MiB / 7.654GiB,0.89%,153kB / 142kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:05:24,31.83%,60.75MiB / 7.654GiB,0.78%,18.7MB / 4.72MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:05:24,25.11%,73.21MiB / 7.654GiB,0.93%,877kB / 952kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:05:32,112.49%,282.1MiB / 7.654GiB,3.60%,2.63MB / 1.29MB,136MB / 246kB
archive-sync,2026-01-02_13:05:32,22.52%,82.12MiB / 7.654GiB,1.05%,20.4MB / 21.5MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:05:32,1.13%,69.65MiB / 7.654GiB,0.89%,156kB / 144kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:05:32,18.91%,61.03MiB / 7.654GiB,0.78%,19.2MB / 4.86MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:05:32,0.55%,73.19MiB / 7.654GiB,0.93%,890kB / 974kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:05:39,98.95%,282.2MiB / 7.654GiB,3.60%,2.71MB / 1.32MB,136MB / 258kB
archive-sync,2026-01-02_13:05:39,24.35%,82.15MiB / 7.654GiB,1.05%,21.1MB / 22.3MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:05:39,0.30%,69.65MiB / 7.654GiB,0.89%,160kB / 149kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:05:39,16.50%,60.77MiB / 7.654GiB,0.78%,19.9MB / 5.03MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:05:39,0.80%,73.19MiB / 7.654GiB,0.93%,908kB / 994kB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:05:47,95.20%,282.5MiB / 7.654GiB,3.60%,2.9MB / 1.41MB,136MB / 270kB
archive-sync,2026-01-02_13:05:47,15.71%,82.18MiB / 7.654GiB,1.05%,22.6MB / 23.9MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:05:47,0.16%,69.65MiB / 7.654GiB,0.89%,165kB / 154kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:05:47,12.55%,60.81MiB / 7.654GiB,0.78%,21.2MB / 5.36MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:05:47,1.37%,73.2MiB / 7.654GiB,0.93%,968kB / 1.06MB,11.3MB / 73.7kB
rules-processing,2026-01-02_13:06:00,122.96%,282.9MiB / 7.654GiB,3.61%,3.01MB / 1.47MB,136MB / 270kB
archive-sync,2026-01-02_13:06:00,15.88%,82.46MiB / 7.654GiB,1.05%,23.5MB / 24.8MB,32.7MB / 102kB
archive-sync-ols,2026-01-02_13:06:00,0.10%,69.65MiB / 7.654GiB,0.89%,170kB / 159kB,7.79MB / 65.5kB
multiplexor,2026-01-02_13:06:00,12.63%,60.84MiB / 7.654GiB,0.78%,22.1MB / 5.6MB,12.6MB / 65.5kB
rules-uploader,2026-01-02_13:06:00,3.34%,73.21MiB / 7.654GiB,0.93%,1.01MB / 1.11MB,11.3MB / 73.7kB
