timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-01-02 13:02:27,0,15.96,59.94,7837.7,0.76,409kB / 136kB,12.6MB / 65.5kB
2026-01-02 13:02:46,0,14.54,60.25,7837.7,0.77,2.5MB / 656kB,12.6MB / 65.5kB
2026-01-02 13:03:05,0,14.49,60.37,7837.7,0.77,4.35MB / 1.12MB,12.6MB / 65.5kB
2026-01-02 13:03:22,0,11.42,60.46,7837.7,0.77,6.09MB / 1.56MB,12.6MB / 65.5kB
2026-01-02 13:03:37,1,10.53,60.53,7837.7,0.77,7.89MB / 2.01MB,12.6MB / 65.5kB
2026-01-02 13:03:55,1,13.60,60.59,7837.7,0.77,9.68MB / 2.46MB,12.6MB / 65.5kB
2026-01-02 13:04:11,1,10.36,60.53,7837.7,0.77,11.5MB / 2.9MB,12.6MB / 65.5kB
2026-01-02 13:04:29,2,9.01,60.6,7837.7,0.77,13.4MB / 3.4MB,12.6MB / 65.5kB
2026-01-02 13:04:45,2,16.22,60.65,7837.7,0.77,15.3MB / 3.86MB,12.6MB / 65.5kB
2026-01-02 13:05:02,2,17.34,60.7,7837.7,0.77,17.1MB / 4.32MB,12.6MB / 65.5kB
2026-01-02 13:05:20,2,19.97,60.75,7837.7,0.78,19MB / 4.81MB,12.6MB / 65.5kB
2026-01-02 13:05:42,3,12.52,61.09,7837.7,0.78,21.8MB / 5.51MB,12.6MB / 65.5kB
2026-01-02 13:06:07,3,9.65,60.9,7837.7,0.78,23.6MB / 5.96MB,12.6MB / 65.5kB
2026-01-02 13:06:23,3,8.95,60.95,7837.7,0.78,25.4MB / 6.4MB,12.6MB / 65.5kB
2026-01-02 13:06:39,4,10.23,61.01,7837.7,0.78,27.1MB / 6.83MB,12.6MB / 65.5kB
2026-01-02 13:06:55,4,8.93,61.07,7837.7,0.78,28.9MB / 7.26MB,12.6MB / 65.5kB
2026-01-02 13:07:10,4,11.65,61.12,7837.7,0.78,30.6MB / 7.69MB,12.6MB / 65.5kB
2026-01-02 13:07:25,4,12.10,61.22,7837.7,0.78,32.3MB / 8.12MB,12.6MB / 65.5kB
2026-01-02 13:07:40,5,9.17,57.12,7837.7,0.73,34.1MB / 8.54MB,12.6MB / 65.5kB
2026-01-02 13:07:56,5,8.81,56.9,7837.7,0.73,35.9MB / 8.99MB,12.6MB / 65.5kB
2026-01-02 13:08:11,5,7.25,56.95,7837.7,0.73,37.7MB / 9.43MB,12.6MB / 65.5kB
2026-01-02 13:08:27,6,12.14,57.01,7837.7,0.73,39.5MB / 9.86MB,12.6MB / 65.5kB
2026-01-02 13:08:42,6,8.81,57.05,7837.7,0.73,41.3MB / 10.3MB,12.6MB / 65.5kB
2026-01-02 13:08:58,6,14.37,57.11,7837.7,0.73,43.1MB / 10.8MB,12.6MB / 65.5kB
2026-01-02 13:09:16,6,9.32,57.16,7837.7,0.73,44.9MB / 11.2MB,12.6MB / 65.5kB
2026-01-02 13:09:33,7,12.94,58.71,7837.7,0.75,46.9MB / 11.7MB,12.6MB / 65.5kB
2026-01-02 13:09:51,7,9.59,58.75,7837.7,0.75,48.6MB / 12.2MB,12.6MB / 65.5kB
2026-01-02 13:10:07,7,13.98,58.81,7837.7,0.75,50.5MB / 12.6MB,12.6MB / 65.5kB
2026-01-02 13:10:24,7,14.90,58.87,7837.7,0.75,52.2MB / 13.1MB,12.6MB / 65.5kB
2026-01-02 13:10:40,8,13.28,58.93,7837.7,0.75,53.9MB / 13.5MB,12.6MB / 65.5kB
2026-01-02 13:10:56,8,10.72,58.97,7837.7,0.75,55.6MB / 13.9MB,12.6MB / 65.5kB
2026-01-02 13:11:12,8,16.11,59.03,7837.7,0.75,57.5MB / 14.4MB,12.6MB / 65.5kB
2026-01-02 13:11:28,9,12.20,59.08,7837.7,0.75,59.3MB / 14.9MB,12.6MB / 65.5kB
2026-01-02 13:11:46,9,16.72,59.13,7837.7,0.75,61.1MB / 15.3MB,12.6MB / 65.5kB
2026-01-02 13:12:03,9,15.73,59.43,7837.7,0.76,62.9MB / 15.8MB,12.6MB / 77.8kB
2026-01-02 13:12:19,9,14.66,59.24,7837.7,0.76,64.5MB / 16.2MB,12.6MB / 77.8kB
2026-01-02 13:12:35,10,15.23,59.3,7837.7,0.76,66.3MB / 16.7MB,12.6MB / 77.8kB
2026-01-02 13:12:51,10,16.45,59.34,7837.7,0.76,68MB / 17.1MB,12.6MB / 77.8kB
2026-01-02 13:13:07,10,16.35,59.39,7837.7,0.76,69.8MB / 17.6MB,12.6MB / 77.8kB
2026-01-02 13:13:24,10,14.91,55.84,7837.7,0.71,71.6MB / 18MB,12.6MB / 77.8kB
2026-01-02 13:13:41,11,13.86,55.89,7837.7,0.71,73.4MB / 18.5MB,12.6MB / 77.8kB
2026-01-02 13:13:57,11,11.23,55.95,7837.7,0.71,75.1MB / 18.9MB,12.6MB / 77.8kB
2026-01-02 13:14:13,11,13.71,56.01,7837.7,0.71,76.9MB / 19.4MB,12.6MB / 77.8kB
2026-01-02 13:14:28,12,14.53,56.1,7837.7,0.72,78.8MB / 19.8MB,12.6MB / 77.8kB
2026-01-02 13:14:44,12,8.38,56.11,7837.7,0.72,80.5MB / 20.3MB,12.6MB / 77.8kB
2026-01-02 13:15:00,12,9.21,56.18,7837.7,0.72,82.3MB / 20.7MB,12.6MB / 77.8kB
2026-01-02 13:15:15,12,8.35,56.22,7837.7,0.72,84MB / 21.1MB,12.6MB / 77.8kB
2026-01-02 13:15:30,13,8.51,56.27,7837.7,0.72,85.8MB / 21.6MB,12.6MB / 77.8kB
2026-01-02 13:15:46,13,17.55,56.32,7837.7,0.72,87.6MB / 22MB,12.6MB / 77.8kB
2026-01-02 13:16:02,13,11.51,56.38,7837.7,0.72,89.4MB / 22.4MB,12.6MB / 77.8kB
2026-01-02 13:16:18,13,12.50,56.17,7837.7,0.72,91.3MB / 22.9MB,12.6MB / 1.29MB
2026-01-02 13:16:34,14,8.66,53.3,7837.7,0.68,93.1MB / 23.4MB,12.8MB / 4.28MB
2026-01-02 13:16:50,14,11.20,51.18,7837.7,0.65,94.8MB / 23.8MB,12.8MB / 6.59MB
2026-01-02 13:17:05,14,17.72,49.82,7837.7,0.64,96.6MB / 24.2MB,12.8MB / 7.96MB
2026-01-02 13:17:21,14,16.11,49.39,7837.7,0.63,98.3MB / 24.7MB,12.8MB / 7.96MB
2026-01-02 13:17:38,15,14.23,49.44,7837.7,0.63,100MB / 25.1MB,12.8MB / 7.96MB
2026-01-02 13:17:54,15,12.11,49.49,7837.7,0.63,102MB / 25.6MB,12.8MB / 7.96MB
2026-01-02 13:18:10,15,9.10,49.54,7837.7,0.63,104MB / 26MB,12.8MB / 7.97MB
2026-01-02 13:18:25,15,11.21,49.59,7837.7,0.63,106MB / 26.5MB,12.8MB / 7.97MB
2026-01-02 13:18:40,16,13.74,49.64,7837.7,0.63,107MB / 26.9MB,12.8MB / 7.97MB
2026-01-02 13:18:57,16,14.29,49.7,7837.7,0.63,109MB / 27.4MB,12.8MB / 7.97MB
2026-01-02 13:19:13,16,8.15,49.72,7837.7,0.63,111MB / 27.8MB,12.8MB / 8.56MB
2026-01-02 13:19:29,17,7.25,47.6,7837.7,0.61,113MB / 28.3MB,12.8MB / 10.3MB
2026-01-02 13:19:44,17,8.07,44.6,7837.7,0.57,115MB / 28.7MB,12.8MB / 13.6MB
2026-01-02 13:20:01,17,12.47,42.11,7837.7,0.54,117MB / 29.2MB,12.8MB / 16.6MB
