timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-01-02 13:02:27,0,99.82,279.3,7837.7,3.56,104kB / 72.3kB,136MB / 61.4kB
2026-01-02 13:02:46,0,96.46,286,7837.7,3.65,374kB / 188kB,136MB / 86kB
2026-01-02 13:03:05,0,93.59,286.6,7837.7,3.66,602kB / 292kB,136MB / 135kB
2026-01-02 13:03:22,0,97.12,288.4,7837.7,3.68,865kB / 424kB,136MB / 147kB
2026-01-02 13:03:37,1,92.97,288.4,7837.7,3.68,1.14MB / 563kB,136MB / 160kB
2026-01-02 13:03:55,1,99.13,288,7837.7,3.68,1.37MB / 670kB,136MB / 172kB
2026-01-02 13:04:11,1,104.12,280.7,7837.7,3.58,1.63MB / 798kB,136MB / 184kB
2026-01-02 13:04:29,2,105.08,280.4,7837.7,3.58,1.9MB / 933kB,136MB / 197kB
2026-01-02 13:04:45,2,100.61,280.6,7837.7,3.58,2.15MB / 1.06MB,136MB / 221kB
2026-01-02 13:05:02,2,103.00,282.1,7837.7,3.60,2.41MB / 1.19MB,136MB / 233kB
2026-01-02 13:05:20,2,93.93,282.1,7837.7,3.60,2.64MB / 1.29MB,136MB / 258kB
2026-01-02 13:05:42,3,104.58,282.3,7837.7,3.60,2.99MB / 1.46MB,136MB / 270kB
2026-01-02 13:06:07,3,103.79,282.1,7837.7,3.60,3.25MB / 1.59MB,136MB / 283kB
2026-01-02 13:06:23,3,94.92,282.9,7837.7,3.61,3.57MB / 1.77MB,136MB / 295kB
2026-01-02 13:06:39,4,94.59,283.1,7837.7,3.61,3.86MB / 1.92MB,136MB / 307kB
2026-01-02 13:06:55,4,104.36,283,7837.7,3.61,4.13MB / 2.07MB,136MB / 319kB
2026-01-02 13:07:10,4,104.03,282.6,7837.7,3.61,4.4MB / 2.21MB,136MB / 332kB
2026-01-02 13:07:25,4,101.11,285.8,7837.7,3.65,4.69MB / 2.36MB,136MB / 344kB
2026-01-02 13:07:40,5,99.51,284.8,7837.7,3.63,4.99MB / 2.53MB,136MB / 356kB
2026-01-02 13:07:56,5,104.69,231,7837.7,2.95,5.3MB / 2.7MB,136MB / 369kB
2026-01-02 13:08:11,5,103.31,231,7837.7,2.95,5.61MB / 2.87MB,136MB / 381kB
2026-01-02 13:08:27,6,103.20,231.2,7837.7,2.95,5.93MB / 3.05MB,136MB / 393kB
2026-01-02 13:08:42,6,99.23,231.5,7837.7,2.95,6.23MB / 3.21MB,136MB / 406kB
2026-01-02 13:08:58,6,94.85,231.3,7837.7,2.95,6.53MB / 3.37MB,136MB / 418kB
2026-01-02 13:09:16,6,94.78,231.7,7837.7,2.96,6.81MB / 3.51MB,136MB / 430kB
2026-01-02 13:09:33,7,106.49,276.5,7837.7,3.53,7.05MB / 3.63MB,139MB / 442kB
2026-01-02 13:09:51,7,99.16,279.1,7837.7,3.56,7.27MB / 3.73MB,140MB / 467kB
2026-01-02 13:10:07,7,106.96,279.3,7837.7,3.56,7.5MB / 3.84MB,140MB / 479kB
2026-01-02 13:10:24,7,95.17,279.5,7837.7,3.57,7.73MB / 3.95MB,140MB / 492kB
2026-01-02 13:10:40,8,95.28,269.5,7837.7,3.44,7.95MB / 4.05MB,141MB / 504kB
2026-01-02 13:10:56,8,102.25,270.7,7837.7,3.45,8.17MB / 4.16MB,141MB / 516kB
2026-01-02 13:11:12,8,96.57,269.9,7837.7,3.44,8.4MB / 4.26MB,141MB / 528kB
2026-01-02 13:11:28,9,106.33,269.3,7837.7,3.44,8.63MB / 4.37MB,141MB / 541kB
2026-01-02 13:11:46,9,98.64,269.7,7837.7,3.44,8.86MB / 4.48MB,141MB / 553kB
2026-01-02 13:12:03,9,101.95,270.1,7837.7,3.45,9.08MB / 4.58MB,141MB / 565kB
2026-01-02 13:12:19,9,98.02,270.9,7837.7,3.46,9.28MB / 4.68MB,141MB / 578kB
2026-01-02 13:12:35,10,98.19,270.9,7837.7,3.46,9.51MB / 4.78MB,141MB / 590kB
2026-01-02 13:12:51,10,102.27,271.3,7837.7,3.46,9.72MB / 4.88MB,141MB / 602kB
2026-01-02 13:13:07,10,95.14,271.3,7837.7,3.46,9.95MB / 4.99MB,141MB / 614kB
