timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-01-02 13:02:27,0,0.17,71.44,7837.7,0.91,45.4kB / 47.8kB,9.42MB / 65.5kB
2026-01-02 13:02:46,0,6.79,73.27,7837.7,0.93,85.6kB / 91.1kB,11.3MB / 65.5kB
2026-01-02 13:03:05,0,0.17,73.32,7837.7,0.94,164kB / 169kB,11.3MB / 73.7kB
2026-01-02 13:03:22,0,0.16,73.38,7837.7,0.94,249kB / 263kB,11.3MB / 73.7kB
2026-01-02 13:03:37,1,2.87,73.42,7837.7,0.94,350kB / 375kB,11.3MB / 73.7kB
2026-01-02 13:03:55,1,8.46,73.45,7837.7,0.94,442kB / 470kB,11.3MB / 73.7kB
2026-01-02 13:04:11,1,2.45,73.47,7837.7,0.94,514kB / 551kB,11.3MB / 73.7kB
2026-01-02 13:04:29,2,0.09,73.13,7837.7,0.93,606kB / 655kB,11.3MB / 73.7kB
2026-01-02 13:04:45,2,2.05,73.14,7837.7,0.93,698kB / 759kB,11.3MB / 73.7kB
2026-01-02 13:05:02,2,5.94,73.16,7837.7,0.93,783kB / 853kB,11.3MB / 73.7kB
2026-01-02 13:05:20,2,1.54,73.19,7837.7,0.93,860kB / 941kB,11.3MB / 73.7kB
2026-01-02 13:05:42,3,1.70,73.2,7837.7,0.93,917kB / 1.01MB,11.3MB / 73.7kB
2026-01-02 13:06:07,3,1.35,73.23,7837.7,0.93,1.04MB / 1.15MB,11.3MB / 73.7kB
2026-01-02 13:06:23,3,0.92,73.24,7837.7,0.93,1.16MB / 1.28MB,11.3MB / 73.7kB
2026-01-02 13:06:39,4,0.90,73.26,7837.7,0.93,1.28MB / 1.41MB,11.3MB / 73.7kB
2026-01-02 13:06:55,4,0.10,73.28,7837.7,0.93,1.38MB / 1.53MB,11.3MB / 73.7kB
2026-01-02 13:07:10,4,6.22,73.29,7837.7,0.94,1.49MB / 1.65MB,11.3MB / 73.7kB
2026-01-02 13:07:25,4,1.09,73.32,7837.7,0.94,1.61MB / 1.78MB,11.3MB / 73.7kB
2026-01-02 13:07:40,5,1.92,70.09,7837.7,0.89,1.72MB / 1.91MB,11.3MB / 73.7kB
2026-01-02 13:07:56,5,1.65,70.09,7837.7,0.89,1.83MB / 2.03MB,11.3MB / 73.7kB
2026-01-02 13:08:11,5,3.36,70.1,7837.7,0.89,1.96MB / 2.18MB,11.3MB / 73.7kB
2026-01-02 13:08:27,6,2.15,70.11,7837.7,0.89,2.1MB / 2.33MB,11.3MB / 73.7kB
2026-01-02 13:08:42,6,1.12,70.12,7837.7,0.89,2.23MB / 2.48MB,11.3MB / 73.7kB
2026-01-02 13:08:58,6,1.72,70.12,7837.7,0.89,2.32MB / 2.59MB,11.3MB / 73.7kB
2026-01-02 13:09:16,6,1.27,70.12,7837.7,0.89,2.42MB / 2.7MB,11.3MB / 81.9kB
2026-01-02 13:09:33,7,0.35,70.33,7837.7,0.90,2.52MB / 2.81MB,11.3MB / 81.9kB
