2025-12-22 13:06:13,293.7MiB / 7.654GiB,3.75%,71.17%,2.73MB / 1.34MB,148MB / 287kB
2025-12-22 13:06:25,296.2MiB / 7.654GiB,3.78%,105.82%,2.88MB / 1.41MB,148MB / 287kB
2025-12-22 13:06:36,294MiB / 7.654GiB,3.75%,92.91%,3.02MB / 1.48MB,148MB / 299kB
2025-12-22 13:06:48,293.4MiB / 7.654GiB,3.74%,89.57%,3.17MB / 1.54MB,148MB / 311kB
2025-12-22 13:07:00,294.4MiB / 7.654GiB,3.76%,105.69%,3.32MB / 1.61MB,148MB / 311kB
2025-12-22 13:07:12,294.3MiB / 7.654GiB,3.75%,98.04%,3.5MB / 1.7MB,148MB / 324kB
2025-12-22 13:07:23,294.9MiB / 7.654GiB,3.76%,101.88%,3.63MB / 1.76MB,148MB / 336kB
2025-12-22 13:07:35,294.8MiB / 7.654GiB,3.76%,93.42%,3.77MB / 1.82MB,148MB / 348kB
2025-12-22 13:07:47,294.7MiB / 7.654GiB,3.76%,100.17%,3.93MB / 1.89MB,148MB / 348kB
2025-12-22 13:07:59,294.8MiB / 7.654GiB,3.76%,82.33%,4.07MB / 1.95MB,148MB / 360kB
2025-12-22 13:08:11,296.6MiB / 7.654GiB,3.78%,87.00%,4.19MB / 2MB,148MB / 373kB
2025-12-22 13:08:23,295.3MiB / 7.654GiB,3.77%,102.06%,4.37MB / 2.09MB,148MB / 385kB
2025-12-22 13:08:34,295.2MiB / 7.654GiB,3.77%,105.74%,4.53MB / 2.17MB,148MB / 385kB
2025-12-22 13:08:46,295.8MiB / 7.654GiB,3.77%,98.55%,4.67MB / 2.23MB,148MB / 397kB
2025-12-22 13:08:58,296MiB / 7.654GiB,3.78%,104.46%,4.84MB / 2.31MB,148MB / 410kB
2025-12-22 13:09:10,296.4MiB / 7.654GiB,3.78%,99.29%,4.98MB / 2.37MB,148MB / 422kB
2025-12-22 13:09:22,296.6MiB / 7.654GiB,3.78%,109.38%,5.11MB / 2.43MB,148MB / 422kB
