timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-12 08:54:04,0,0.32,56.62,7837.7,0.72,962kB / 1.07MB,15MB / 61.4kB
2025-12-12 08:54:20,0,7.72,57.72,7837.7,0.74,2.5MB / 1.45MB,15.8MB / 61.4kB
2025-12-12 08:54:36,0,12.87,57.85,7837.7,0.74,4.25MB / 1.89MB,15.8MB / 61.4kB
2025-12-12 08:54:52,0,0.23,57.96,7837.7,0.74,5.81MB / 2.27MB,15.8MB / 61.4kB
2025-12-12 08:55:09,1,0.25,57.97,7837.7,0.74,5.82MB / 2.28MB,15.8MB / 61.4kB
2025-12-12 08:55:24,1,0.34,57.94,7837.7,0.74,5.83MB / 2.29MB,15.8MB / 61.4kB
2025-12-12 08:55:40,1,10.01,57.96,7837.7,0.74,7.1MB / 2.6MB,15.8MB / 61.4kB
2025-12-12 08:55:56,1,9.41,58.02,7837.7,0.74,8.87MB / 3.04MB,15.8MB / 61.4kB
2025-12-12 08:56:11,2,9.74,58.16,7837.7,0.74,10.6MB / 3.47MB,15.8MB / 61.4kB
2025-12-12 08:56:26,2,5.05,58.25,7837.7,0.74,12.4MB / 3.9MB,15.8MB / 61.4kB
2025-12-12 08:56:42,2,7.66,58.31,7837.7,0.74,14.1MB / 4.34MB,15.8MB / 61.4kB
2025-12-12 08:56:58,2,13.07,58.37,7837.7,0.74,16MB / 4.8MB,15.8MB / 61.4kB
2025-12-12 08:57:14,3,4.22,58.42,7837.7,0.75,17.8MB / 5.23MB,15.8MB / 61.4kB
2025-12-12 08:57:29,3,5.13,58.48,7837.7,0.75,19.5MB / 5.66MB,15.8MB / 61.4kB
2025-12-12 08:57:45,3,8.49,58.53,7837.7,0.75,21.3MB / 6.08MB,15.8MB / 61.4kB
2025-12-12 08:58:00,3,7.42,58.59,7837.7,0.75,23.1MB / 6.53MB,15.8MB / 61.4kB
2025-12-12 08:58:16,4,12.14,59.15,7837.7,0.75,24.9MB / 6.99MB,15.8MB / 61.4kB
2025-12-12 08:58:33,4,12.90,58.68,7837.7,0.75,26.8MB / 7.46MB,15.8MB / 61.4kB
2025-12-12 08:58:50,4,9.49,58.74,7837.7,0.75,28.6MB / 7.9MB,15.8MB / 61.4kB
2025-12-12 08:59:06,5,6.85,58.79,7837.7,0.75,30.3MB / 8.33MB,15.8MB / 61.4kB
2025-12-12 08:59:21,5,11.08,58.84,7837.7,0.75,32.1MB / 8.78MB,15.8MB / 61.4kB
2025-12-12 08:59:40,5,7.87,58.89,7837.7,0.75,33.9MB / 9.22MB,15.8MB / 61.4kB
2025-12-12 08:59:56,5,10.24,59.21,7837.7,0.76,35.7MB / 9.68MB,15.8MB / 61.4kB
2025-12-12 09:00:12,6,11.25,58.99,7837.7,0.75,37.5MB / 10.1MB,15.8MB / 61.4kB
2025-12-12 09:00:28,6,10.84,59.05,7837.7,0.75,39.3MB / 10.6MB,15.8MB / 61.4kB
2025-12-12 09:00:44,6,8.40,59.12,7837.7,0.75,41.1MB / 11MB,15.8MB / 61.4kB
2025-12-12 09:00:59,6,5.77,59.17,7837.7,0.75,42.9MB / 11.5MB,15.8MB / 61.4kB
2025-12-12 09:01:16,7,6.40,59.21,7837.7,0.76,44.7MB / 11.9MB,15.8MB / 61.4kB
2025-12-12 09:01:31,7,9.73,59.27,7837.7,0.76,46.4MB / 12.3MB,15.8MB / 61.4kB
2025-12-12 09:01:48,7,8.66,59.32,7837.7,0.76,48.1MB / 12.8MB,15.8MB / 61.4kB
2025-12-12 09:02:03,7,8.39,59.36,7837.7,0.76,49.9MB / 13.2MB,15.8MB / 61.4kB
2025-12-12 09:02:19,8,8.78,59.43,7837.7,0.76,51.7MB / 13.6MB,15.8MB / 61.4kB
2025-12-12 09:02:34,8,8.00,59.47,7837.7,0.76,53.4MB / 14.1MB,15.8MB / 61.4kB
2025-12-12 09:02:50,8,5.89,59.53,7837.7,0.76,55.2MB / 14.5MB,15.8MB / 61.4kB
2025-12-12 09:03:06,9,5.82,59.58,7837.7,0.76,57MB / 15MB,15.8MB / 61.4kB
2025-12-12 09:03:22,9,6.36,59.63,7837.7,0.76,58.8MB / 15.4MB,15.8MB / 61.4kB
2025-12-12 09:03:37,9,13.99,59.7,7837.7,0.76,60.5MB / 15.8MB,15.8MB / 61.4kB
2025-12-12 09:03:53,9,12.68,59.74,7837.7,0.76,62.4MB / 16.3MB,15.8MB / 61.4kB
2025-12-12 09:04:10,10,10.88,59.79,7837.7,0.76,64.2MB / 16.7MB,15.8MB / 61.4kB
2025-12-12 09:04:25,10,13.37,59.85,7837.7,0.76,66MB / 17.2MB,15.8MB / 61.4kB
2025-12-12 09:04:42,10,8.12,59.91,7837.7,0.76,67.9MB / 17.6MB,15.8MB / 61.4kB
2025-12-12 09:04:59,10,10.46,59.96,7837.7,0.77,69.7MB / 18.1MB,15.8MB / 61.4kB
2025-12-12 09:05:16,11,17.52,60,7837.7,0.77,71.4MB / 18.5MB,15.8MB / 61.4kB
2025-12-12 09:05:32,11,19.97,60.05,7837.7,0.77,73.2MB / 19MB,15.8MB / 61.4kB
2025-12-12 09:05:49,11,13.23,60.1,7837.7,0.77,75MB / 19.4MB,15.8MB / 61.4kB
