timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-12 08:54:04,0,0.06,68.64,7837.7,0.88,958kB / 1.06MB,8.8MB / 61.4kB
2025-12-12 08:54:20,0,7.92,72.84,7837.7,0.93,996kB / 1.1MB,13.3MB / 69.6kB
2025-12-12 08:54:36,0,4.21,72.98,7837.7,0.93,1.13MB / 1.24MB,13.3MB / 69.6kB
2025-12-12 08:54:52,0,3.88,73.04,7837.7,0.93,1.3MB / 1.43MB,13.3MB / 69.6kB
2025-12-12 08:55:09,1,1.31,73.11,7837.7,0.93,1.53MB / 1.68MB,13.3MB / 77.8kB
2025-12-12 08:55:24,1,5.16,73.16,7837.7,0.93,1.71MB / 1.88MB,13.3MB / 77.8kB
2025-12-12 08:55:40,1,1.21,73.22,7837.7,0.93,1.92MB / 2.12MB,13.3MB / 77.8kB
2025-12-12 08:55:56,1,3.86,73.74,7837.7,0.94,2.1MB / 2.32MB,13.3MB / 77.8kB
2025-12-12 08:56:11,2,7.24,73.28,7837.7,0.93,2.28MB / 2.52MB,13.3MB / 77.8kB
2025-12-12 08:56:26,2,2.61,73.3,7837.7,0.94,2.45MB / 2.72MB,13.3MB / 77.8kB
2025-12-12 08:56:42,2,33.04,73.71,7837.7,0.94,2.63MB / 2.92MB,13.7MB / 77.8kB
2025-12-12 08:56:58,2,1.19,73.73,7837.7,0.94,2.83MB / 3.15MB,13.7MB / 77.8kB
2025-12-12 08:57:14,3,4.31,73.73,7837.7,0.94,3.03MB / 3.36MB,13.7MB / 77.8kB
2025-12-12 08:57:29,3,6.05,73.75,7837.7,0.94,3.23MB / 3.6MB,13.7MB / 77.8kB
2025-12-12 08:57:45,3,0.76,73.77,7837.7,0.94,3.44MB / 3.83MB,13.7MB / 77.8kB
2025-12-12 08:58:00,3,2.95,73.78,7837.7,0.94,3.66MB / 4.07MB,13.7MB / 77.8kB
2025-12-12 08:58:16,4,4.65,73.79,7837.7,0.94,3.85MB / 4.29MB,13.7MB / 77.8kB
2025-12-12 08:58:33,4,4.69,73.8,7837.7,0.94,3.96MB / 4.41MB,13.7MB / 77.8kB
2025-12-12 08:58:50,4,2.63,73.8,7837.7,0.94,4.09MB / 4.56MB,13.7MB / 77.8kB
2025-12-12 08:59:06,5,4.66,73.82,7837.7,0.94,4.22MB / 4.71MB,13.7MB / 77.8kB
2025-12-12 08:59:21,5,5.91,73.83,7837.7,0.94,4.39MB / 4.9MB,13.7MB / 77.8kB
2025-12-12 08:59:40,5,3.36,73.83,7837.7,0.94,4.5MB / 5.02MB,13.7MB / 77.8kB
2025-12-12 08:59:56,5,3.68,73.84,7837.7,0.94,4.66MB / 5.2MB,13.7MB / 77.8kB
2025-12-12 09:00:12,6,4.71,73.86,7837.7,0.94,4.85MB / 5.42MB,13.7MB / 77.8kB
2025-12-12 09:00:28,6,3.04,73.88,7837.7,0.94,5.04MB / 5.63MB,13.7MB / 77.8kB
2025-12-12 09:00:44,6,0.86,73.89,7837.7,0.94,5.19MB / 5.8MB,13.7MB / 77.8kB
2025-12-12 09:00:59,6,2.37,73.91,7837.7,0.94,5.39MB / 6.02MB,13.7MB / 77.8kB
2025-12-12 09:01:16,7,6.27,73.92,7837.7,0.94,5.53MB / 6.19MB,13.7MB / 86kB
2025-12-12 09:01:31,7,1.46,73.93,7837.7,0.94,5.69MB / 6.37MB,13.7MB / 86kB
