timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 09:10:22,0,0.13,68.04,7837.7,0.87,5.2MB / 5.6MB,6.05MB / 0B
2025-12-11 09:10:38,0,0.13,68.04,7837.7,0.87,5.23MB / 5.61MB,6.05MB / 0B
2025-12-11 09:10:53,0,0.06,68.04,7837.7,0.87,5.25MB / 5.61MB,6.05MB / 0B
2025-12-11 09:11:08,0,0.05,68.04,7837.7,0.87,5.26MB / 5.62MB,6.05MB / 0B
2025-12-11 09:11:23,1,0.08,68.04,7837.7,0.87,5.27MB / 5.63MB,6.05MB / 0B
2025-12-11 09:11:38,1,0.09,68.04,7837.7,0.87,5.28MB / 5.64MB,6.05MB / 0B
2025-12-11 09:11:54,1,0.05,68.04,7837.7,0.87,5.29MB / 5.65MB,6.05MB / 0B
2025-12-11 09:12:09,1,0.06,68.04,7837.7,0.87,5.29MB / 5.66MB,6.05MB / 0B
2025-12-11 09:12:24,2,0.06,68.04,7837.7,0.87,5.3MB / 5.66MB,6.05MB / 0B
2025-12-11 09:12:39,2,0.18,68.04,7837.7,0.87,5.31MB / 5.67MB,6.05MB / 0B
2025-12-11 09:12:55,2,0.06,68.04,7837.7,0.87,5.32MB / 5.68MB,6.05MB / 0B
2025-12-11 09:13:11,2,0.14,68.04,7837.7,0.87,5.33MB / 5.69MB,6.05MB / 0B
2025-12-11 09:13:26,3,0.04,68.04,7837.7,0.87,5.34MB / 5.7MB,6.05MB / 0B
2025-12-11 09:13:41,3,0.24,68.04,7837.7,0.87,5.35MB / 5.7MB,6.05MB / 0B
2025-12-11 09:13:56,3,0.09,68.04,7837.7,0.87,5.35MB / 5.71MB,6.05MB / 0B
2025-12-11 09:14:11,3,0.14,68.04,7837.7,0.87,5.36MB / 5.72MB,6.05MB / 0B
2025-12-11 09:14:26,4,0.70,68.04,7837.7,0.87,5.37MB / 5.73MB,6.05MB / 0B
