timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 09:10:22,0,0.13,82.61,7837.7,1.05,140MB / 146MB,8.12MB / 147kB
2025-12-11 09:10:38,0,13.52,82.68,7837.7,1.05,142MB / 148MB,8.12MB / 147kB
2025-12-11 09:10:53,0,6.71,82.77,7837.7,1.06,144MB / 150MB,8.12MB / 172kB
2025-12-11 09:11:08,0,8.26,82.85,7837.7,1.06,146MB / 152MB,8.12MB / 172kB
2025-12-11 09:11:23,1,10.23,82.94,7837.7,1.06,147MB / 154MB,8.12MB / 172kB
2025-12-11 09:11:38,1,6.02,83,7837.7,1.06,149MB / 156MB,8.12MB / 172kB
2025-12-11 09:11:54,1,7.55,83.05,7837.7,1.06,151MB / 158MB,8.12MB / 172kB
2025-12-11 09:12:09,1,6.32,83.11,7837.7,1.06,153MB / 160MB,8.12MB / 172kB
2025-12-11 09:12:24,2,6.52,83.15,7837.7,1.06,155MB / 162MB,8.12MB / 172kB
2025-12-11 09:12:39,2,15.13,83.2,7837.7,1.06,157MB / 164MB,8.12MB / 184kB
2025-12-11 09:12:55,2,11.64,83.25,7837.7,1.06,159MB / 166MB,8.12MB / 184kB
2025-12-11 09:13:11,2,8.90,83.57,7837.7,1.07,161MB / 168MB,8.12MB / 184kB
2025-12-11 09:13:26,3,9.01,83.36,7837.7,1.06,162MB / 170MB,8.12MB / 184kB
2025-12-11 09:13:41,3,10.43,83.41,7837.7,1.06,164MB / 172MB,8.12MB / 184kB
2025-12-11 09:13:56,3,15.99,83.73,7837.7,1.07,166MB / 174MB,8.12MB / 197kB
2025-12-11 09:14:11,3,6.84,83.53,7837.7,1.07,168MB / 176MB,8.12MB / 209kB
2025-12-11 09:14:26,4,10.07,83.57,7837.7,1.07,170MB / 178MB,8.12MB / 209kB
2025-12-11 09:14:41,4,29.48,83.62,7837.7,1.07,172MB / 180MB,8.12MB / 209kB
2025-12-11 09:14:56,4,6.71,83.93,7837.7,1.07,174MB / 182MB,8.12MB / 209kB
2025-12-11 09:15:12,4,6.70,83.73,7837.7,1.07,176MB / 184MB,8.12MB / 209kB
2025-12-11 09:15:27,5,7.03,83.79,7837.7,1.07,178MB / 186MB,8.12MB / 209kB
2025-12-11 09:15:43,5,6.64,84.35,7837.7,1.08,179MB / 188MB,8.12MB / 209kB
2025-12-11 09:15:58,5,6.91,83.91,7837.7,1.07,181MB / 190MB,8.12MB / 209kB
2025-12-11 09:16:14,5,6.98,83.94,7837.7,1.07,183MB / 192MB,8.12MB / 209kB
2025-12-11 09:16:29,6,8.31,83.99,7837.7,1.07,185MB / 194MB,8.12MB / 209kB
2025-12-11 09:16:45,6,10.35,84.05,7837.7,1.07,187MB / 196MB,8.12MB / 221kB
2025-12-11 09:17:00,6,9.12,84.1,7837.7,1.07,189MB / 198MB,8.12MB / 221kB
2025-12-11 09:17:14,6,10.97,84.14,7837.7,1.07,191MB / 200MB,8.12MB / 221kB
2025-12-11 09:17:29,7,8.30,84.2,7837.7,1.07,192MB / 202MB,8.12MB / 221kB
2025-12-11 09:17:45,7,8.73,84.51,7837.7,1.08,194MB / 204MB,8.12MB / 233kB
2025-12-11 09:18:01,7,7.89,84.55,7837.7,1.08,196MB / 206MB,8.12MB / 233kB
2025-12-11 09:18:16,7,6.99,84.35,7837.7,1.08,198MB / 208MB,8.12MB / 233kB
2025-12-11 09:18:31,8,7.57,84.46,7837.7,1.08,200MB / 210MB,8.12MB / 233kB
2025-12-11 09:18:46,8,6.60,84.54,7837.7,1.08,202MB / 212MB,8.12MB / 246kB
2025-12-11 09:19:02,8,20.87,84.84,7837.7,1.08,204MB / 214MB,8.12MB / 246kB
2025-12-11 09:19:18,8,8.06,84.66,7837.7,1.08,206MB / 216MB,8.12MB / 246kB
2025-12-11 09:19:34,9,21.46,84.72,7837.7,1.08,208MB / 218MB,8.12MB / 258kB
2025-12-11 09:19:50,9,10.44,84.76,7837.7,1.08,210MB / 220MB,8.12MB / 258kB
2025-12-11 09:20:05,9,10.87,84.93,7837.7,1.08,211MB / 222MB,8.12MB / 258kB
2025-12-11 09:20:21,9,8.73,85.22,7837.7,1.09,213MB / 224MB,8.12MB / 258kB
2025-12-11 09:20:36,10,9.24,85.04,7837.7,1.09,215MB / 226MB,8.12MB / 258kB
2025-12-11 09:20:51,10,8.36,85.07,7837.7,1.09,217MB / 228MB,8.12MB / 258kB
2025-12-11 09:21:07,10,7.08,85.12,7837.7,1.09,219MB / 230MB,8.12MB / 258kB
2025-12-11 09:21:23,11,7.89,85.2,7837.7,1.09,221MB / 232MB,8.12MB / 258kB
2025-12-11 09:21:40,11,13.91,85.23,7837.7,1.09,223MB / 234MB,8.12MB / 270kB
2025-12-11 09:21:55,11,13.01,85.32,7837.7,1.09,225MB / 236MB,8.12MB / 270kB
2025-12-11 09:22:11,11,11.20,85.34,7837.7,1.09,226MB / 238MB,8.12MB / 270kB
2025-12-11 09:22:26,12,7.51,85.4,7837.7,1.09,228MB / 240MB,8.12MB / 270kB
2025-12-11 09:22:41,12,8.10,85.44,7837.7,1.09,230MB / 242MB,8.12MB / 283kB
2025-12-11 09:22:56,12,16.47,85.5,7837.7,1.09,232MB / 244MB,8.12MB / 283kB
2025-12-11 09:23:15,12,14.07,85.55,7837.7,1.09,234MB / 246MB,8.12MB / 283kB
2025-12-11 09:23:31,13,28.05,85.88,7837.7,1.10,236MB / 248MB,8.12MB / 283kB
2025-12-11 09:23:48,13,12.40,85.66,7837.7,1.09,238MB / 250MB,8.12MB / 283kB
2025-12-11 09:24:04,13,14.31,85.71,7837.7,1.09,240MB / 252MB,8.12MB / 283kB
2025-12-11 09:24:20,13,7.98,85.76,7837.7,1.09,242MB / 254MB,8.12MB / 295kB
2025-12-11 09:24:38,14,14.76,86.07,7837.7,1.10,244MB / 256MB,8.12MB / 295kB
2025-12-11 09:24:55,14,10.92,85.91,7837.7,1.10,246MB / 259MB,8.12MB / 295kB
2025-12-11 09:25:11,14,18.01,85.94,7837.7,1.10,248MB / 261MB,8.12MB / 295kB
2025-12-11 09:25:28,15,19.74,86.02,7837.7,1.10,250MB / 263MB,8.12MB / 295kB
2025-12-11 09:25:45,15,14.67,86.32,7837.7,1.10,252MB / 265MB,8.12MB / 295kB
2025-12-11 09:26:01,15,15.56,86.1,7837.7,1.10,254MB / 267MB,8.12MB / 295kB
2025-12-11 09:26:18,15,11.60,86.15,7837.7,1.10,256MB / 269MB,8.12MB / 295kB
2025-12-11 09:26:35,16,16.65,86.21,7837.7,1.10,258MB / 271MB,8.12MB / 295kB
2025-12-11 09:26:51,16,6.35,86.27,7837.7,1.10,260MB / 273MB,8.12MB / 295kB
2025-12-11 09:27:06,16,13.25,86.31,7837.7,1.10,261MB / 275MB,8.12MB / 295kB
2025-12-11 09:27:21,16,11.26,85.56,7837.7,1.09,263MB / 277MB,8.12MB / 295kB
2025-12-11 09:27:37,17,12.20,85.62,7837.7,1.09,265MB / 279MB,8.12MB / 295kB
2025-12-11 09:27:53,17,8.53,85.67,7837.7,1.09,267MB / 281MB,8.12MB / 307kB
2025-12-11 09:28:09,17,7.16,85.75,7837.7,1.09,269MB / 283MB,8.12MB / 307kB
2025-12-11 09:28:24,18,12.09,86.03,7837.7,1.10,271MB / 285MB,8.12MB / 307kB
2025-12-11 09:28:40,18,11.05,85.83,7837.7,1.10,273MB / 287MB,8.12MB / 307kB
2025-12-11 09:28:56,18,19.07,85.88,7837.7,1.10,275MB / 289MB,8.12MB / 307kB
2025-12-11 09:29:11,18,26.36,86.19,7837.7,1.10,276MB / 291MB,8.12MB / 307kB
2025-12-11 09:29:28,19,12.64,85.99,7837.7,1.10,278MB / 293MB,8.12MB / 307kB
2025-12-11 09:29:45,19,12.65,86.04,7837.7,1.10,280MB / 295MB,8.12MB / 307kB
2025-12-11 09:30:01,19,17.79,86.1,7837.7,1.10,282MB / 297MB,8.12MB / 307kB
2025-12-11 09:30:16,19,10.04,86.16,7837.7,1.10,284MB / 299MB,8.12MB / 307kB
2025-12-11 09:30:34,20,17.90,86.25,7837.7,1.10,286MB / 301MB,8.12MB / 307kB
2025-12-11 09:30:50,20,22.09,86.26,7837.7,1.10,288MB / 303MB,8.12MB / 307kB
2025-12-11 09:31:07,20,12.82,86.31,7837.7,1.10,290MB / 305MB,8.12MB / 307kB
