timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 09:10:22,0,3.84,58.29,7837.7,0.74,133MB / 35.1MB,7.04MB / 0B
2025-12-11 09:10:38,0,6.23,58.37,7837.7,0.74,135MB / 35.5MB,7.04MB / 0B
2025-12-11 09:10:53,0,6.66,58.46,7837.7,0.75,136MB / 35.9MB,7.04MB / 0B
2025-12-11 09:11:08,0,4.87,58.55,7837.7,0.75,138MB / 36.3MB,7.04MB / 0B
2025-12-11 09:11:23,1,5.12,58.63,7837.7,0.75,140MB / 36.8MB,7.04MB / 0B
2025-12-11 09:11:38,1,5.46,58.68,7837.7,0.75,142MB / 37.2MB,7.04MB / 0B
2025-12-11 09:11:54,1,4.90,58.73,7837.7,0.75,144MB / 37.6MB,7.05MB / 0B
2025-12-11 09:12:09,1,5.28,58.79,7837.7,0.75,145MB / 38MB,7.05MB / 0B
2025-12-11 09:12:24,2,5.06,58.84,7837.7,0.75,147MB / 38.5MB,7.05MB / 0B
2025-12-11 09:12:39,2,6.84,58.88,7837.7,0.75,149MB / 38.9MB,7.05MB / 0B
2025-12-11 09:12:55,2,4.57,58.94,7837.7,0.75,151MB / 39.3MB,7.05MB / 0B
2025-12-11 09:13:11,2,5.09,59,7837.7,0.75,152MB / 39.7MB,7.05MB / 0B
2025-12-11 09:13:26,3,6.65,59.55,7837.7,0.76,154MB / 40.2MB,7.05MB / 0B
2025-12-11 09:13:41,3,6.15,59.09,7837.7,0.75,156MB / 40.6MB,7.05MB / 0B
2025-12-11 09:13:56,3,6.49,59.15,7837.7,0.75,157MB / 41MB,7.05MB / 0B
2025-12-11 09:14:11,3,5.79,59.2,7837.7,0.76,159MB / 41.4MB,7.05MB / 0B
2025-12-11 09:14:26,4,6.70,59.25,7837.7,0.76,161MB / 41.8MB,7.05MB / 0B
2025-12-11 09:14:41,4,4.65,59.32,7837.7,0.76,163MB / 42.3MB,7.05MB / 0B
2025-12-11 09:14:56,4,4.48,59.36,7837.7,0.76,165MB / 42.7MB,7.05MB / 0B
2025-12-11 09:15:12,4,4.99,59.91,7837.7,0.76,166MB / 43.1MB,7.05MB / 0B
2025-12-11 09:15:27,5,4.54,59.46,7837.7,0.76,168MB / 43.6MB,7.05MB / 0B
2025-12-11 09:15:43,5,5.43,59.51,7837.7,0.76,170MB / 44MB,7.05MB / 0B
2025-12-11 09:15:58,5,6.66,59.58,7837.7,0.76,172MB / 44.5MB,7.05MB / 0B
2025-12-11 09:16:14,5,7.17,59.62,7837.7,0.76,173MB / 44.9MB,7.05MB / 0B
2025-12-11 09:16:29,6,6.43,59.67,7837.7,0.76,175MB / 45.3MB,7.05MB / 0B
2025-12-11 09:16:45,6,4.57,59.73,7837.7,0.76,177MB / 45.7MB,7.05MB / 0B
2025-12-11 09:17:00,6,8.30,59.77,7837.7,0.76,179MB / 46.1MB,7.05MB / 0B
2025-12-11 09:17:14,6,5.99,59.82,7837.7,0.76,180MB / 46.5MB,7.05MB / 0B
2025-12-11 09:17:29,7,7.81,59.89,7837.7,0.76,182MB / 47MB,7.05MB / 0B
2025-12-11 09:17:45,7,6.57,59.94,7837.7,0.76,184MB / 47.4MB,7.05MB / 0B
2025-12-11 09:18:01,7,6.34,60,7837.7,0.77,186MB / 47.8MB,7.05MB / 0B
2025-12-11 09:18:16,7,4.85,60.04,7837.7,0.77,187MB / 48.3MB,7.05MB / 0B
2025-12-11 09:18:31,8,6.99,60.09,7837.7,0.77,189MB / 48.7MB,7.05MB / 0B
2025-12-11 09:18:46,8,6.77,60.15,7837.7,0.77,191MB / 49.1MB,7.05MB / 0B
2025-12-11 09:19:02,8,5.59,60.45,7837.7,0.77,193MB / 49.6MB,7.05MB / 0B
2025-12-11 09:19:18,8,6.28,60.26,7837.7,0.77,195MB / 50MB,7.05MB / 0B
2025-12-11 09:19:34,9,6.10,60.32,7837.7,0.77,196MB / 50.5MB,7.05MB / 0B
2025-12-11 09:19:50,9,6.45,60.41,7837.7,0.77,198MB / 50.9MB,7.05MB / 0B
2025-12-11 09:20:05,9,8.17,60.47,7837.7,0.77,200MB / 51.3MB,7.05MB / 0B
2025-12-11 09:20:21,9,6.50,60.57,7837.7,0.77,202MB / 51.7MB,7.16MB / 0B
2025-12-11 09:20:36,10,7.18,60.62,7837.7,0.77,203MB / 52.2MB,7.16MB / 0B
2025-12-11 09:20:51,10,7.99,60.93,7837.7,0.78,205MB / 52.6MB,7.16MB / 0B
2025-12-11 09:21:07,10,8.33,61,7837.7,0.78,207MB / 53.1MB,7.16MB / 0B
2025-12-11 09:21:23,11,7.81,61.04,7837.7,0.78,209MB / 53.5MB,7.16MB / 0B
2025-12-11 09:21:40,11,12.72,61.07,7837.7,0.78,211MB / 53.9MB,7.16MB / 0B
2025-12-11 09:21:55,11,8.51,61.14,7837.7,0.78,212MB / 54.3MB,7.16MB / 0B
2025-12-11 09:22:11,11,8.00,61.2,7837.7,0.78,214MB / 54.8MB,7.16MB / 0B
2025-12-11 09:22:26,12,5.79,61.24,7837.7,0.78,216MB / 55.2MB,7.16MB / 0B
2025-12-11 09:22:41,12,9.17,61.31,7837.7,0.78,218MB / 55.6MB,7.16MB / 0B
2025-12-11 09:22:56,12,5.70,61.35,7837.7,0.78,219MB / 56.1MB,7.16MB / 0B
2025-12-11 09:23:15,12,8.65,61.43,7837.7,0.78,221MB / 56.6MB,7.16MB / 0B
2025-12-11 09:23:31,13,18.08,61.48,7837.7,0.78,223MB / 57MB,7.16MB / 0B
2025-12-11 09:23:48,13,5.32,61.52,7837.7,0.78,225MB / 57.5MB,7.16MB / 0B
2025-12-11 09:24:04,13,9.10,61.57,7837.7,0.79,227MB / 57.9MB,7.16MB / 0B
2025-12-11 09:24:20,13,52.42,61.62,7837.7,0.79,229MB / 58.3MB,7.16MB / 0B
2025-12-11 09:24:38,14,11.06,61.68,7837.7,0.79,230MB / 58.8MB,7.16MB / 0B
2025-12-11 09:24:55,14,5.49,61.74,7837.7,0.79,232MB / 59.3MB,7.16MB / 0B
2025-12-11 09:25:11,14,7.11,61.8,7837.7,0.79,234MB / 59.7MB,7.16MB / 0B
2025-12-11 09:25:28,15,9.46,61.86,7837.7,0.79,236MB / 60.2MB,7.16MB / 0B
2025-12-11 09:25:45,15,5.39,61.9,7837.7,0.79,238MB / 60.7MB,7.16MB / 0B
2025-12-11 09:26:01,15,16.83,61.96,7837.7,0.79,240MB / 61.1MB,7.16MB / 0B
2025-12-11 09:26:18,15,9.71,62.01,7837.7,0.79,242MB / 61.5MB,7.16MB / 0B
2025-12-11 09:26:35,16,8.81,62.07,7837.7,0.79,243MB / 62MB,7.16MB / 0B
2025-12-11 09:26:51,16,8.29,62.12,7837.7,0.79,245MB / 62.4MB,7.16MB / 0B
2025-12-11 09:27:06,16,6.51,62.18,7837.7,0.79,247MB / 62.8MB,7.16MB / 0B
2025-12-11 09:27:21,16,7.56,62.23,7837.7,0.79,249MB / 63.3MB,7.16MB / 0B
2025-12-11 09:27:37,17,14.29,62.29,7837.7,0.79,250MB / 63.7MB,7.16MB / 0B
2025-12-11 09:27:53,17,7.55,62.34,7837.7,0.80,252MB / 64.2MB,7.16MB / 0B
2025-12-11 09:28:09,17,8.91,62.4,7837.7,0.80,254MB / 64.6MB,7.16MB / 0B
2025-12-11 09:28:24,18,15.58,62.45,7837.7,0.80,256MB / 65MB,7.16MB / 0B
2025-12-11 09:28:40,18,8.09,61.77,7837.7,0.79,257MB / 65.5MB,7.16MB / 0B
2025-12-11 09:28:56,18,9.32,61.84,7837.7,0.79,259MB / 65.9MB,7.16MB / 0B
2025-12-11 09:29:11,18,12.33,61.88,7837.7,0.79,261MB / 66.3MB,7.16MB / 0B
2025-12-11 09:29:28,19,14.40,61.93,7837.7,0.79,263MB / 66.8MB,7.16MB / 0B
2025-12-11 09:29:45,19,11.38,62.25,7837.7,0.79,265MB / 67.3MB,7.16MB / 0B
2025-12-11 09:30:01,19,7.80,62.05,7837.7,0.79,266MB / 67.7MB,7.16MB / 0B
2025-12-11 09:30:16,19,11.32,62.1,7837.7,0.79,268MB / 68.1MB,7.16MB / 0B
2025-12-11 09:30:34,20,5.56,62.15,7837.7,0.79,270MB / 68.6MB,7.16MB / 0B
2025-12-11 09:30:50,20,13.55,62.2,7837.7,0.79,272MB / 69MB,7.16MB / 0B
2025-12-11 09:31:07,20,7.56,62.25,7837.7,0.79,274MB / 69.5MB,7.16MB / 0B
2025-12-11 09:31:24,21,7.54,62.31,7837.7,0.80,276MB / 69.9MB,7.16MB / 0B
2025-12-11 09:31:39,21,17.50,62.36,7837.7,0.80,277MB / 70.4MB,7.16MB / 0B
2025-12-11 09:31:56,21,5.83,62.42,7837.7,0.80,279MB / 70.8MB,7.16MB / 0B
2025-12-11 09:32:12,21,10.86,62.47,7837.7,0.80,281MB / 71.3MB,7.16MB / 0B
2025-12-11 09:32:27,22,5.50,62.53,7837.7,0.80,283MB / 71.7MB,7.16MB / 0B
2025-12-11 09:32:42,22,19.24,62.6,7837.7,0.80,284MB / 72.1MB,7.16MB / 0B
2025-12-11 09:32:58,22,18.88,62.62,7837.7,0.80,286MB / 72.6MB,7.16MB / 0B
2025-12-11 09:33:16,22,9.40,62.68,7837.7,0.80,288MB / 73.1MB,7.16MB / 0B
2025-12-11 09:33:33,23,7.82,62.73,7837.7,0.80,290MB / 73.5MB,7.16MB / 0B
2025-12-11 09:33:49,23,6.77,62.79,7837.7,0.80,292MB / 74MB,7.16MB / 0B
2025-12-11 09:34:05,23,5.45,62.85,7837.7,0.80,294MB / 74.4MB,7.16MB / 0B
2025-12-11 09:34:22,24,9.09,62.92,7837.7,0.80,296MB / 74.9MB,7.16MB / 0B
2025-12-11 09:34:39,24,12.65,62.95,7837.7,0.80,298MB / 75.3MB,7.16MB / 0B
2025-12-11 09:34:55,24,7.66,63.01,7837.7,0.80,299MB / 75.8MB,7.17MB / 0B
2025-12-11 09:35:11,24,6.41,63.57,7837.7,0.81,301MB / 76.2MB,7.17MB / 0B
2025-12-11 09:35:26,25,5.46,63.13,7837.7,0.81,303MB / 76.7MB,7.17MB / 0B
2025-12-11 09:35:43,25,9.32,63.19,7837.7,0.81,305MB / 77.2MB,7.17MB / 0B
2025-12-11 09:36:00,25,13.24,63.23,7837.7,0.81,307MB / 77.6MB,7.17MB / 0B
2025-12-11 09:36:17,25,9.31,63.3,7837.7,0.81,309MB / 78.1MB,7.17MB / 0B
2025-12-11 09:36:35,26,7.54,63.35,7837.7,0.81,311MB / 78.6MB,7.17MB / 0B
2025-12-11 09:36:51,26,6.61,63.4,7837.7,0.81,312MB / 79MB,7.17MB / 0B
2025-12-11 09:37:07,26,9.29,63.47,7837.7,0.81,314MB / 79.5MB,7.17MB / 0B
2025-12-11 09:37:23,27,12.29,63.52,7837.7,0.81,316MB / 79.9MB,7.17MB / 0B
2025-12-11 09:37:38,27,11.30,64.07,7837.7,0.82,318MB / 80.3MB,7.17MB / 0B
2025-12-11 09:37:57,27,13.64,63.63,7837.7,0.81,320MB / 80.8MB,7.17MB / 0B
2025-12-11 09:38:14,27,21.75,63.67,7837.7,0.81,322MB / 81.3MB,7.17MB / 0B
2025-12-11 09:38:32,28,14.62,63.73,7837.7,0.81,323MB / 81.7MB,7.17MB / 0B
2025-12-11 09:38:50,28,9.24,63.77,7837.7,0.81,325MB / 82.2MB,7.17MB / 0B
2025-12-11 09:39:06,28,16.28,63.84,7837.7,0.81,327MB / 82.6MB,7.17MB / 0B
2025-12-11 09:39:23,29,11.47,63.89,7837.7,0.82,329MB / 83.1MB,7.17MB / 0B
2025-12-11 09:39:39,29,19.59,63.95,7837.7,0.82,331MB / 83.5MB,7.17MB / 0B
2025-12-11 09:39:57,29,12.65,64,7837.7,0.82,333MB / 84MB,7.17MB / 0B
2025-12-11 09:40:14,29,21.71,64.05,7837.7,0.82,334MB / 84.4MB,7.17MB / 0B
2025-12-11 09:40:31,30,6.67,64.11,7837.7,0.82,336MB / 84.9MB,7.17MB / 0B
2025-12-11 09:40:48,30,10.11,64.17,7837.7,0.82,338MB / 85.4MB,7.17MB / 0B
2025-12-11 09:41:05,30,7.13,64.22,7837.7,0.82,340MB / 85.8MB,7.17MB / 0B
2025-12-11 09:41:23,31,6.50,64.27,7837.7,0.82,342MB / 86.3MB,7.17MB / 0B
2025-12-11 09:41:40,31,6.92,64.32,7837.7,0.82,343MB / 86.7MB,7.17MB / 0B
2025-12-11 09:41:55,31,6.79,64.38,7837.7,0.82,345MB / 87.2MB,7.17MB / 0B
2025-12-11 09:42:13,31,10.75,64.43,7837.7,0.82,347MB / 87.6MB,7.17MB / 0B
2025-12-11 09:42:29,32,8.01,64.49,7837.7,0.82,349MB / 88.1MB,7.17MB / 0B
2025-12-11 09:42:46,32,12.89,64.55,7837.7,0.82,351MB / 88.5MB,7.17MB / 0B
2025-12-11 09:43:01,32,7.70,64.61,7837.7,0.82,353MB / 89MB,7.17MB / 0B
2025-12-11 09:43:16,32,7.86,64.66,7837.7,0.82,354MB / 89.4MB,7.17MB / 0B
2025-12-11 09:43:33,33,10.32,64.71,7837.7,0.83,356MB / 89.8MB,7.17MB / 0B
2025-12-11 09:43:48,33,10.87,64.76,7837.7,0.83,358MB / 90.3MB,7.17MB / 0B
2025-12-11 09:44:06,33,8.16,64.82,7837.7,0.83,360MB / 90.8MB,7.17MB / 0B
2025-12-11 09:44:23,34,5.53,64.88,7837.7,0.83,362MB / 91.2MB,7.17MB / 0B
2025-12-11 09:44:38,34,7.17,64.94,7837.7,0.83,364MB / 91.7MB,7.17MB / 0B
2025-12-11 09:44:53,34,6.88,64.98,7837.7,0.83,365MB / 92.1MB,7.17MB / 0B
2025-12-11 09:45:09,34,10.48,65.03,7837.7,0.83,367MB / 92.5MB,7.17MB / 0B
2025-12-11 09:45:26,35,11.97,65.09,7837.7,0.83,369MB / 93MB,7.17MB / 0B
2025-12-11 09:45:43,35,11.48,65.42,7837.7,0.83,371MB / 93.5MB,7.17MB / 0B
2025-12-11 09:46:00,35,9.66,65.2,7837.7,0.83,373MB / 93.9MB,7.17MB / 0B
2025-12-11 09:46:17,35,7.23,65.25,7837.7,0.83,375MB / 94.4MB,7.17MB / 0B
2025-12-11 09:46:34,36,10.57,65.3,7837.7,0.83,376MB / 94.8MB,7.17MB / 0B
2025-12-11 09:46:49,36,11.12,65.35,7837.7,0.83,378MB / 95.3MB,7.17MB / 0B
2025-12-11 09:47:06,36,13.65,65.91,7837.7,0.84,380MB / 95.7MB,7.17MB / 0B
2025-12-11 09:47:22,37,15.57,65.47,7837.7,0.84,382MB / 96.2MB,7.17MB / 0B
