timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 09:10:22,0,99.94,266.8,7837.7,3.40,133MB / 92.8MB,55.8MB / 2.56MB
2025-12-11 09:10:38,0,94.75,270.8,7837.7,3.46,133MB / 93.1MB,55.8MB / 2.64MB
2025-12-11 09:10:53,0,100.57,270.8,7837.7,3.46,134MB / 93.4MB,55.8MB / 2.65MB
2025-12-11 09:11:08,0,99.41,270.5,7837.7,3.45,134MB / 93.7MB,55.8MB / 2.67MB
2025-12-11 09:11:23,1,100.44,270.3,7837.7,3.45,135MB / 94MB,55.8MB / 2.67MB
2025-12-11 09:11:38,1,100.33,270.7,7837.7,3.45,135MB / 94.3MB,55.8MB / 2.68MB
2025-12-11 09:11:54,1,100.45,274,7837.7,3.50,136MB / 94.6MB,55.8MB / 2.69MB
2025-12-11 09:12:09,1,100.08,271,7837.7,3.46,136MB / 94.9MB,55.8MB / 2.7MB
2025-12-11 09:12:24,2,100.62,270.9,7837.7,3.46,137MB / 95.2MB,55.8MB / 2.73MB
2025-12-11 09:12:39,2,99.04,271.1,7837.7,3.46,137MB / 95.4MB,55.8MB / 2.74MB
2025-12-11 09:12:55,2,99.88,274.1,7837.7,3.50,137MB / 95.7MB,55.8MB / 2.75MB
2025-12-11 09:13:11,2,112.35,272.6,7837.7,3.48,138MB / 96MB,55.8MB / 2.76MB
2025-12-11 09:13:26,3,99.87,273.5,7837.7,3.49,138MB / 96.3MB,55.8MB / 2.78MB
2025-12-11 09:13:41,3,100.48,272.6,7837.7,3.48,139MB / 96.5MB,55.8MB / 2.79MB
2025-12-11 09:13:56,3,98.97,272.8,7837.7,3.48,139MB / 96.8MB,55.8MB / 2.8MB
2025-12-11 09:14:11,3,99.75,272.9,7837.7,3.48,140MB / 97MB,55.8MB / 2.81MB
2025-12-11 09:14:26,4,96.37,274.8,7837.7,3.51,140MB / 97.3MB,55.8MB / 2.83MB
2025-12-11 09:14:41,4,91.70,273.5,7837.7,3.49,141MB / 97.5MB,55.8MB / 2.84MB
2025-12-11 09:14:56,4,93.92,275.3,7837.7,3.51,141MB / 97.9MB,55.8MB / 2.85MB
2025-12-11 09:15:12,4,97.05,273.8,7837.7,3.49,142MB / 98.2MB,55.8MB / 2.86MB
2025-12-11 09:15:27,5,95.32,273.9,7837.7,3.50,142MB / 98.5MB,55.8MB / 2.88MB
2025-12-11 09:15:43,5,100.16,274.1,7837.7,3.50,143MB / 98.7MB,55.8MB / 2.89MB
2025-12-11 09:15:58,5,106.99,274.4,7837.7,3.50,143MB / 99MB,55.8MB / 2.9MB
2025-12-11 09:16:14,5,100.99,276,7837.7,3.52,144MB / 99.3MB,55.8MB / 2.9MB
2025-12-11 09:16:29,6,100.66,275.2,7837.7,3.51,144MB / 99.5MB,55.8MB / 2.91MB
2025-12-11 09:16:45,6,99.23,274.5,7837.7,3.50,144MB / 99.8MB,55.8MB / 2.92MB
2025-12-11 09:17:00,6,100.33,274.7,7837.7,3.50,145MB / 100MB,55.8MB / 2.94MB
2025-12-11 09:17:14,6,100.02,277.3,7837.7,3.54,145MB / 100MB,55.8MB / 2.95MB
2025-12-11 09:17:29,7,101.93,274.8,7837.7,3.51,146MB / 101MB,55.8MB / 2.96MB
2025-12-11 09:17:45,7,100.03,278.1,7837.7,3.55,146MB / 101MB,55.8MB / 2.97MB
2025-12-11 09:18:01,7,98.70,275.5,7837.7,3.52,147MB / 101MB,55.8MB / 2.99MB
2025-12-11 09:18:16,7,93.17,276.3,7837.7,3.53,147MB / 101MB,55.8MB / 3MB
2025-12-11 09:18:31,8,96.14,276.6,7837.7,3.53,148MB / 102MB,55.8MB / 3.01MB
2025-12-11 09:18:46,8,95.39,276.7,7837.7,3.53,148MB / 102MB,55.8MB / 3.02MB
2025-12-11 09:19:02,8,100.43,279.2,7837.7,3.56,149MB / 102MB,55.8MB / 3.04MB
2025-12-11 09:19:18,8,99.89,277.4,7837.7,3.54,149MB / 102MB,55.8MB / 3.05MB
2025-12-11 09:19:34,9,99.64,277.5,7837.7,3.54,149MB / 103MB,55.8MB / 3.06MB
2025-12-11 09:19:50,9,100.02,278.2,7837.7,3.55,150MB / 103MB,55.8MB / 3.07MB
2025-12-11 09:20:05,9,106.53,280.2,7837.7,3.58,150MB / 103MB,55.8MB / 3.08MB
2025-12-11 09:20:21,9,101.96,279.7,7837.7,3.57,151MB / 103MB,56.3MB / 3.1MB
2025-12-11 09:20:36,10,98.89,279.8,7837.7,3.57,151MB / 104MB,56.4MB / 3.11MB
2025-12-11 09:20:51,10,92.88,281.6,7837.7,3.59,152MB / 104MB,56.4MB / 3.12MB
2025-12-11 09:21:07,10,94.88,281.7,7837.7,3.59,152MB / 104MB,56.4MB / 3.13MB
2025-12-11 09:21:23,11,105.66,282.8,7837.7,3.61,152MB / 104MB,56.4MB / 3.15MB
2025-12-11 09:21:40,11,100.48,283.5,7837.7,3.62,153MB / 105MB,56.7MB / 3.16MB
2025-12-11 09:21:55,11,101.16,273,7837.7,3.48,153MB / 105MB,56.7MB / 3.17MB
2025-12-11 09:22:11,11,99.76,272.9,7837.7,3.48,153MB / 105MB,56.7MB / 3.18MB
2025-12-11 09:22:26,12,104.28,273.1,7837.7,3.48,154MB / 105MB,56.7MB / 3.19MB
2025-12-11 09:22:41,12,94.30,273.2,7837.7,3.49,154MB / 105MB,56.7MB / 3.21MB
2025-12-11 09:22:56,12,95.73,275.1,7837.7,3.51,155MB / 106MB,56.7MB / 3.22MB
2025-12-11 09:23:15,12,101.69,273.6,7837.7,3.49,155MB / 106MB,56.7MB / 3.23MB
2025-12-11 09:23:31,13,101.69,274,7837.7,3.50,155MB / 106MB,56.7MB / 3.26MB
2025-12-11 09:23:48,13,99.85,274.7,7837.7,3.50,156MB / 106MB,56.7MB / 3.27MB
2025-12-11 09:24:04,13,102.46,274.1,7837.7,3.50,156MB / 106MB,56.7MB / 3.28MB
2025-12-11 09:24:20,13,97.99,274.3,7837.7,3.50,156MB / 107MB,56.7MB / 3.29MB
2025-12-11 09:24:38,14,100.43,274.5,7837.7,3.50,157MB / 107MB,56.7MB / 3.31MB
2025-12-11 09:24:55,14,103.91,274.7,7837.7,3.51,157MB / 107MB,56.7MB / 3.32MB
2025-12-11 09:25:11,14,100.54,277.8,7837.7,3.54,157MB / 107MB,56.7MB / 3.33MB
2025-12-11 09:25:28,15,98.44,271.7,7837.7,3.47,158MB / 107MB,56.7MB / 3.34MB
2025-12-11 09:25:45,15,91.17,258.8,7837.7,3.30,158MB / 108MB,56.7MB / 3.35MB
2025-12-11 09:26:01,15,100.11,268.2,7837.7,3.42,158MB / 108MB,56.7MB / 3.37MB
2025-12-11 09:26:18,15,101.27,262.7,7837.7,3.35,159MB / 108MB,56.7MB / 3.38MB
2025-12-11 09:26:35,16,100.28,265.4,7837.7,3.39,159MB / 108MB,56.7MB / 3.4MB
2025-12-11 09:26:51,16,101.04,263.2,7837.7,3.36,160MB / 108MB,56.7MB / 3.4MB
2025-12-11 09:27:06,16,100.30,263.6,7837.7,3.36,160MB / 108MB,56.7MB / 3.42MB
2025-12-11 09:27:21,16,100.57,267,7837.7,3.41,160MB / 109MB,56.8MB / 3.43MB
2025-12-11 09:27:37,17,100.35,266.2,7837.7,3.40,161MB / 109MB,56.8MB / 3.45MB
2025-12-11 09:27:53,17,100.88,265.6,7837.7,3.39,161MB / 109MB,56.8MB / 3.47MB
2025-12-11 09:28:09,17,99.46,267.2,7837.7,3.41,162MB / 109MB,56.8MB / 3.47MB
2025-12-11 09:28:24,18,95.35,267.4,7837.7,3.41,162MB / 110MB,56.8MB / 3.48MB
2025-12-11 09:28:40,18,103.15,267.5,7837.7,3.41,162MB / 110MB,56.8MB / 3.49MB
2025-12-11 09:28:56,18,99.20,267.8,7837.7,3.42,163MB / 110MB,56.8MB / 3.5MB
2025-12-11 09:29:11,18,100.29,268.2,7837.7,3.42,163MB / 110MB,56.8MB / 3.51MB
2025-12-11 09:29:28,19,101.08,269.8,7837.7,3.44,163MB / 110MB,56.8MB / 3.53MB
2025-12-11 09:29:45,19,95.96,274,7837.7,3.50,164MB / 111MB,56.8MB / 3.54MB
2025-12-11 09:30:01,19,95.15,270.1,7837.7,3.45,164MB / 111MB,56.8MB / 3.55MB
2025-12-11 09:30:16,19,105.36,270.6,7837.7,3.45,164MB / 111MB,56.8MB / 3.56MB
2025-12-11 09:30:34,20,99.66,272,7837.7,3.47,165MB / 111MB,56.8MB / 3.58MB
2025-12-11 09:30:50,20,100.23,274.8,7837.7,3.51,165MB / 111MB,56.8MB / 3.59MB
2025-12-11 09:31:07,20,108.79,275.2,7837.7,3.51,166MB / 112MB,56.8MB / 3.6MB
2025-12-11 09:31:24,21,94.43,276.4,7837.7,3.53,166MB / 112MB,56.8MB / 3.61MB
2025-12-11 09:31:39,21,94.51,275.4,7837.7,3.51,166MB / 112MB,56.8MB / 3.64MB
2025-12-11 09:31:56,21,99.05,275.6,7837.7,3.52,167MB / 112MB,56.8MB / 3.65MB
2025-12-11 09:32:12,21,99.71,275.8,7837.7,3.52,167MB / 113MB,56.8MB / 3.65MB
2025-12-11 09:32:27,22,99.29,276.3,7837.7,3.53,168MB / 113MB,56.8MB / 3.66MB
2025-12-11 09:32:42,22,102.76,279.7,7837.7,3.57,168MB / 113MB,56.8MB / 3.67MB
2025-12-11 09:32:58,22,101.20,279.8,7837.7,3.57,168MB / 113MB,56.8MB / 3.69MB
2025-12-11 09:33:16,22,97.06,280.5,7837.7,3.58,169MB / 113MB,56.8MB / 3.7MB
2025-12-11 09:33:33,23,95.74,280.4,7837.7,3.58,169MB / 113MB,56.8MB / 3.71MB
2025-12-11 09:33:49,23,100.52,280.6,7837.7,3.58,169MB / 114MB,56.8MB / 3.72MB
2025-12-11 09:34:05,23,99.87,281.9,7837.7,3.60,170MB / 114MB,56.8MB / 3.74MB
2025-12-11 09:34:22,24,101.39,281.2,7837.7,3.59,170MB / 114MB,56.8MB / 3.75MB
2025-12-11 09:34:39,24,100.52,280.8,7837.7,3.58,170MB / 114MB,56.8MB / 3.76MB
2025-12-11 09:34:55,24,94.53,281,7837.7,3.59,171MB / 114MB,56.8MB / 3.77MB
2025-12-11 09:35:11,24,100.68,281.2,7837.7,3.59,171MB / 115MB,56.8MB / 3.77MB
2025-12-11 09:35:26,25,99.77,281.6,7837.7,3.59,171MB / 115MB,56.8MB / 3.78MB
2025-12-11 09:35:43,25,98.46,281.8,7837.7,3.60,172MB / 115MB,56.8MB / 3.8MB
2025-12-11 09:36:00,25,100.11,281.7,7837.7,3.59,172MB / 115MB,56.8MB / 3.82MB
2025-12-11 09:36:17,25,101.60,281.9,7837.7,3.60,173MB / 116MB,56.8MB / 3.83MB
2025-12-11 09:36:35,26,100.20,283.5,7837.7,3.62,173MB / 116MB,56.8MB / 3.85MB
2025-12-11 09:36:51,26,98.47,283.6,7837.7,3.62,173MB / 116MB,56.8MB / 3.86MB
2025-12-11 09:37:07,26,99.33,284.9,7837.7,3.64,174MB / 116MB,56.8MB / 3.87MB
2025-12-11 09:37:23,27,100.01,285,7837.7,3.64,174MB / 116MB,56.8MB / 3.88MB
2025-12-11 09:37:38,27,105.25,286.1,7837.7,3.65,175MB / 117MB,56.8MB / 3.9MB
2025-12-11 09:37:57,27,101.95,284.2,7837.7,3.63,175MB / 117MB,56.8MB / 3.91MB
2025-12-11 09:38:14,27,102.05,284.6,7837.7,3.63,175MB / 117MB,56.8MB / 3.92MB
2025-12-11 09:38:32,28,100.83,284.6,7837.7,3.63,175MB / 117MB,56.8MB / 3.93MB
2025-12-11 09:38:50,28,101.40,284.8,7837.7,3.63,176MB / 117MB,56.8MB / 3.96MB
2025-12-11 09:39:06,28,100.22,286.1,7837.7,3.65,176MB / 117MB,56.8MB / 3.97MB
2025-12-11 09:39:23,29,98.40,285.1,7837.7,3.64,176MB / 118MB,56.8MB / 3.98MB
2025-12-11 09:39:39,29,105.65,285.4,7837.7,3.64,177MB / 118MB,56.8MB / 3.99MB
2025-12-11 09:39:57,29,102.94,285.5,7837.7,3.64,177MB / 118MB,56.8MB / 4.01MB
2025-12-11 09:40:14,29,100.16,285.7,7837.7,3.65,177MB / 118MB,56.8MB / 4.02MB
2025-12-11 09:40:31,30,105.10,287.5,7837.7,3.67,178MB / 118MB,56.8MB / 4.03MB
2025-12-11 09:40:48,30,101.99,286.1,7837.7,3.65,178MB / 118MB,56.8MB / 4.04MB
2025-12-11 09:41:05,30,121.05,286.3,7837.7,3.65,178MB / 119MB,56.8MB / 4.07MB
2025-12-11 09:41:23,31,111.48,286.4,7837.7,3.65,179MB / 119MB,56.8MB / 4.08MB
2025-12-11 09:41:40,31,98.46,286.8,7837.7,3.66,179MB / 119MB,56.8MB / 4.09MB
2025-12-11 09:41:55,31,100.42,287.1,7837.7,3.66,179MB / 119MB,56.8MB / 4.1MB
2025-12-11 09:42:13,31,99.75,287.1,7837.7,3.66,180MB / 119MB,56.8MB / 4.12MB
2025-12-11 09:42:29,32,98.54,287.4,7837.7,3.67,180MB / 119MB,56.8MB / 4.13MB
2025-12-11 09:42:46,32,95.01,287.6,7837.7,3.67,180MB / 120MB,56.8MB / 4.13MB
2025-12-11 09:43:01,32,104.10,287.7,7837.7,3.67,181MB / 120MB,56.8MB / 4.14MB
2025-12-11 09:43:16,32,101.57,287.7,7837.7,3.67,181MB / 120MB,56.8MB / 4.15MB
2025-12-11 09:43:33,33,103.56,287.8,7837.7,3.67,182MB / 120MB,56.8MB / 4.17MB
2025-12-11 09:43:48,33,101.00,288.1,7837.7,3.68,182MB / 120MB,56.8MB / 4.18MB
2025-12-11 09:44:06,33,96.51,288.2,7837.7,3.68,182MB / 121MB,56.8MB / 4.19MB
2025-12-11 09:44:23,34,98.14,288.6,7837.7,3.68,183MB / 121MB,56.8MB / 4.2MB
2025-12-11 09:44:38,34,101.11,288.8,7837.7,3.68,183MB / 121MB,56.8MB / 4.2MB
2025-12-11 09:44:53,34,92.69,289.2,7837.7,3.69,184MB / 121MB,56.8MB / 4.21MB
2025-12-11 09:45:09,34,100.28,288.9,7837.7,3.69,184MB / 122MB,56.8MB / 4.23MB
2025-12-11 09:45:26,35,103.80,289.3,7837.7,3.69,184MB / 122MB,56.8MB / 4.25MB
2025-12-11 09:45:43,35,94.92,289.3,7837.7,3.69,185MB / 122MB,56.8MB / 4.26MB
2025-12-11 09:46:00,35,98.77,289.6,7837.7,3.69,185MB / 122MB,56.8MB / 4.28MB
2025-12-11 09:46:17,35,99.59,289.6,7837.7,3.70,185MB / 122MB,56.8MB / 4.29MB
2025-12-11 09:46:34,36,99.84,289.8,7837.7,3.70,186MB / 122MB,56.8MB / 4.3MB
2025-12-11 09:46:49,36,107.46,290,7837.7,3.70,186MB / 123MB,56.8MB / 4.31MB
2025-12-11 09:47:06,36,106.87,291.1,7837.7,3.71,186MB / 123MB,56.8MB / 4.33MB
2025-12-11 09:47:22,37,97.91,290.6,7837.7,3.71,187MB / 123MB,56.8MB / 4.34MB
2025-12-11 09:47:40,37,101.80,290.8,7837.7,3.71,187MB / 123MB,56.8MB / 4.35MB
2025-12-11 09:47:56,37,115.63,290.7,7837.7,3.71,187MB / 123MB,56.8MB / 4.36MB
2025-12-11 09:48:13,37,101.43,291,7837.7,3.71,187MB / 123MB,56.8MB / 4.37MB
2025-12-11 09:48:30,38,103.35,294.4,7837.7,3.76,188MB / 124MB,56.8MB / 4.4MB
2025-12-11 09:48:47,38,100.85,291.3,7837.7,3.72,188MB / 124MB,56.8MB / 4.41MB
2025-12-11 09:49:03,38,102.64,292,7837.7,3.73,188MB / 124MB,56.8MB / 4.42MB
2025-12-11 09:49:20,38,101.21,291.7,7837.7,3.72,189MB / 124MB,56.8MB / 4.44MB
2025-12-11 09:49:35,39,100.80,292.2,7837.7,3.73,189MB / 124MB,56.8MB / 4.45MB
2025-12-11 09:49:51,39,100.49,293,7837.7,3.74,190MB / 125MB,56.8MB / 4.46MB
2025-12-11 09:50:08,39,102.06,293.2,7837.7,3.74,190MB / 125MB,56.8MB / 4.47MB
2025-12-11 09:50:23,40,101.41,293.3,7837.7,3.74,190MB / 125MB,56.8MB / 4.49MB
2025-12-11 09:50:39,40,102.63,293.5,7837.7,3.74,191MB / 125MB,56.8MB / 4.5MB
2025-12-11 09:50:55,40,100.33,293.7,7837.7,3.75,191MB / 125MB,56.8MB / 4.51MB
2025-12-11 09:51:10,40,98.63,293.9,7837.7,3.75,191MB / 126MB,56.8MB / 4.52MB
2025-12-11 09:51:26,41,100.82,294.1,7837.7,3.75,192MB / 126MB,56.8MB / 4.53MB
2025-12-11 09:51:48,41,101.88,294.5,7837.7,3.76,192MB / 126MB,56.8MB / 4.55MB
2025-12-11 09:52:04,41,100.22,294.4,7837.7,3.76,192MB / 126MB,56.8MB / 4.57MB
2025-12-11 09:52:22,42,95.74,294.8,7837.7,3.76,193MB / 126MB,56.8MB / 4.58MB
2025-12-11 09:52:37,42,95.48,294.8,7837.7,3.76,193MB / 126MB,56.8MB / 4.6MB
2025-12-11 09:52:55,42,100.34,295,7837.7,3.76,193MB / 127MB,56.8MB / 4.61MB
2025-12-11 09:53:11,42,100.61,298,7837.7,3.80,194MB / 127MB,56.8MB / 4.62MB
2025-12-11 09:53:26,43,102.55,295.4,7837.7,3.77,194MB / 127MB,56.8MB / 4.63MB
2025-12-11 09:53:43,43,89.20,295.7,7837.7,3.77,194MB / 127MB,56.8MB / 4.64MB
2025-12-11 09:53:58,43,92.07,298.2,7837.7,3.80,195MB / 127MB,56.8MB / 4.66MB
2025-12-11 09:54:13,43,101.65,295.8,7837.7,3.77,195MB / 127MB,56.8MB / 4.67MB
2025-12-11 09:54:29,44,102.78,296,7837.7,3.78,195MB / 128MB,56.8MB / 4.68MB
2025-12-11 09:54:46,44,102.01,296.2,7837.7,3.78,195MB / 128MB,56.8MB / 4.69MB
2025-12-11 09:55:04,44,101.35,296.7,7837.7,3.79,196MB / 128MB,56.8MB / 4.71MB
2025-12-11 09:55:20,44,95.11,298.5,7837.7,3.81,196MB / 128MB,56.8MB / 4.72MB
2025-12-11 09:55:37,45,99.88,296.8,7837.7,3.79,196MB / 128MB,56.8MB / 4.73MB
2025-12-11 09:55:52,45,101.42,296.9,7837.7,3.79,197MB / 128MB,56.8MB / 4.74MB
2025-12-11 09:56:08,45,100.14,297.2,7837.7,3.79,197MB / 129MB,56.8MB / 4.74MB
2025-12-11 09:56:26,46,111.00,297.4,7837.7,3.79,197MB / 129MB,56.8MB / 4.77MB
2025-12-11 09:56:43,46,98.59,297.8,7837.7,3.80,198MB / 129MB,56.8MB / 4.78MB
2025-12-11 09:56:59,46,94.93,297.7,7837.7,3.80,198MB / 129MB,56.8MB / 4.79MB
2025-12-11 09:57:16,46,100.40,298.1,7837.7,3.80,198MB / 129MB,56.8MB / 4.8MB
