timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 09:10:22,0,0.16,74.43,7837.7,0.95,75MB / 85.3MB,9.39MB / 164kB
2025-12-11 09:10:38,0,1.86,74.43,7837.7,0.95,75.2MB / 85.5MB,9.39MB / 164kB
2025-12-11 09:10:53,0,1.40,74.45,7837.7,0.95,75.4MB / 85.7MB,9.39MB / 164kB
2025-12-11 09:11:08,0,2.12,74.45,7837.7,0.95,75.6MB / 85.9MB,9.39MB / 164kB
2025-12-11 09:11:23,1,2.11,74.46,7837.7,0.95,75.8MB / 86.2MB,9.39MB / 164kB
2025-12-11 09:11:38,1,1.73,74.48,7837.7,0.95,76.1MB / 86.5MB,9.39MB / 164kB
2025-12-11 09:11:54,1,1.80,74.49,7837.7,0.95,76.3MB / 86.7MB,9.39MB / 164kB
2025-12-11 09:12:09,1,1.83,74.5,7837.7,0.95,76.5MB / 87MB,9.39MB / 164kB
2025-12-11 09:12:24,2,4.12,74.52,7837.7,0.95,76.8MB / 87.3MB,9.39MB / 164kB
2025-12-11 09:12:39,2,0.66,74.53,7837.7,0.95,77MB / 87.5MB,9.39MB / 164kB
2025-12-11 09:12:55,2,1.84,74.54,7837.7,0.95,77.2MB / 87.8MB,9.39MB / 164kB
2025-12-11 09:13:11,2,1.80,74.55,7837.7,0.95,77.4MB / 88MB,9.39MB / 164kB
2025-12-11 09:13:26,3,1.70,74.56,7837.7,0.95,77.7MB / 88.3MB,9.39MB / 164kB
2025-12-11 09:13:41,3,3.28,74.57,7837.7,0.95,77.9MB / 88.5MB,9.39MB / 164kB
2025-12-11 09:13:56,3,1.12,74.58,7837.7,0.95,78.1MB / 88.8MB,9.39MB / 164kB
2025-12-11 09:14:11,3,1.83,74.59,7837.7,0.95,78.3MB / 89MB,9.39MB / 164kB
2025-12-11 09:14:26,4,2.44,74.61,7837.7,0.95,78.5MB / 89.2MB,9.39MB / 164kB
2025-12-11 09:14:41,4,1.89,74.62,7837.7,0.95,78.7MB / 89.4MB,9.39MB / 172kB
2025-12-11 09:14:56,4,1.04,74.63,7837.7,0.95,78.9MB / 89.6MB,9.39MB / 172kB
2025-12-11 09:15:12,4,2.16,74.64,7837.7,0.95,79.1MB / 89.9MB,9.39MB / 172kB
2025-12-11 09:15:27,5,1.89,74.65,7837.7,0.95,79.3MB / 90.2MB,9.39MB / 172kB
2025-12-11 09:15:43,5,2.61,74.66,7837.7,0.95,79.6MB / 90.4MB,9.39MB / 172kB
2025-12-11 09:15:58,5,1.08,74.68,7837.7,0.95,79.8MB / 90.7MB,9.39MB / 172kB
2025-12-11 09:16:14,5,1.81,74.68,7837.7,0.95,80MB / 90.9MB,9.39MB / 172kB
2025-12-11 09:16:29,6,1.63,74.7,7837.7,0.95,80.2MB / 91.2MB,9.39MB / 172kB
2025-12-11 09:16:45,6,0.75,74.71,7837.7,0.95,80.4MB / 91.4MB,9.39MB / 172kB
2025-12-11 09:17:00,6,0.64,74.72,7837.7,0.95,80.6MB / 91.6MB,9.39MB / 172kB
2025-12-11 09:17:14,6,1.04,74.73,7837.7,0.95,80.8MB / 91.9MB,9.39MB / 172kB
2025-12-11 09:17:29,7,1.75,74.74,7837.7,0.95,81MB / 92.1MB,9.39MB / 172kB
2025-12-11 09:17:45,7,1.16,74.75,7837.7,0.95,81.2MB / 92.3MB,9.39MB / 172kB
2025-12-11 09:18:01,7,3.73,74.76,7837.7,0.95,81.4MB / 92.6MB,9.39MB / 172kB
2025-12-11 09:18:16,7,1.71,74.77,7837.7,0.95,81.6MB / 92.8MB,9.39MB / 172kB
2025-12-11 09:18:31,8,1.81,74.78,7837.7,0.95,81.8MB / 93MB,9.4MB / 172kB
2025-12-11 09:18:46,8,1.18,74.79,7837.7,0.95,82MB / 93.3MB,9.4MB / 172kB
2025-12-11 09:19:02,8,1.45,74.8,7837.7,0.95,82.2MB / 93.5MB,9.4MB / 172kB
2025-12-11 09:19:18,8,2.18,74.81,7837.7,0.95,82.4MB / 93.7MB,9.4MB / 172kB
2025-12-11 09:19:34,9,3.20,74.82,7837.7,0.95,82.6MB / 93.9MB,9.4MB / 172kB
2025-12-11 09:19:50,9,1.72,74.83,7837.7,0.95,82.8MB / 94.1MB,9.4MB / 172kB
2025-12-11 09:20:05,9,2.63,74.87,7837.7,0.96,83MB / 94.4MB,9.4MB / 172kB
2025-12-11 09:20:21,9,1.33,74.87,7837.7,0.96,83.2MB / 94.6MB,9.4MB / 172kB
2025-12-11 09:20:36,10,1.25,74.95,7837.7,0.96,83.4MB / 94.8MB,9.4MB / 172kB
2025-12-11 09:20:51,10,1.11,74.95,7837.7,0.96,83.6MB / 95MB,9.4MB / 172kB
2025-12-11 09:21:07,10,0.90,74.96,7837.7,0.96,83.8MB / 95.2MB,9.4MB / 172kB
2025-12-11 09:21:23,11,2.21,74.98,7837.7,0.96,84MB / 95.5MB,9.4MB / 172kB
2025-12-11 09:21:40,11,3.96,74.98,7837.7,0.96,84.1MB / 95.6MB,9.4MB / 172kB
2025-12-11 09:21:55,11,0.50,74.99,7837.7,0.96,84.2MB / 95.8MB,9.4MB / 172kB
2025-12-11 09:22:11,11,2.66,75,7837.7,0.96,84.4MB / 95.9MB,9.4MB / 172kB
2025-12-11 09:22:26,12,1.94,75.01,7837.7,0.96,84.6MB / 96.1MB,9.4MB / 172kB
2025-12-11 09:22:41,12,2.28,75.02,7837.7,0.96,84.7MB / 96.3MB,9.4MB / 172kB
