MemTotal:        8025424 kB
MemFree:          309700 kB
MemAvailable:    4476224 kB
Buffers:         1660208 kB
Cached:          1624264 kB
SwapCached:         7492 kB
Active:          2014720 kB
Inactive:        4377768 kB
Active(anon):    1849652 kB
Inactive(anon):  1258676 kB
Active(file):     165068 kB
Inactive(file):  3119092 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         930372 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             21932 kB
Writeback:            16 kB
AnonPages:       3017272 kB
Mapped:           141748 kB
Shmem:               332 kB
KReclaimable:    1085336 kB
Slab:            1207860 kB
SReclaimable:    1085336 kB
SUnreclaim:       122524 kB
KernelStack:       12080 kB
PageTables:        15824 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    9083140 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1505280 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
