timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 12:24:33,0,100.43,318.2,7837.7,4.06,372MB / 252MB,61.2MB / 11.1MB
2025-12-11 12:24:48,0,101.01,314.5,7837.7,4.01,372MB / 252MB,61.2MB / 11.1MB
2025-12-11 12:25:03,0,95.85,314.6,7837.7,4.01,373MB / 252MB,61.2MB / 11.1MB
2025-12-11 12:25:19,0,99.42,316.1,7837.7,4.03,373MB / 252MB,61.2MB / 11.1MB
2025-12-11 12:25:34,1,100.79,315.1,7837.7,4.02,373MB / 252MB,61.2MB / 11.1MB
2025-12-11 12:25:49,1,99.56,315.1,7837.7,4.02,374MB / 253MB,61.2MB / 11.1MB
2025-12-11 12:26:05,1,101.35,314.9,7837.7,4.02,374MB / 253MB,61.2MB / 11.1MB
2025-12-11 12:26:21,1,98.77,314.9,7837.7,4.02,375MB / 253MB,61.2MB / 11.1MB
2025-12-11 12:26:36,2,99.60,314.9,7837.7,4.02,375MB / 253MB,61.2MB / 11.2MB
2025-12-11 12:26:52,2,100.74,315.3,7837.7,4.02,375MB / 253MB,61.2MB / 11.2MB
2025-12-11 12:27:07,2,100.69,314.9,7837.7,4.02,376MB / 254MB,61.2MB / 11.2MB
2025-12-11 12:27:23,2,109.19,315.2,7837.7,4.02,376MB / 254MB,61.2MB / 11.2MB
2025-12-11 12:27:39,3,99.71,314.9,7837.7,4.02,376MB / 254MB,61.2MB / 11.2MB
2025-12-11 12:27:54,3,104.44,317.1,7837.7,4.05,377MB / 254MB,61.2MB / 11.2MB
2025-12-11 12:28:11,3,101.38,316.6,7837.7,4.04,377MB / 254MB,61.2MB / 11.2MB
2025-12-11 12:28:27,3,105.73,315,7837.7,4.02,377MB / 255MB,61.2MB / 11.3MB
2025-12-11 12:28:44,4,103.18,315.2,7837.7,4.02,378MB / 255MB,61.2MB / 11.3MB
2025-12-11 12:29:00,4,111.77,315.2,7837.7,4.02,378MB / 255MB,61.2MB / 11.3MB
