timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 12:24:33,0,1.63,83.7,7837.7,1.07,201MB / 228MB,14.6MB / 606kB
2025-12-11 12:24:48,0,1.44,83.7,7837.7,1.07,201MB / 229MB,14.6MB / 606kB
2025-12-11 12:25:03,0,1.62,83.71,7837.7,1.07,201MB / 229MB,14.6MB / 606kB
2025-12-11 12:25:19,0,2.06,83.72,7837.7,1.07,201MB / 229MB,14.6MB / 606kB
2025-12-11 12:25:34,1,0.32,83.72,7837.7,1.07,201MB / 229MB,14.6MB / 606kB
2025-12-11 12:25:49,1,1.98,83.73,7837.7,1.07,201MB / 229MB,14.6MB / 606kB
2025-12-11 12:26:05,1,2.30,83.73,7837.7,1.07,202MB / 229MB,14.6MB / 606kB
2025-12-11 12:26:21,1,1.41,83.74,7837.7,1.07,202MB / 230MB,14.6MB / 606kB
2025-12-11 12:26:36,2,3.07,83.75,7837.7,1.07,202MB / 230MB,14.6MB / 606kB
2025-12-11 12:26:52,2,3.55,83.78,7837.7,1.07,202MB / 230MB,14.6MB / 606kB
2025-12-11 12:27:07,2,3.11,83.77,7837.7,1.07,202MB / 230MB,14.6MB / 606kB
2025-12-11 12:27:23,2,3.84,83.77,7837.7,1.07,202MB / 230MB,14.6MB / 606kB
2025-12-11 12:27:39,3,1.74,83.78,7837.7,1.07,203MB / 230MB,14.6MB / 614kB
2025-12-11 12:27:54,3,1.87,83.79,7837.7,1.07,203MB / 231MB,14.6MB / 614kB
2025-12-11 12:28:11,3,3.57,83.8,7837.7,1.07,203MB / 231MB,14.6MB / 614kB
2025-12-11 12:28:27,3,2.24,83.8,7837.7,1.07,203MB / 231MB,14.6MB / 614kB
2025-12-11 12:28:44,4,1.49,83.81,7837.7,1.07,203MB / 231MB,14.6MB / 614kB
2025-12-11 12:29:00,4,4.81,83.82,7837.7,1.07,203MB / 231MB,14.6MB / 614kB
2025-12-11 12:29:15,4,1.87,83.83,7837.7,1.07,203MB / 231MB,14.6MB / 614kB
2025-12-11 12:29:31,4,3.23,83.84,7837.7,1.07,204MB / 232MB,14.6MB / 614kB
2025-12-11 12:29:46,5,2.84,83.84,7837.7,1.07,204MB / 232MB,14.6MB / 614kB
2025-12-11 12:30:02,5,0.81,83.85,7837.7,1.07,204MB / 232MB,14.6MB / 614kB
2025-12-11 12:30:17,5,1.41,83.86,7837.7,1.07,204MB / 232MB,14.6MB / 614kB
2025-12-11 12:30:33,6,2.50,83.87,7837.7,1.07,204MB / 232MB,14.6MB / 614kB
2025-12-11 12:30:48,6,1.11,83.88,7837.7,1.07,204MB / 232MB,14.6MB / 614kB
2025-12-11 12:31:03,6,1.27,83.88,7837.7,1.07,204MB / 233MB,14.6MB / 614kB
2025-12-11 12:31:19,6,0.87,82.2,7837.7,1.05,205MB / 233MB,14.6MB / 631kB
2025-12-11 12:31:34,7,1.64,82.02,7837.7,1.05,205MB / 233MB,14.6MB / 856kB
2025-12-11 12:31:50,7,2.25,81.63,7837.7,1.04,205MB / 233MB,14.6MB / 1.07MB
2025-12-11 12:32:06,7,2.71,81.63,7837.7,1.04,205MB / 233MB,14.6MB / 1.07MB
2025-12-11 12:32:22,7,1.63,81.64,7837.7,1.04,205MB / 233MB,14.6MB / 1.07MB
2025-12-11 12:32:39,8,4.71,81.14,7837.7,1.04,205MB / 234MB,14.6MB / 1.23MB
2025-12-11 12:32:55,8,0.65,81.14,7837.7,1.04,205MB / 234MB,14.6MB / 1.3MB
2025-12-11 12:33:11,8,0.87,81.08,7837.7,1.03,206MB / 234MB,14.6MB / 1.51MB
2025-12-11 12:33:28,8,6.26,80.89,7837.7,1.03,206MB / 234MB,14.6MB / 1.55MB
2025-12-11 12:33:43,9,2.33,80.52,7837.7,1.03,206MB / 234MB,14.6MB / 1.91MB
2025-12-11 12:34:01,9,1.57,80.53,7837.7,1.03,206MB / 234MB,14.6MB / 1.91MB
2025-12-11 12:34:16,9,0.99,80.54,7837.7,1.03,206MB / 234MB,14.6MB / 1.91MB
2025-12-11 12:34:32,9,1.54,80.54,7837.7,1.03,206MB / 235MB,14.6MB / 1.91MB
2025-12-11 12:34:48,10,1.30,80.55,7837.7,1.03,206MB / 235MB,14.6MB / 2.15MB
2025-12-11 12:35:04,10,4.43,80.56,7837.7,1.03,207MB / 235MB,14.6MB / 2.15MB
2025-12-11 12:35:19,10,1.31,80.3,7837.7,1.02,207MB / 235MB,14.6MB / 2.22MB
2025-12-11 12:35:35,11,0.87,80.3,7837.7,1.02,207MB / 235MB,14.6MB / 2.22MB
2025-12-11 12:35:51,11,4.49,79.06,7837.7,1.01,207MB / 235MB,14.6MB / 2.22MB
2025-12-11 12:36:06,11,0.10,79.07,7837.7,1.01,207MB / 236MB,14.6MB / 2.23MB
2025-12-11 12:36:22,11,0.52,79.08,7837.7,1.01,207MB / 236MB,14.6MB / 2.23MB
2025-12-11 12:36:38,12,1.37,79.09,7837.7,1.01,207MB / 236MB,14.6MB / 2.23MB
2025-12-11 12:36:55,12,1.26,79.09,7837.7,1.01,208MB / 236MB,14.6MB / 2.23MB
2025-12-11 12:37:11,12,2.03,79.1,7837.7,1.01,208MB / 236MB,14.6MB / 2.23MB
2025-12-11 12:37:27,12,1.49,79.11,7837.7,1.01,208MB / 237MB,14.6MB / 2.24MB
2025-12-11 12:37:43,13,1.12,79.12,7837.7,1.01,208MB / 237MB,14.6MB / 2.24MB
2025-12-11 12:37:58,13,1.59,79.14,7837.7,1.01,208MB / 237MB,14.6MB / 2.24MB
2025-12-11 12:38:15,13,0.93,79.13,7837.7,1.01,208MB / 237MB,14.6MB / 2.24MB
2025-12-11 12:38:33,14,1.94,79.14,7837.7,1.01,208MB / 237MB,14.6MB / 2.24MB
2025-12-11 12:38:50,14,2.20,79.15,7837.7,1.01,209MB / 237MB,14.6MB / 2.24MB
2025-12-11 12:39:07,14,1.42,79.15,7837.7,1.01,209MB / 237MB,14.6MB / 2.24MB
2025-12-11 12:39:22,14,0.12,79.16,7837.7,1.01,209MB / 238MB,14.6MB / 2.24MB
2025-12-11 12:39:38,15,2.76,79.17,7837.7,1.01,209MB / 238MB,14.6MB / 2.24MB
2025-12-11 12:39:53,15,10.99,79.18,7837.7,1.01,209MB / 238MB,14.6MB / 2.24MB
2025-12-11 12:40:10,15,4.28,79.19,7837.7,1.01,209MB / 238MB,14.6MB / 2.24MB
2025-12-11 12:40:29,15,1.92,79.19,7837.7,1.01,209MB / 238MB,14.6MB / 2.24MB
2025-12-11 12:40:44,16,1.61,79.2,7837.7,1.01,210MB / 238MB,14.6MB / 2.24MB
2025-12-11 12:40:59,16,1.45,79.21,7837.7,1.01,210MB / 239MB,14.6MB / 2.24MB
2025-12-11 12:41:16,16,0.22,79.21,7837.7,1.01,210MB / 239MB,14.6MB / 2.24MB
2025-12-11 12:41:32,16,2.01,79.22,7837.7,1.01,210MB / 239MB,14.6MB / 2.24MB
2025-12-11 12:41:47,17,1.45,79.24,7837.7,1.01,210MB / 239MB,14.6MB / 2.24MB
2025-12-11 12:42:04,17,1.40,79.25,7837.7,1.01,211MB / 239MB,14.6MB / 2.24MB
2025-12-11 12:42:20,17,2.43,79.26,7837.7,1.01,211MB / 240MB,14.6MB / 2.24MB
2025-12-11 12:42:35,18,1.21,79.27,7837.7,1.01,211MB / 240MB,14.6MB / 2.24MB
2025-12-11 12:42:51,18,2.42,79.27,7837.7,1.01,211MB / 240MB,14.6MB / 2.24MB
2025-12-11 12:43:06,18,6.52,79.29,7837.7,1.01,211MB / 240MB,14.6MB / 2.24MB
2025-12-11 12:43:23,18,29.68,79.56,7837.7,1.02,211MB / 241MB,14.6MB / 2.24MB
2025-12-11 12:43:40,19,4.35,79.3,7837.7,1.01,212MB / 241MB,14.6MB / 2.24MB
2025-12-11 12:43:55,19,1.18,79.31,7837.7,1.01,212MB / 241MB,14.6MB / 2.24MB
2025-12-11 12:44:12,19,1.65,79.32,7837.7,1.01,212MB / 241MB,14.6MB / 2.24MB
2025-12-11 12:44:27,19,1.19,79.33,7837.7,1.01,212MB / 241MB,14.6MB / 2.25MB
2025-12-11 12:44:44,20,3.09,79.34,7837.7,1.01,212MB / 241MB,14.6MB / 2.25MB
2025-12-11 12:45:00,20,3.96,79.35,7837.7,1.01,212MB / 242MB,14.6MB / 2.25MB
2025-12-11 12:45:16,20,1.82,79.36,7837.7,1.01,213MB / 242MB,14.6MB / 2.25MB
2025-12-11 12:45:35,21,1.33,79.36,7837.7,1.01,213MB / 242MB,14.6MB / 2.25MB
2025-12-11 12:45:51,21,2.03,79.37,7837.7,1.01,213MB / 242MB,14.6MB / 2.25MB
2025-12-11 12:46:06,21,2.26,79.38,7837.7,1.01,213MB / 242MB,14.6MB / 2.25MB
