timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 13:31:11,0,0.11,70.33,7837.7,0.90,20.7kB / 19.6kB,8.74MB / 0B
2025-12-11 13:31:27,0,0.10,70.35,7837.7,0.90,28.3kB / 28kB,8.74MB / 0B
2025-12-11 13:31:43,0,0.07,70.34,7837.7,0.90,35.6kB / 36kB,8.74MB / 0B
2025-12-11 13:31:59,0,0.13,70.35,7837.7,0.90,43.7kB / 44.7kB,8.74MB / 0B
2025-12-11 13:32:15,1,0.09,70.35,7837.7,0.90,50.9kB / 52.7kB,8.74MB / 0B
2025-12-11 13:32:30,1,0.10,70.35,7837.7,0.90,58.2kB / 60.9kB,8.74MB / 0B
2025-12-11 13:32:46,1,0.11,70.35,7837.7,0.90,65.7kB / 69.1kB,8.74MB / 0B
2025-12-11 13:33:01,1,0.11,70.35,7837.7,0.90,73.3kB / 77.5kB,8.74MB / 0B
2025-12-11 13:33:16,2,0.23,70.34,7837.7,0.90,80.6kB / 85.7kB,8.74MB / 0B
2025-12-11 13:33:32,2,0.39,70.59,7837.7,0.90,88.1kB / 93.9kB,8.74MB / 0B
2025-12-11 13:33:49,2,0.17,70.34,7837.7,0.90,96kB / 103kB,8.74MB / 0B
2025-12-11 13:34:04,2,0.10,70.35,7837.7,0.90,103kB / 111kB,8.74MB / 0B
2025-12-11 13:34:20,3,0.09,70.35,7837.7,0.90,120kB / 119kB,8.74MB / 0B
2025-12-11 13:34:39,3,0.09,70.36,7837.7,0.90,132kB / 130kB,8.74MB / 0B
2025-12-11 13:34:54,3,0.10,70.36,7837.7,0.90,141kB / 138kB,8.74MB / 0B
2025-12-11 13:35:09,3,0.17,70.36,7837.7,0.90,150kB / 147kB,8.74MB / 0B
2025-12-11 13:35:25,4,2.45,70.36,7837.7,0.90,159kB / 155kB,8.74MB / 0B
2025-12-11 13:35:43,4,0.07,70.36,7837.7,0.90,168kB / 164kB,8.74MB / 0B
2025-12-11 13:35:59,4,0.07,70.36,7837.7,0.90,176kB / 173kB,8.74MB / 0B
2025-12-11 13:36:16,5,0.09,70.36,7837.7,0.90,184kB / 182kB,8.74MB / 0B
2025-12-11 13:36:33,5,1.04,70.36,7837.7,0.90,193kB / 190kB,8.74MB / 0B
2025-12-11 13:36:49,5,0.17,70.36,7837.7,0.90,201kB / 199kB,8.74MB / 0B
2025-12-11 13:37:06,5,0.09,70.36,7837.7,0.90,209kB / 207kB,8.74MB / 0B
2025-12-11 13:37:22,6,5.99,70.36,7837.7,0.90,219kB / 219kB,8.74MB / 0B
2025-12-11 13:37:40,6,0.35,70.36,7837.7,0.90,228kB / 228kB,8.74MB / 0B
2025-12-11 13:37:58,6,0.20,70.36,7837.7,0.90,236kB / 236kB,8.74MB / 0B
2025-12-11 13:38:14,7,0.16,70.37,7837.7,0.90,244kB / 245kB,8.74MB / 0B
2025-12-11 13:38:29,7,0.13,70.36,7837.7,0.90,252kB / 253kB,8.74MB / 0B
2025-12-11 13:38:45,7,0.12,70.36,7837.7,0.90,259kB / 261kB,8.74MB / 0B
2025-12-11 13:39:04,7,0.41,70.36,7837.7,0.90,267kB / 270kB,8.74MB / 0B
2025-12-11 13:39:19,8,0.06,70.52,7837.7,0.90,275kB / 278kB,8.74MB / 0B
2025-12-11 13:39:35,8,51.53,68.01,7837.7,0.87,284kB / 290kB,8.74MB / 0B
2025-12-11 13:39:56,8,0.07,68,7837.7,0.87,292kB / 298kB,8.74MB / 0B
2025-12-11 13:40:13,9,0.05,68,7837.7,0.87,300kB / 307kB,8.74MB / 0B
2025-12-11 13:40:29,9,0.21,68,7837.7,0.87,308kB / 315kB,8.74MB / 0B
2025-12-11 13:40:53,9,0.13,68,7837.7,0.87,317kB / 325kB,8.74MB / 0B
2025-12-11 13:41:09,9,0.12,68,7837.7,0.87,324kB / 333kB,8.74MB / 0B
2025-12-11 13:41:29,10,0.23,68,7837.7,0.87,333kB / 345kB,8.74MB / 0B
2025-12-11 13:41:44,10,0.05,68,7837.7,0.87,341kB / 353kB,8.74MB / 0B
2025-12-11 13:42:00,10,2.89,68,7837.7,0.87,349kB / 361kB,8.74MB / 0B
2025-12-11 13:42:18,11,0.11,68,7837.7,0.87,356kB / 370kB,8.74MB / 0B
2025-12-11 13:42:33,11,0.07,68,7837.7,0.87,363kB / 378kB,8.74MB / 0B
2025-12-11 13:42:49,11,0.08,68,7837.7,0.87,372kB / 387kB,8.74MB / 0B
2025-12-11 13:43:09,11,0.05,68,7837.7,0.87,379kB / 395kB,8.74MB / 0B
2025-12-11 13:43:24,12,0.04,68,7837.7,0.87,387kB / 403kB,8.74MB / 0B
2025-12-11 13:43:41,12,0.42,68,7837.7,0.87,396kB / 415kB,8.74MB / 0B
2025-12-11 13:44:00,12,0.06,68,7837.7,0.87,403kB / 423kB,8.74MB / 0B
2025-12-11 13:44:15,13,0.04,68,7837.7,0.87,411kB / 431kB,8.74MB / 0B
2025-12-11 13:44:31,13,0.06,68,7837.7,0.87,418kB / 439kB,8.74MB / 0B
2025-12-11 13:44:49,13,0.07,68,7837.7,0.87,425kB / 448kB,8.74MB / 0B
2025-12-11 13:45:05,13,0.09,68,7837.7,0.87,433kB / 456kB,8.74MB / 0B
2025-12-11 13:45:21,14,0.07,68,7837.7,0.87,441kB / 464kB,8.74MB / 0B
2025-12-11 13:45:41,14,0.06,68,7837.7,0.87,448kB / 473kB,8.74MB / 0B
2025-12-11 13:45:56,14,0.08,68,7837.7,0.87,456kB / 481kB,8.74MB / 0B
2025-12-11 13:46:14,15,0.66,68,7837.7,0.87,466kB / 494kB,8.74MB / 0B
2025-12-11 13:47:28,16,0.07,68,7837.7,0.87,474kB / 502kB,8.74MB / 0B
2025-12-11 13:47:43,16,0.10,68,7837.7,0.87,481kB / 510kB,8.74MB / 0B
2025-12-11 13:48:00,16,0.26,68,7837.7,0.87,489kB / 519kB,8.74MB / 0B
2025-12-11 13:48:17,17,3.44,68,7837.7,0.87,496kB / 527kB,8.74MB / 0B
2025-12-11 13:48:37,17,0.16,68,7837.7,0.87,505kB / 536kB,8.74MB / 0B
2025-12-11 13:48:54,17,0.17,68,7837.7,0.87,514kB / 548kB,8.74MB / 0B
2025-12-11 13:49:12,18,0.79,68,7837.7,0.87,523kB / 557kB,8.74MB / 0B
2025-12-11 13:49:29,18,3.36,68,7837.7,0.87,532kB / 567kB,8.74MB / 0B
2025-12-11 13:49:49,18,0.30,68,7837.7,0.87,540kB / 575kB,8.74MB / 0B
2025-12-11 13:50:07,18,0.31,68,7837.7,0.87,550kB / 588kB,8.74MB / 0B
2025-12-11 13:50:26,19,0.32,68,7837.7,0.87,558kB / 596kB,8.74MB / 0B
2025-12-11 13:50:42,19,0.14,68,7837.7,0.87,567kB / 605kB,8.74MB / 0B
2025-12-11 13:51:02,19,0.19,68,7837.7,0.87,575kB / 614kB,8.74MB / 0B
2025-12-11 13:51:17,20,0.12,68,7837.7,0.87,583kB / 623kB,8.74MB / 0B
2025-12-11 13:51:33,20,0.17,68,7837.7,0.87,591kB / 631kB,8.74MB / 0B
2025-12-11 13:51:50,20,0.05,68,7837.7,0.87,599kB / 641kB,8.74MB / 0B
2025-12-11 13:52:08,20,0.11,68,7837.7,0.87,609kB / 653kB,8.74MB / 0B
2025-12-11 13:52:25,21,0.14,68,7837.7,0.87,617kB / 661kB,8.74MB / 0B
2025-12-11 13:52:42,21,0.12,68,7837.7,0.87,625kB / 670kB,8.74MB / 0B
2025-12-11 13:52:58,21,0.10,68,7837.7,0.87,633kB / 678kB,8.74MB / 0B
2025-12-11 13:53:14,22,0.05,68,7837.7,0.87,640kB / 687kB,8.74MB / 0B
2025-12-11 13:53:29,22,0.10,68,7837.7,0.87,648kB / 695kB,8.74MB / 0B
2025-12-11 13:53:44,22,0.09,68,7837.7,0.87,655kB / 703kB,8.74MB / 0B
2025-12-11 13:54:00,22,0.30,68,7837.7,0.87,663kB / 711kB,8.74MB / 0B
2025-12-11 13:54:17,23,0.08,68,7837.7,0.87,671kB / 720kB,8.74MB / 0B
2025-12-11 13:54:32,23,0.10,68,7837.7,0.87,678kB / 728kB,8.74MB / 0B
2025-12-11 13:54:47,23,0.76,68,7837.7,0.87,686kB / 736kB,8.74MB / 0B
2025-12-11 13:55:03,23,0.13,68,7837.7,0.87,693kB / 744kB,8.74MB / 0B
2025-12-11 13:55:18,24,0.11,68,7837.7,0.87,701kB / 753kB,8.74MB / 0B
2025-12-11 13:55:35,24,0.18,68,7837.7,0.87,709kB / 761kB,8.74MB / 0B
2025-12-11 13:55:52,24,0.12,68,7837.7,0.87,717kB / 770kB,8.74MB / 0B
2025-12-11 13:56:07,24,0.10,68,7837.7,0.87,725kB / 778kB,8.74MB / 0B
2025-12-11 13:56:23,25,1.24,68,7837.7,0.87,734kB / 789kB,8.74MB / 0B
2025-12-11 13:56:39,25,0.14,68,7837.7,0.87,741kB / 798kB,8.74MB / 0B
2025-12-11 13:56:55,25,0.06,68,7837.7,0.87,749kB / 806kB,8.74MB / 0B
2025-12-11 13:57:10,25,0.18,68,7837.7,0.87,757kB / 814kB,8.74MB / 0B
2025-12-11 13:57:26,26,0.10,68,7837.7,0.87,765kB / 823kB,8.74MB / 0B
2025-12-11 13:57:42,26,0.10,68,7837.7,0.87,772kB / 831kB,8.74MB / 0B
2025-12-11 13:57:57,26,0.06,68,7837.7,0.87,780kB / 840kB,8.74MB / 0B
2025-12-11 13:58:14,27,0.07,68,7837.7,0.87,788kB / 848kB,8.74MB / 0B
2025-12-11 13:58:30,27,0.16,68,7837.7,0.87,796kB / 857kB,8.74MB / 0B
2025-12-11 13:58:49,27,0.12,68,7837.7,0.87,805kB / 866kB,8.74MB / 0B
2025-12-11 13:59:07,27,0.35,68,7837.7,0.87,813kB / 875kB,8.74MB / 0B
2025-12-11 13:59:25,28,1.06,68,7837.7,0.87,823kB / 887kB,8.74MB / 0B
2025-12-11 13:59:43,28,0.64,68,7837.7,0.87,831kB / 896kB,8.74MB / 0B
2025-12-11 14:00:01,28,0.16,68,7837.7,0.87,840kB / 905kB,8.74MB / 0B
2025-12-11 14:00:18,29,0.15,68,7837.7,0.87,849kB / 913kB,8.74MB / 0B
2025-12-11 14:00:34,29,0.11,68,7837.7,0.87,857kB / 922kB,8.74MB / 0B
2025-12-11 14:00:50,29,1.69,68,7837.7,0.87,866kB / 931kB,8.74MB / 0B
2025-12-11 14:01:10,29,0.13,68,7837.7,0.87,876kB / 943kB,8.74MB / 0B
2025-12-11 14:01:27,30,0.32,68,7837.7,0.87,885kB / 952kB,8.74MB / 0B
2025-12-11 14:01:45,30,0.08,68,7837.7,0.87,894kB / 962kB,8.74MB / 0B
2025-12-11 14:02:03,30,0.18,68,7837.7,0.87,903kB / 971kB,8.74MB / 0B
2025-12-11 14:02:21,31,0.09,68,7837.7,0.87,913kB / 980kB,8.74MB / 0B
2025-12-11 14:02:40,31,0.10,68,7837.7,0.87,923kB / 992kB,8.74MB / 0B
2025-12-11 14:02:56,31,0.45,68,7837.7,0.87,931kB / 1MB,8.74MB / 0B
2025-12-11 14:03:14,32,4.19,68,7837.7,0.87,940kB / 1.01MB,8.74MB / 0B
2025-12-11 14:03:33,32,0.14,68,7837.7,0.87,950kB / 1.02MB,8.74MB / 0B
2025-12-11 14:03:50,32,0.07,68,7837.7,0.87,958kB / 1.03MB,8.74MB / 0B
2025-12-11 14:04:07,32,0.11,68,7837.7,0.87,966kB / 1.04MB,8.74MB / 0B
2025-12-11 14:04:25,33,0.17,68,7837.7,0.87,977kB / 1.05MB,8.74MB / 0B
2025-12-11 14:04:42,33,0.18,68,7837.7,0.87,985kB / 1.06MB,8.74MB / 0B
2025-12-11 14:04:59,33,0.04,68,7837.7,0.87,993kB / 1.07MB,8.74MB / 0B
2025-12-11 14:05:14,34,0.10,68,7837.7,0.87,1MB / 1.07MB,8.74MB / 0B
2025-12-11 14:05:30,34,0.08,68,7837.7,0.87,1.01MB / 1.08MB,8.74MB / 0B
2025-12-11 14:05:46,34,0.06,68,7837.7,0.87,1.02MB / 1.09MB,8.74MB / 0B
2025-12-11 14:06:01,34,0.04,68,7837.7,0.87,1.02MB / 1.1MB,8.74MB / 0B
2025-12-11 14:06:17,35,0.14,68,7837.7,0.87,1.03MB / 1.11MB,8.74MB / 0B
2025-12-11 14:06:33,35,0.05,68,7837.7,0.87,1.04MB / 1.12MB,8.74MB / 0B
2025-12-11 14:06:48,35,0.37,68,7837.7,0.87,1.05MB / 1.12MB,8.74MB / 0B
2025-12-11 14:07:05,35,0.06,68,7837.7,0.87,1.06MB / 1.13MB,8.74MB / 0B
2025-12-11 14:07:22,36,0.13,68,7837.7,0.87,1.06MB / 1.14MB,8.74MB / 0B
2025-12-11 14:07:38,36,0.08,68,7837.7,0.87,1.07MB / 1.15MB,8.74MB / 0B
2025-12-11 14:07:53,36,0.10,68,7837.7,0.87,1.08MB / 1.16MB,8.74MB / 0B
2025-12-11 14:08:10,36,0.07,68,7837.7,0.87,1.09MB / 1.17MB,8.74MB / 0B
2025-12-11 14:08:26,37,0.05,68,7837.7,0.87,1.1MB / 1.18MB,8.74MB / 0B
2025-12-11 14:08:44,37,0.09,68,7837.7,0.87,1.1MB / 1.19MB,8.74MB / 0B
2025-12-11 14:09:01,37,0.16,68,7837.7,0.87,1.11MB / 1.2MB,8.74MB / 0B
2025-12-11 14:09:18,38,0.14,68,7837.7,0.87,1.12MB / 1.21MB,8.74MB / 0B
2025-12-11 14:09:37,38,2.45,68,7837.7,0.87,1.13MB / 1.21MB,8.74MB / 0B
2025-12-11 14:09:54,38,0.12,68,7837.7,0.87,1.14MB / 1.23MB,8.74MB / 0B
2025-12-11 14:10:11,39,0.04,68,7837.7,0.87,1.15MB / 1.23MB,8.74MB / 0B
2025-12-11 14:10:26,39,0.07,68,7837.7,0.87,1.15MB / 1.24MB,8.74MB / 0B
2025-12-11 14:10:42,39,0.05,68,7837.7,0.87,1.16MB / 1.25MB,8.74MB / 0B
2025-12-11 14:10:57,39,0.17,68,7837.7,0.87,1.17MB / 1.26MB,8.74MB / 0B
2025-12-11 14:11:13,40,0.05,68,7837.7,0.87,1.18MB / 1.27MB,8.74MB / 0B
2025-12-11 14:11:31,40,0.08,68,7837.7,0.87,1.19MB / 1.28MB,8.74MB / 0B
2025-12-11 14:11:48,40,0.05,68,7837.7,0.87,1.19MB / 1.29MB,8.74MB / 0B
2025-12-11 14:12:04,40,0.03,68,7837.7,0.87,1.2MB / 1.29MB,8.74MB / 0B
2025-12-11 14:12:20,41,0.06,68,7837.7,0.87,1.21MB / 1.3MB,8.74MB / 0B
2025-12-11 14:12:35,41,0.11,68,7837.7,0.87,1.22MB / 1.31MB,8.74MB / 0B
2025-12-11 14:12:50,41,0.08,68,7837.7,0.87,1.22MB / 1.32MB,8.74MB / 0B
2025-12-11 14:13:06,41,0.06,68,7837.7,0.87,1.23MB / 1.33MB,8.74MB / 0B
2025-12-11 14:13:21,42,1.26,68,7837.7,0.87,1.24MB / 1.34MB,8.74MB / 0B
2025-12-11 14:13:38,42,1.71,68,7837.7,0.87,1.25MB / 1.35MB,8.74MB / 0B
2025-12-11 14:13:54,42,1.09,68,7837.7,0.87,1.26MB / 1.36MB,8.74MB / 0B
2025-12-11 14:14:09,42,1.14,68,7837.7,0.87,1.26MB / 1.36MB,8.74MB / 0B
2025-12-11 14:14:24,43,0.14,68,7837.7,0.87,1.27MB / 1.37MB,8.74MB / 0B
2025-12-11 14:14:40,43,0.05,68,7837.7,0.87,1.28MB / 1.38MB,8.74MB / 0B
2025-12-11 14:14:58,43,0.11,68,7837.7,0.87,1.29MB / 1.39MB,8.74MB / 0B
2025-12-11 14:15:14,44,0.06,68,7837.7,0.87,1.3MB / 1.4MB,8.74MB / 0B
2025-12-11 14:15:32,44,0.10,68,7837.7,0.87,1.3MB / 1.41MB,8.74MB / 0B
2025-12-11 14:15:48,44,0.09,68,7837.7,0.87,1.31MB / 1.42MB,8.74MB / 0B
2025-12-11 14:16:04,44,0.35,68,7837.7,0.87,1.32MB / 1.42MB,8.74MB / 0B
2025-12-11 14:16:20,45,0.06,68,7837.7,0.87,1.33MB / 1.43MB,8.74MB / 0B
2025-12-11 14:16:35,45,0.10,68,7837.7,0.87,1.33MB / 1.44MB,8.74MB / 0B
2025-12-11 14:16:52,45,0.06,68,7837.7,0.87,1.34MB / 1.45MB,8.74MB / 0B
2025-12-11 14:17:08,45,0.07,68,7837.7,0.87,1.35MB / 1.46MB,8.74MB / 0B
2025-12-11 14:17:23,46,2.06,68,7837.7,0.87,1.36MB / 1.47MB,8.74MB / 0B
2025-12-11 14:17:41,46,0.13,68,7837.7,0.87,1.37MB / 1.48MB,8.74MB / 0B
2025-12-11 14:17:57,46,0.07,68,7837.7,0.87,1.38MB / 1.49MB,8.74MB / 0B
2025-12-11 14:18:13,47,0.22,68,7837.7,0.87,1.38MB / 1.49MB,8.74MB / 0B
2025-12-11 14:18:29,47,0.08,68,7837.7,0.87,1.39MB / 1.5MB,8.74MB / 0B
2025-12-11 14:18:49,47,0.24,68,7837.7,0.87,1.4MB / 1.51MB,8.74MB / 0B
2025-12-11 14:19:07,47,0.08,68,7837.7,0.87,1.41MB / 1.52MB,8.74MB / 0B
2025-12-11 14:19:22,48,0.10,68,7837.7,0.87,1.42MB / 1.53MB,8.74MB / 0B
2025-12-11 14:19:38,48,4.89,68,7837.7,0.87,1.42MB / 1.54MB,8.74MB / 0B
2025-12-11 14:19:54,48,13.29,68,7837.7,0.87,1.43MB / 1.55MB,8.74MB / 0B
2025-12-11 14:20:13,49,0.21,68,7837.7,0.87,1.44MB / 1.56MB,8.74MB / 0B
2025-12-11 14:20:31,49,0.16,68,7837.7,0.87,1.45MB / 1.57MB,8.74MB / 0B
2025-12-11 14:20:49,49,0.40,68,7837.7,0.87,1.46MB / 1.58MB,8.74MB / 0B
2025-12-11 14:21:04,49,0.16,68,7837.7,0.87,1.47MB / 1.59MB,8.74MB / 0B
2025-12-11 14:21:22,50,2.37,68,7837.7,0.87,1.48MB / 1.6MB,8.74MB / 0B
2025-12-11 14:21:39,50,0.28,68.01,7837.7,0.87,1.48MB / 1.61MB,8.74MB / 0B
2025-12-11 14:21:55,50,0.32,68,7837.7,0.87,1.49MB / 1.61MB,8.74MB / 0B
2025-12-11 14:22:12,51,0.17,68,7837.7,0.87,1.5MB / 1.62MB,8.74MB / 0B
2025-12-11 14:22:28,51,0.23,68,7837.7,0.87,1.51MB / 1.63MB,8.74MB / 0B
2025-12-11 14:22:45,51,0.13,68,7837.7,0.87,1.52MB / 1.64MB,8.74MB / 0B
2025-12-11 14:23:03,51,0.18,68,7837.7,0.87,1.53MB / 1.65MB,8.74MB / 0B
2025-12-11 14:23:20,52,0.54,68,7837.7,0.87,1.53MB / 1.66MB,8.74MB / 0B
2025-12-11 14:23:37,52,0.38,68,7837.7,0.87,1.54MB / 1.67MB,8.74MB / 0B
2025-12-11 14:23:52,52,0.23,68,7837.7,0.87,1.55MB / 1.68MB,8.74MB / 0B
2025-12-11 14:24:08,52,0.07,68,7837.7,0.87,1.56MB / 1.68MB,8.74MB / 0B
2025-12-11 14:24:23,53,2.05,68,7837.7,0.87,1.56MB / 1.69MB,8.74MB / 0B
2025-12-11 14:24:41,53,0.06,68,7837.7,0.87,1.57MB / 1.7MB,8.74MB / 0B
2025-12-11 14:24:56,53,0.09,68,7837.7,0.87,1.58MB / 1.71MB,8.74MB / 0B
2025-12-11 14:25:13,54,0.14,68,7837.7,0.87,1.59MB / 1.72MB,8.74MB / 0B
2025-12-11 14:25:29,54,0.13,68,7837.7,0.87,1.6MB / 1.73MB,8.74MB / 0B
2025-12-11 14:25:44,54,0.07,68,7837.7,0.87,1.6MB / 1.74MB,8.74MB / 0B
2025-12-11 14:26:00,54,0.06,68,7837.7,0.87,1.61MB / 1.75MB,8.74MB / 0B
2025-12-11 14:26:16,55,0.07,68,7837.7,0.87,1.62MB / 1.75MB,8.74MB / 0B
2025-12-11 14:26:31,55,0.07,68,7837.7,0.87,1.63MB / 1.76MB,8.74MB / 0B
2025-12-11 14:26:46,55,0.06,68,7837.7,0.87,1.63MB / 1.77MB,8.74MB / 0B
2025-12-11 14:27:01,55,0.10,68,7837.7,0.87,1.64MB / 1.78MB,8.74MB / 0B
2025-12-11 14:27:18,56,0.28,68,7837.7,0.87,1.65MB / 1.79MB,8.74MB / 0B
2025-12-11 14:27:33,56,0.18,68,7837.7,0.87,1.66MB / 1.8MB,8.74MB / 0B
2025-12-11 14:27:50,56,0.07,68,7837.7,0.87,1.67MB / 1.8MB,8.74MB / 0B
2025-12-11 14:28:07,56,0.07,68,7837.7,0.87,1.67MB / 1.81MB,8.74MB / 0B
2025-12-11 14:28:22,57,0.06,68,7837.7,0.87,1.68MB / 1.82MB,8.74MB / 0B
2025-12-11 14:28:38,57,1.18,68,7837.7,0.87,1.69MB / 1.83MB,8.74MB / 0B
2025-12-11 14:28:53,57,0.87,68,7837.7,0.87,1.7MB / 1.84MB,8.74MB / 0B
2025-12-11 14:29:09,57,1.37,68,7837.7,0.87,1.7MB / 1.85MB,8.74MB / 0B
2025-12-11 14:29:24,58,0.06,68,7837.7,0.87,1.71MB / 1.86MB,8.74MB / 0B
2025-12-11 14:29:41,58,1.75,68,7837.7,0.87,1.72MB / 1.87MB,8.74MB / 0B
2025-12-11 14:29:59,58,0.09,68,7837.7,0.87,1.73MB / 1.88MB,8.74MB / 0B
2025-12-11 14:30:15,59,0.18,68,7837.7,0.87,1.74MB / 1.88MB,8.74MB / 0B
2025-12-11 14:30:31,59,0.05,68,7837.7,0.87,1.74MB / 1.89MB,8.74MB / 0B
2025-12-11 14:30:47,59,0.54,68,7837.7,0.87,1.75MB / 1.9MB,8.74MB / 0B
2025-12-11 14:31:02,59,0.44,68,7837.7,0.87,1.76MB / 1.91MB,8.74MB / 0B
2025-12-11 14:31:19,60,0.12,68,7837.7,0.87,1.77MB / 1.92MB,8.74MB / 0B
2025-12-11 14:31:34,60,0.05,68,7837.7,0.87,1.77MB / 1.92MB,8.74MB / 0B
2025-12-11 14:31:50,60,0.21,68,7837.7,0.87,1.78MB / 1.93MB,8.74MB / 0B
2025-12-11 14:32:05,60,0.17,68,7837.7,0.87,1.79MB / 1.94MB,8.74MB / 0B
