timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 13:31:11,0,0.57,72.79,7837.7,0.93,21.6kB / 20.1kB,9.53MB / 0B
2025-12-11 13:31:27,0,0.50,72.81,7837.7,0.93,29kB / 28.3kB,9.53MB / 0B
2025-12-11 13:31:43,0,0.09,72.81,7837.7,0.93,36.5kB / 36.7kB,9.53MB / 0B
2025-12-11 13:31:59,0,0.16,72.81,7837.7,0.93,44.4kB / 45.3kB,9.53MB / 0B
2025-12-11 13:32:15,1,0.21,72.81,7837.7,0.93,51.6kB / 53.3kB,9.53MB / 0B
2025-12-11 13:32:30,1,0.07,72.81,7837.7,0.93,58.9kB / 61.6kB,9.53MB / 0B
2025-12-11 13:32:46,1,0.13,72.81,7837.7,0.93,66.2kB / 69.6kB,9.53MB / 0B
2025-12-11 13:33:01,1,0.16,72.81,7837.7,0.93,73.7kB / 78kB,9.53MB / 0B
2025-12-11 13:33:16,2,0.23,72.81,7837.7,0.93,81kB / 86kB,9.53MB / 0B
2025-12-11 13:33:32,2,0.43,72.81,7837.7,0.93,88.5kB / 94.4kB,9.53MB / 0B
2025-12-11 13:33:49,2,0.10,72.81,7837.7,0.93,96.2kB / 103kB,9.53MB / 0B
2025-12-11 13:34:04,2,0.07,72.81,7837.7,0.93,103kB / 111kB,9.53MB / 0B
2025-12-11 13:34:20,3,25.58,73.72,7837.7,0.94,1.42MB / 1.49MB,9.65MB / 12.3kB
2025-12-11 13:34:39,3,13.03,73.71,7837.7,0.94,3.52MB / 3.71MB,9.65MB / 12.3kB
2025-12-11 13:34:54,3,9.28,73.84,7837.7,0.94,5.3MB / 5.61MB,9.65MB / 12.3kB
2025-12-11 13:35:09,3,15.20,73.97,7837.7,0.94,7.15MB / 7.58MB,9.65MB / 24.6kB
2025-12-11 13:35:25,4,20.61,74,7837.7,0.94,9.06MB / 9.6MB,9.65MB / 24.6kB
2025-12-11 13:35:43,4,10.40,74.32,7837.7,0.95,11MB / 11.7MB,9.65MB / 24.6kB
2025-12-11 13:35:59,4,11.44,74.13,7837.7,0.95,13MB / 13.7MB,9.65MB / 24.6kB
2025-12-11 13:36:16,5,19.66,74.21,7837.7,0.95,14.9MB / 15.8MB,9.65MB / 36.9kB
2025-12-11 13:36:33,5,20.63,74.26,7837.7,0.95,16.7MB / 17.7MB,9.65MB / 49.2kB
2025-12-11 13:36:49,5,11.24,74.34,7837.7,0.95,18.7MB / 19.8MB,9.65MB / 61.4kB
2025-12-11 13:37:06,5,30.14,74.37,7837.7,0.95,20.5MB / 21.7MB,9.65MB / 61.4kB
2025-12-11 13:37:22,6,14.39,74.42,7837.7,0.95,22.5MB / 23.8MB,9.65MB / 61.4kB
2025-12-11 13:37:40,6,17.50,74.47,7837.7,0.95,24.3MB / 25.8MB,9.65MB / 73.7kB
2025-12-11 13:37:58,6,17.26,75.03,7837.7,0.96,26.2MB / 27.8MB,9.65MB / 86kB
2025-12-11 13:38:14,7,9.46,74.59,7837.7,0.95,28.1MB / 29.8MB,9.65MB / 86kB
2025-12-11 13:38:29,7,13.32,74.62,7837.7,0.95,30MB / 31.8MB,9.65MB / 98.3kB
2025-12-11 13:38:45,7,8.94,74.69,7837.7,0.95,31.8MB / 33.7MB,9.65MB / 98.3kB
2025-12-11 13:39:04,7,8.50,74.9,7837.7,0.96,33.5MB / 35.5MB,9.65MB / 98.3kB
2025-12-11 13:39:19,8,19.18,70.56,7837.7,0.90,35.3MB / 37.5MB,9.65MB / 98.3kB
2025-12-11 13:39:35,8,24.60,70.88,7837.7,0.90,37.1MB / 39.4MB,9.65MB / 111kB
2025-12-11 13:39:56,8,24.80,70.68,7837.7,0.90,39MB / 41.4MB,9.65MB / 111kB
2025-12-11 13:40:13,9,8.45,70.73,7837.7,0.90,40.9MB / 43.4MB,9.65MB / 111kB
2025-12-11 13:40:29,9,28.85,70.77,7837.7,0.90,42.5MB / 45.1MB,9.65MB / 111kB
2025-12-11 13:40:53,9,12.24,70.85,7837.7,0.90,44.5MB / 47.2MB,9.65MB / 123kB
2025-12-11 13:41:09,9,9.29,70.91,7837.7,0.90,46.3MB / 49.2MB,9.65MB / 123kB
2025-12-11 13:41:29,10,9.30,70.97,7837.7,0.91,48.1MB / 51.1MB,9.65MB / 123kB
2025-12-11 13:41:44,10,6.39,71.03,7837.7,0.91,50MB / 53MB,9.65MB / 123kB
2025-12-11 13:42:00,10,4.81,71.11,7837.7,0.91,51.8MB / 55MB,9.65MB / 123kB
2025-12-11 13:42:18,11,9.44,71.13,7837.7,0.91,53.5MB / 56.8MB,9.65MB / 123kB
2025-12-11 13:42:33,11,6.44,71.2,7837.7,0.91,55.4MB / 58.8MB,9.65MB / 123kB
2025-12-11 13:42:49,11,15.15,71.27,7837.7,0.91,57.3MB / 60.8MB,9.65MB / 135kB
2025-12-11 13:43:09,11,6.92,71.81,7837.7,0.92,59.1MB / 62.7MB,9.65MB / 135kB
2025-12-11 13:43:24,12,7.65,71.36,7837.7,0.91,61MB / 64.7MB,9.65MB / 135kB
2025-12-11 13:43:41,12,31.66,71.9,7837.7,0.92,62.6MB / 66.5MB,9.65MB / 135kB
