timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 13:31:11,0,0.32,61.7,7837.7,0.79,24.8kB / 24.5kB,15.3MB / 0B
2025-12-11 13:31:27,0,0.06,61.72,7837.7,0.79,32.3kB / 32.9kB,15.3MB / 0B
2025-12-11 13:31:43,0,0.08,61.71,7837.7,0.79,39.9kB / 41.1kB,15.3MB / 0B
2025-12-11 13:31:59,0,0.16,61.71,7837.7,0.79,47.8kB / 49.6kB,15.3MB / 0B
2025-12-11 13:32:15,1,0.33,61.71,7837.7,0.79,55.1kB / 57.8kB,15.3MB / 0B
2025-12-11 13:32:30,1,0.08,61.71,7837.7,0.79,62.4kB / 65.8kB,15.3MB / 0B
2025-12-11 13:32:46,1,0.24,61.72,7837.7,0.79,70.1kB / 74.3kB,15.3MB / 0B
2025-12-11 13:33:01,1,0.10,61.72,7837.7,0.79,77.6kB / 82.5kB,15.3MB / 0B
2025-12-11 13:33:16,2,0.27,61.72,7837.7,0.79,85.1kB / 90.9kB,15.3MB / 0B
2025-12-11 13:33:32,2,0.07,61.72,7837.7,0.79,92.3kB / 98.9kB,15.3MB / 0B
2025-12-11 13:33:49,2,0.16,61.72,7837.7,0.79,100kB / 108kB,15.3MB / 0B
2025-12-11 13:34:04,2,0.18,61.72,7837.7,0.79,108kB / 116kB,15.3MB / 0B
2025-12-11 13:34:20,3,16.01,62.47,7837.7,0.80,1.89MB / 557kB,15.5MB / 0B
2025-12-11 13:34:39,3,12.35,62.38,7837.7,0.80,3.77MB / 1.02MB,15.5MB / 0B
2025-12-11 13:34:54,3,10.29,62.46,7837.7,0.80,5.46MB / 1.44MB,15.5MB / 0B
2025-12-11 13:35:09,3,6.90,62.55,7837.7,0.80,7.21MB / 1.87MB,15.5MB / 0B
2025-12-11 13:35:25,4,12.27,62.62,7837.7,0.80,9.13MB / 2.36MB,15.5MB / 0B
2025-12-11 13:35:43,4,6.81,62.69,7837.7,0.80,10.9MB / 2.79MB,15.5MB / 0B
2025-12-11 13:35:59,4,16.95,63,7837.7,0.80,12.7MB / 3.24MB,15.5MB / 0B
2025-12-11 13:36:16,5,10.55,62.8,7837.7,0.80,14.5MB / 3.67MB,15.5MB / 0B
2025-12-11 13:36:33,5,11.33,63.11,7837.7,0.81,16.2MB / 4.11MB,15.5MB / 0B
2025-12-11 13:36:49,5,7.97,62.91,7837.7,0.80,18.1MB / 4.58MB,15.5MB / 0B
2025-12-11 13:37:06,5,8.93,62.97,7837.7,0.80,19.8MB / 5.02MB,15.5MB / 0B
2025-12-11 13:37:22,6,21.10,63.01,7837.7,0.80,21.6MB / 5.48MB,15.5MB / 0B
2025-12-11 13:37:40,6,12.11,63.06,7837.7,0.80,23.4MB / 5.93MB,15.5MB / 0B
2025-12-11 13:37:58,6,9.69,63.13,7837.7,0.81,25.2MB / 6.36MB,15.5MB / 0B
2025-12-11 13:38:14,7,7.48,63.16,7837.7,0.81,26.9MB / 6.79MB,15.5MB / 0B
2025-12-11 13:38:29,7,5.72,63.22,7837.7,0.81,28.7MB / 7.23MB,15.5MB / 0B
2025-12-11 13:38:45,7,7.05,63.39,7837.7,0.81,30.3MB / 7.62MB,15.5MB / 0B
2025-12-11 13:39:04,7,5.43,63.43,7837.7,0.81,32MB / 8.04MB,15.5MB / 0B
2025-12-11 13:39:19,8,9.88,54.82,7837.7,0.70,33.7MB / 8.47MB,15.5MB / 0B
2025-12-11 13:39:35,8,19.30,54.86,7837.7,0.70,35.4MB / 8.89MB,15.5MB / 0B
2025-12-11 13:39:56,8,10.48,54.94,7837.7,0.70,37.2MB / 9.34MB,15.5MB / 0B
2025-12-11 13:40:13,9,6.95,54.99,7837.7,0.70,38.9MB / 9.76MB,15.5MB / 0B
2025-12-11 13:40:29,9,20.35,55.02,7837.7,0.70,40.6MB / 10.2MB,15.5MB / 0B
2025-12-11 13:40:53,9,6.32,55.07,7837.7,0.70,42.3MB / 10.6MB,15.5MB / 0B
2025-12-11 13:41:09,9,14.02,55.12,7837.7,0.70,44MB / 11MB,15.5MB / 0B
2025-12-11 13:41:29,10,8.38,55.18,7837.7,0.70,45.7MB / 11.5MB,15.5MB / 0B
2025-12-11 13:41:44,10,4.36,55.23,7837.7,0.70,47.5MB / 11.9MB,15.5MB / 0B
2025-12-11 13:42:00,10,49.67,55.29,7837.7,0.71,49.1MB / 12.3MB,15.5MB / 0B
2025-12-11 13:42:18,11,4.37,55.34,7837.7,0.71,50.8MB / 12.7MB,15.5MB / 0B
2025-12-11 13:42:33,11,4.39,55.41,7837.7,0.71,52.5MB / 13.1MB,15.5MB / 0B
2025-12-11 13:42:49,11,5.81,55.44,7837.7,0.71,54.3MB / 13.6MB,15.5MB / 0B
2025-12-11 13:43:09,11,4.12,55.75,7837.7,0.71,56MB / 14MB,15.5MB / 0B
2025-12-11 13:43:24,12,4.14,55.55,7837.7,0.71,57.8MB / 14.4MB,15.5MB / 0B
2025-12-11 13:43:41,12,9.95,55.6,7837.7,0.71,59.4MB / 14.8MB,15.5MB / 0B
2025-12-11 13:44:00,12,4.15,55.65,7837.7,0.71,61.1MB / 15.2MB,15.5MB / 0B
2025-12-11 13:44:15,13,5.65,55.69,7837.7,0.71,62.8MB / 15.6MB,15.5MB / 0B
2025-12-11 13:44:31,13,5.10,55.73,7837.7,0.71,64.3MB / 16MB,15.5MB / 0B
2025-12-11 13:44:49,13,5.60,55.79,7837.7,0.71,66.1MB / 16.4MB,15.5MB / 0B
2025-12-11 13:45:05,13,4.56,55.84,7837.7,0.71,67.8MB / 16.9MB,15.5MB / 0B
2025-12-11 13:45:21,14,4.18,55.88,7837.7,0.71,69.4MB / 17.3MB,15.5MB / 0B
2025-12-11 13:45:41,14,4.16,55.94,7837.7,0.71,71.1MB / 17.7MB,15.5MB / 0B
2025-12-11 13:45:56,14,7.04,56.49,7837.7,0.72,72.8MB / 18.1MB,15.5MB / 0B
2025-12-11 13:46:14,15,5.50,56.03,7837.7,0.71,74.5MB / 18.5MB,15.5MB / 0B
2025-12-11 13:47:28,16,5.04,56.1,7837.7,0.72,76.2MB / 18.9MB,15.5MB / 0B
2025-12-11 13:47:43,16,5.54,56.14,7837.7,0.72,77.9MB / 19.3MB,15.5MB / 0B
2025-12-11 13:48:00,16,5.93,56.18,7837.7,0.72,79.4MB / 19.7MB,15.5MB / 0B
2025-12-11 13:48:17,17,15.96,56.23,7837.7,0.72,81.1MB / 20.1MB,15.5MB / 0B
2025-12-11 13:48:37,17,13.31,56.29,7837.7,0.72,82.9MB / 20.6MB,15.5MB / 0B
2025-12-11 13:48:54,17,10.96,56.35,7837.7,0.72,84.7MB / 21MB,15.5MB / 0B
2025-12-11 13:49:12,18,9.60,56.39,7837.7,0.72,86.6MB / 21.5MB,15.5MB / 0B
2025-12-11 13:49:29,18,11.08,56.47,7837.7,0.72,88.6MB / 22MB,15.5MB / 0B
2025-12-11 13:49:49,18,10.75,56.51,7837.7,0.72,90.4MB / 22.5MB,15.5MB / 0B
2025-12-11 13:50:07,18,15.50,56.57,7837.7,0.72,92.3MB / 23MB,15.5MB / 0B
2025-12-11 13:50:26,19,12.14,56.61,7837.7,0.72,94MB / 23.4MB,15.5MB / 0B
2025-12-11 13:50:42,19,10.98,56.68,7837.7,0.72,95.9MB / 23.9MB,15.5MB / 0B
2025-12-11 13:51:02,19,12.03,56.73,7837.7,0.72,97.6MB / 24.3MB,15.5MB / 0B
2025-12-11 13:51:17,20,11.04,56.78,7837.7,0.72,99.4MB / 24.8MB,15.5MB / 0B
2025-12-11 13:51:33,20,8.37,56.84,7837.7,0.73,101MB / 25.2MB,15.5MB / 0B
2025-12-11 13:51:50,20,17.63,56.89,7837.7,0.73,103MB / 25.7MB,15.5MB / 0B
2025-12-11 13:52:08,20,7.48,56.96,7837.7,0.73,105MB / 26.2MB,15.5MB / 0B
2025-12-11 13:52:25,21,8.21,57,7837.7,0.73,107MB / 26.6MB,15.5MB / 0B
2025-12-11 13:52:42,21,9.22,57.06,7837.7,0.73,108MB / 27MB,15.5MB / 0B
2025-12-11 13:52:58,21,6.83,57.1,7837.7,0.73,110MB / 27.5MB,15.5MB / 0B
2025-12-11 13:53:14,22,11.00,57.15,7837.7,0.73,112MB / 27.9MB,15.5MB / 0B
2025-12-11 13:53:29,22,6.11,57.46,7837.7,0.73,114MB / 28.3MB,15.5MB / 0B
