MemTotal:        8025424 kB
MemFree:          161396 kB
MemAvailable:    5124212 kB
Buffers:         1499816 kB
Cached:          2407032 kB
SwapCached:         9880 kB
Active:          1728316 kB
Inactive:        4603676 kB
Active(anon):    1515432 kB
Inactive(anon):   910172 kB
Active(file):     212884 kB
Inactive(file):  3693504 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1007744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4368 kB
Writeback:             0 kB
AnonPages:       2301860 kB
Mapped:           323340 kB
Shmem:               444 kB
KReclaimable:    1259400 kB
Slab:            1393228 kB
SReclaimable:    1259400 kB
SUnreclaim:       133828 kB
KernelStack:       12240 kB
PageTables:        14516 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8444356 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             4800 kB
AnonHugePages:    436224 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
