timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 13:31:11,0,1.10,251.2,7837.7,3.21,24.7kB / 22.9kB,136MB / 0B
2025-12-11 13:31:27,0,0.09,252.6,7837.7,3.22,32.5kB / 31.9kB,138MB / 0B
2025-12-11 13:31:43,0,0.29,252.6,7837.7,3.22,40.6kB / 41.4kB,138MB / 0B
2025-12-11 13:31:59,0,0.09,252.6,7837.7,3.22,48.4kB / 50.4kB,138MB / 0B
2025-12-11 13:32:15,1,0.17,252.6,7837.7,3.22,56kB / 59.3kB,138MB / 0B
2025-12-11 13:32:30,1,0.16,252.6,7837.7,3.22,63.6kB / 68.2kB,138MB / 0B
2025-12-11 13:32:46,1,0.13,252.6,7837.7,3.22,71.6kB / 77.2kB,138MB / 0B
2025-12-11 13:33:01,1,0.23,252.6,7837.7,3.22,79.2kB / 86.1kB,138MB / 0B
2025-12-11 13:33:16,2,0.58,252.6,7837.7,3.22,87.2kB / 95.4kB,138MB / 0B
2025-12-11 13:33:32,2,0.22,252.6,7837.7,3.22,95.2kB / 105kB,138MB / 0B
2025-12-11 13:33:49,2,0.16,252.6,7837.7,3.22,103kB / 114kB,138MB / 0B
2025-12-11 13:34:04,2,92.06,293.8,7837.7,3.75,160kB / 145kB,152MB / 0B
2025-12-11 13:34:20,3,99.63,302.2,7837.7,3.86,500kB / 319kB,152MB / 61.4kB
2025-12-11 13:34:39,3,99.57,303.6,7837.7,3.87,852kB / 509kB,153MB / 98.3kB
2025-12-11 13:34:54,3,96.86,303.2,7837.7,3.87,1.2MB / 700kB,153MB / 111kB
2025-12-11 13:35:09,3,97.47,304.9,7837.7,3.89,1.53MB / 878kB,153MB / 123kB
2025-12-11 13:35:25,4,100.50,306.4,7837.7,3.91,1.82MB / 1.02MB,153MB / 135kB
2025-12-11 13:35:43,4,102.04,306.8,7837.7,3.91,2.18MB / 1.22MB,153MB / 147kB
2025-12-11 13:35:59,4,100.03,304.5,7837.7,3.89,2.56MB / 1.43MB,153MB / 160kB
2025-12-11 13:36:16,5,103.27,304.6,7837.7,3.89,2.93MB / 1.63MB,153MB / 184kB
2025-12-11 13:36:33,5,98.07,305.3,7837.7,3.90,3.16MB / 1.74MB,153MB / 197kB
2025-12-11 13:36:49,5,97.66,305.3,7837.7,3.90,3.47MB / 1.9MB,153MB / 209kB
2025-12-11 13:37:06,5,99.76,305.6,7837.7,3.90,3.74MB / 2.04MB,153MB / 221kB
2025-12-11 13:37:22,6,102.01,307.4,7837.7,3.92,4MB / 2.16MB,153MB / 233kB
2025-12-11 13:37:40,6,99.12,306.6,7837.7,3.91,4.29MB / 2.31MB,153MB / 246kB
2025-12-11 13:37:58,6,100.74,306.8,7837.7,3.91,4.63MB / 2.49MB,153MB / 258kB
2025-12-11 13:38:14,7,94.37,306,7837.7,3.90,5.05MB / 2.73MB,153MB / 270kB
2025-12-11 13:38:29,7,93.12,306.4,7837.7,3.91,5.44MB / 2.95MB,153MB / 283kB
2025-12-11 13:38:45,7,173.20,307.4,7837.7,3.92,5.76MB / 3.13MB,153MB / 295kB
2025-12-11 13:39:04,7,96.32,308.2,7837.7,3.93,6.12MB / 3.33MB,153MB / 307kB
2025-12-11 13:39:19,8,99.78,225.8,7837.7,2.88,6.52MB / 3.56MB,153MB / 319kB
2025-12-11 13:39:35,8,99.37,226,7837.7,2.88,6.88MB / 3.76MB,153MB / 344kB
2025-12-11 13:39:56,8,100.34,227.5,7837.7,2.90,7.21MB / 3.94MB,153MB / 356kB
2025-12-11 13:40:13,9,100.29,226.2,7837.7,2.89,7.66MB / 4.2MB,153MB / 369kB
2025-12-11 13:40:29,9,97.95,228.3,7837.7,2.91,7.91MB / 4.33MB,153MB / 393kB
2025-12-11 13:40:53,9,100.50,226.4,7837.7,2.89,8.29MB / 4.54MB,153MB / 406kB
2025-12-11 13:41:09,9,98.04,226.5,7837.7,2.89,8.68MB / 4.76MB,153MB / 418kB
2025-12-11 13:41:29,10,91.12,227.6,7837.7,2.90,9.07MB / 4.98MB,153MB / 430kB
2025-12-11 13:41:44,10,100.19,226.8,7837.7,2.89,9.55MB / 5.26MB,153MB / 442kB
2025-12-11 13:42:00,10,98.14,226.7,7837.7,2.89,9.93MB / 5.48MB,153MB / 455kB
2025-12-11 13:42:18,11,99.63,227.3,7837.7,2.90,10.3MB / 5.72MB,153MB / 467kB
2025-12-11 13:42:33,11,100.01,227.5,7837.7,2.90,10.8MB / 5.99MB,153MB / 479kB
2025-12-11 13:42:49,11,92.90,227.4,7837.7,2.90,11.2MB / 6.22MB,153MB / 516kB
2025-12-11 13:43:09,11,94.06,229.4,7837.7,2.93,11.7MB / 6.5MB,153MB / 528kB
2025-12-11 13:43:24,12,92.89,229.1,7837.7,2.92,12.2MB / 6.81MB,153MB / 541kB
2025-12-11 13:43:41,12,92.14,227.7,7837.7,2.91,12.5MB / 6.97MB,153MB / 553kB
2025-12-11 13:44:00,12,88.46,227.9,7837.7,2.91,13MB / 7.24MB,153MB / 565kB
2025-12-11 13:44:15,13,89.61,228,7837.7,2.91,13.5MB / 7.55MB,153MB / 578kB
2025-12-11 13:44:31,13,99.61,228.2,7837.7,2.91,13.8MB / 7.76MB,153MB / 590kB
2025-12-11 13:44:49,13,100.53,228.5,7837.7,2.92,14.3MB / 8.03MB,153MB / 602kB
2025-12-11 13:45:05,13,98.57,228.8,7837.7,2.92,14.8MB / 8.32MB,153MB / 614kB
2025-12-11 13:45:21,14,100.18,228.8,7837.7,2.92,15.2MB / 8.53MB,153MB / 627kB
2025-12-11 13:45:41,14,99.60,228.9,7837.7,2.92,15.6MB / 8.81MB,153MB / 639kB
2025-12-11 13:45:56,14,100.04,229.3,7837.7,2.93,16.1MB / 9.11MB,153MB / 651kB
2025-12-11 13:46:14,15,99.42,230.7,7837.7,2.94,16.4MB / 9.27MB,153MB / 676kB
2025-12-11 13:47:28,16,100.06,230.5,7837.7,2.94,16.9MB / 9.57MB,153MB / 688kB
2025-12-11 13:47:43,16,99.59,229.6,7837.7,2.93,17.4MB / 9.86MB,153MB / 700kB
2025-12-11 13:48:00,16,99.56,228.6,7837.7,2.92,17.8MB / 10.1MB,153MB / 713kB
2025-12-11 13:48:17,17,99.22,230.6,7837.7,2.94,18.2MB / 10.3MB,153MB / 725kB
2025-12-11 13:48:37,17,103.35,229.7,7837.7,2.93,18.5MB / 10.5MB,153MB / 737kB
2025-12-11 13:48:54,17,94.12,229.9,7837.7,2.93,18.8MB / 10.6MB,153MB / 750kB
2025-12-11 13:49:12,18,93.41,230.3,7837.7,2.94,19.1MB / 10.8MB,153MB / 762kB
2025-12-11 13:49:29,18,97.73,230.3,7837.7,2.94,19.4MB / 10.9MB,153MB / 786kB
2025-12-11 13:49:49,18,102.11,230.5,7837.7,2.94,19.6MB / 11MB,153MB / 799kB
2025-12-11 13:50:07,18,101.71,230.7,7837.7,2.94,19.8MB / 11.1MB,153MB / 811kB
2025-12-11 13:50:26,19,101.59,231.1,7837.7,2.95,20.1MB / 11.2MB,153MB / 823kB
2025-12-11 13:50:42,19,97.89,231.6,7837.7,2.96,20.4MB / 11.4MB,153MB / 836kB
2025-12-11 13:51:02,19,101.14,231.5,7837.7,2.95,20.6MB / 11.5MB,153MB / 848kB
2025-12-11 13:51:17,20,95.66,231.4,7837.7,2.95,21MB / 11.7MB,153MB / 860kB
2025-12-11 13:51:33,20,96.18,231.9,7837.7,2.96,21.3MB / 11.8MB,153MB / 872kB
2025-12-11 13:51:50,20,122.07,232,7837.7,2.96,21.6MB / 12MB,153MB / 897kB
2025-12-11 13:52:08,20,100.50,232.4,7837.7,2.97,21.9MB / 12.2MB,153MB / 909kB
2025-12-11 13:52:25,21,100.30,232.6,7837.7,2.97,22.2MB / 12.3MB,153MB / 922kB
2025-12-11 13:52:42,21,101.07,232.5,7837.7,2.97,22.6MB / 12.5MB,153MB / 934kB
2025-12-11 13:52:58,21,103.08,232.8,7837.7,2.97,23MB / 12.7MB,153MB / 946kB
2025-12-11 13:53:14,22,98.18,232.8,7837.7,2.97,23.3MB / 13MB,153MB / 958kB
2025-12-11 13:53:29,22,99.16,233.1,7837.7,2.97,23.7MB / 13.2MB,153MB / 971kB
2025-12-11 13:53:44,22,100.83,237.6,7837.7,3.03,24.1MB / 13.4MB,153MB / 971kB
2025-12-11 13:54:00,22,104.00,233.6,7837.7,2.98,24.4MB / 13.6MB,153MB / 983kB
2025-12-11 13:54:17,23,102.01,234.1,7837.7,2.99,24.8MB / 13.8MB,153MB / 995kB
2025-12-11 13:54:32,23,100.39,233.7,7837.7,2.98,25.2MB / 14MB,153MB / 1.01MB
2025-12-11 13:54:47,23,96.39,233.8,7837.7,2.98,25.6MB / 14.2MB,153MB / 1.01MB
2025-12-11 13:55:03,23,101.03,235.9,7837.7,3.01,26MB / 14.4MB,153MB / 1.02MB
2025-12-11 13:55:18,24,99.89,234.5,7837.7,2.99,26.3MB / 14.6MB,153MB / 1.03MB
2025-12-11 13:55:35,24,101.91,235.6,7837.7,3.01,26.7MB / 14.8MB,153MB / 1.04MB
2025-12-11 13:55:52,24,99.60,237.2,7837.7,3.03,27MB / 15MB,153MB / 1.06MB
2025-12-11 13:56:07,24,100.31,235.7,7837.7,3.01,27.4MB / 15.2MB,153MB / 1.07MB
2025-12-11 13:56:23,25,100.08,236.3,7837.7,3.02,27.8MB / 15.4MB,153MB / 1.08MB
2025-12-11 13:56:39,25,101.27,240.7,7837.7,3.07,28.2MB / 15.6MB,153MB / 1.09MB
2025-12-11 13:56:55,25,101.61,238.4,7837.7,3.04,28.5MB / 15.8MB,153MB / 1.11MB
2025-12-11 13:57:10,25,102.31,238.4,7837.7,3.04,28.8MB / 16MB,153MB / 1.12MB
2025-12-11 13:57:26,26,115.89,238.5,7837.7,3.04,29.2MB / 16.2MB,153MB / 1.13MB
2025-12-11 13:57:42,26,96.50,238.7,7837.7,3.05,29.5MB / 16.3MB,153MB / 1.14MB
2025-12-11 13:57:57,26,96.82,238.9,7837.7,3.05,29.8MB / 16.5MB,153MB / 1.17MB
2025-12-11 13:58:14,27,100.16,239,7837.7,3.05,30.1MB / 16.7MB,153MB / 1.18MB
2025-12-11 13:58:30,27,108.51,239.2,7837.7,3.05,30.4MB / 16.8MB,153MB / 1.19MB
2025-12-11 13:58:49,27,103.91,239.4,7837.7,3.05,30.7MB / 17MB,153MB / 1.2MB
2025-12-11 13:59:07,27,101.04,239.6,7837.7,3.06,30.9MB / 17.1MB,153MB / 1.22MB
2025-12-11 13:59:25,28,108.95,240.1,7837.7,3.06,31.2MB / 17.2MB,153MB / 1.23MB
2025-12-11 13:59:43,28,95.98,240.2,7837.7,3.06,31.5MB / 17.4MB,153MB / 1.24MB
