timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-11 13:31:11,0,1.02,79.52,7837.7,1.01,19.4kB / 18.5kB,23.6MB / 0B
2025-12-11 13:31:27,0,0.14,81.11,7837.7,1.03,26.6kB / 26.5kB,25.3MB / 0B
2025-12-11 13:31:43,0,0.09,81.1,7837.7,1.03,34.5kB / 35.1kB,25.3MB / 0B
2025-12-11 13:31:59,0,0.07,81.1,7837.7,1.03,42kB / 43.3kB,25.3MB / 0B
2025-12-11 13:32:15,1,0.05,81.1,7837.7,1.03,49.6kB / 51.7kB,25.3MB / 0B
2025-12-11 13:32:30,1,0.05,81.1,7837.7,1.03,56.8kB / 59.7kB,25.3MB / 0B
2025-12-11 13:32:46,1,0.11,81.1,7837.7,1.03,64.1kB / 67.9kB,25.3MB / 0B
2025-12-11 13:33:01,1,0.12,81.1,7837.7,1.03,71.7kB / 76.3kB,25.3MB / 0B
2025-12-11 13:33:16,2,0.16,81.1,7837.7,1.03,78.9kB / 84.3kB,25.3MB / 0B
2025-12-11 13:33:32,2,0.14,81.1,7837.7,1.03,86.4kB / 92.7kB,25.3MB / 0B
2025-12-11 13:33:49,2,0.30,81.11,7837.7,1.03,94.1kB / 101kB,25.3MB / 0B
2025-12-11 13:34:04,2,1.37,81.11,7837.7,1.03,102kB / 112kB,25.3MB / 0B
2025-12-11 13:34:20,3,6.50,81.36,7837.7,1.04,195kB / 216kB,25.3MB / 0B
2025-12-11 13:34:39,3,1.30,81.43,7837.7,1.04,333kB / 361kB,25.3MB / 0B
2025-12-11 13:34:54,3,4.17,81.48,7837.7,1.04,461kB / 505kB,25.3MB / 0B
2025-12-11 13:35:09,3,0.80,81.52,7837.7,1.04,583kB / 642kB,25.3MB / 0B
2025-12-11 13:35:25,4,5.63,81.55,7837.7,1.04,710kB / 787kB,25.3MB / 0B
2025-12-11 13:35:43,4,3.95,81.6,7837.7,1.04,812kB / 901kB,25.3MB / 0B
2025-12-11 13:35:59,4,1.06,81.64,7837.7,1.04,1MB / 1.11MB,25.3MB / 0B
2025-12-11 13:36:16,5,1.06,81.66,7837.7,1.04,1.16MB / 1.3MB,25.3MB / 0B
2025-12-11 13:36:33,5,0.54,81.66,7837.7,1.04,1.24MB / 1.39MB,25.3MB / 0B
2025-12-11 13:36:49,5,1.54,81.69,7837.7,1.04,1.31MB / 1.47MB,25.3MB / 0B
2025-12-11 13:37:06,5,3.06,81.72,7837.7,1.04,1.43MB / 1.6MB,25.3MB / 0B
2025-12-11 13:37:22,6,11.15,81.73,7837.7,1.04,1.53MB / 1.72MB,25.3MB / 0B
2025-12-11 13:37:40,6,1.42,81.73,7837.7,1.04,1.62MB / 1.82MB,25.3MB / 0B
2025-12-11 13:37:58,6,2.27,81.74,7837.7,1.04,1.75MB / 1.96MB,25.3MB / 0B
2025-12-11 13:38:14,7,1.91,81.75,7837.7,1.04,1.9MB / 2.13MB,25.3MB / 0B
2025-12-11 13:38:29,7,4.87,81.76,7837.7,1.04,2.07MB / 2.32MB,25.3MB / 0B
2025-12-11 13:38:45,7,1.11,81.7,7837.7,1.04,2.22MB / 2.5MB,25.3MB / 0B
