timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-12 08:54:04,0,0.18,70.12,7837.7,0.89,958kB / 1.07MB,14.2MB / 135kB
2025-12-12 08:54:20,0,34.13,71.1,7837.7,0.91,2.12MB / 2.28MB,14.4MB / 135kB
2025-12-12 08:54:36,0,18.48,71.06,7837.7,0.91,3.97MB / 4.24MB,14.4MB / 135kB
2025-12-12 08:54:52,0,8.41,71.19,7837.7,0.91,5.81MB / 6.19MB,14.4MB / 135kB
2025-12-12 08:55:09,1,0.14,71.2,7837.7,0.91,6.12MB / 6.52MB,14.4MB / 135kB
2025-12-12 08:55:24,1,0.09,71.18,7837.7,0.91,6.12MB / 6.52MB,14.4MB / 135kB
2025-12-12 08:55:40,1,9.19,71.2,7837.7,0.91,6.99MB / 7.45MB,14.4MB / 135kB
2025-12-12 08:55:56,1,7.32,71.27,7837.7,0.91,8.86MB / 9.43MB,14.4MB / 135kB
2025-12-12 08:56:11,2,8.83,71.38,7837.7,0.91,10.7MB / 11.4MB,14.4MB / 135kB
2025-12-12 08:56:26,2,8.08,71.48,7837.7,0.91,12.6MB / 13.4MB,14.4MB / 135kB
2025-12-12 08:56:42,2,7.60,71.58,7837.7,0.91,14.5MB / 15.4MB,14.4MB / 135kB
2025-12-12 08:56:58,2,9.68,71.95,7837.7,0.92,16.5MB / 17.5MB,14.5MB / 135kB
2025-12-12 08:57:14,3,16.45,71.76,7837.7,0.92,18.3MB / 19.5MB,14.5MB / 135kB
2025-12-12 08:57:29,3,14.29,72.07,7837.7,0.92,20.2MB / 21.5MB,14.5MB / 147kB
2025-12-12 08:57:45,3,8.31,71.87,7837.7,0.92,22.1MB / 23.4MB,14.5MB / 147kB
2025-12-12 08:58:00,3,15.84,71.94,7837.7,0.92,24MB / 25.5MB,14.5MB / 147kB
2025-12-12 08:58:16,4,20.98,71.98,7837.7,0.92,25.8MB / 27.5MB,14.5MB / 147kB
2025-12-12 08:58:33,4,9.54,72.29,7837.7,0.92,27.8MB / 29.6MB,14.5MB / 147kB
2025-12-12 08:58:50,4,11.53,72.07,7837.7,0.92,29.8MB / 31.7MB,14.5MB / 147kB
2025-12-12 08:59:06,5,12.99,72.13,7837.7,0.92,31.7MB / 33.6MB,14.5MB / 147kB
2025-12-12 08:59:21,5,30.86,72.21,7837.7,0.92,33.5MB / 35.6MB,14.5MB / 147kB
2025-12-12 08:59:40,5,15.67,72.25,7837.7,0.92,35.5MB / 37.7MB,14.5MB / 147kB
2025-12-12 08:59:56,5,10.67,72.34,7837.7,0.92,37.3MB / 39.6MB,14.5MB / 147kB
2025-12-12 09:00:12,6,8.76,72.37,7837.7,0.92,39.3MB / 41.8MB,14.5MB / 147kB
2025-12-12 09:00:28,6,30.71,72.95,7837.7,0.93,41.3MB / 43.9MB,14.5MB / 147kB
2025-12-12 09:00:44,6,13.30,72.5,7837.7,0.93,43.1MB / 45.8MB,14.5MB / 160kB
2025-12-12 09:00:59,6,10.46,72.57,7837.7,0.93,45.1MB / 47.9MB,14.5MB / 160kB
2025-12-12 09:01:16,7,7.88,72.87,7837.7,0.93,47MB / 49.9MB,14.5MB / 160kB
2025-12-12 09:01:31,7,14.73,72.69,7837.7,0.93,48.8MB / 51.8MB,14.5MB / 160kB
2025-12-12 09:01:48,7,15.72,72.72,7837.7,0.93,50.6MB / 53.8MB,14.5MB / 160kB
2025-12-12 09:02:03,7,8.80,72.77,7837.7,0.93,52.5MB / 55.8MB,14.5MB / 160kB
2025-12-12 09:02:19,8,9.37,72.84,7837.7,0.93,54.4MB / 57.8MB,14.5MB / 160kB
2025-12-12 09:02:34,8,14.13,72.88,7837.7,0.93,56.2MB / 59.7MB,14.5MB / 160kB
2025-12-12 09:02:50,8,10.93,72.96,7837.7,0.93,58.1MB / 61.8MB,14.5MB / 160kB
2025-12-12 09:03:06,9,17.58,73.24,7837.7,0.93,60MB / 63.8MB,14.5MB / 160kB
2025-12-12 09:03:22,9,17.27,73.07,7837.7,0.93,62MB / 65.9MB,14.5MB / 172kB
2025-12-12 09:03:37,9,9.94,73.09,7837.7,0.93,63.8MB / 67.8MB,14.5MB / 172kB
2025-12-12 09:03:53,9,15.17,73.16,7837.7,0.93,65.7MB / 69.8MB,14.5MB / 172kB
2025-12-12 09:04:10,10,7.06,73.2,7837.7,0.93,67.7MB / 72MB,14.5MB / 172kB
2025-12-12 09:04:25,10,8.50,73.25,7837.7,0.93,69.6MB / 73.9MB,14.5MB / 172kB
2025-12-12 09:04:42,10,11.00,73.31,7837.7,0.94,71.6MB / 76MB,14.5MB / 184kB
2025-12-12 09:04:59,10,26.88,73.37,7837.7,0.94,73.6MB / 78.1MB,14.5MB / 184kB
2025-12-12 09:05:16,11,18.09,73.41,7837.7,0.94,75.3MB / 80MB,14.5MB / 184kB
2025-12-12 09:05:32,11,26.76,73.45,7837.7,0.94,77.2MB / 82MB,14.5MB / 184kB
2025-12-12 09:05:49,11,11.38,73.51,7837.7,0.94,79.1MB / 84.1MB,14.5MB / 184kB
2025-12-12 09:06:06,12,10.43,73.56,7837.7,0.94,81MB / 86MB,14.5MB / 197kB
2025-12-12 09:06:22,12,17.31,73.64,7837.7,0.94,82.9MB / 88.1MB,14.5MB / 209kB
2025-12-12 09:06:38,12,11.79,73.68,7837.7,0.94,84.8MB / 90.1MB,14.5MB / 209kB
2025-12-12 09:06:53,12,14.33,73.73,7837.7,0.94,86.6MB / 92MB,14.5MB / 209kB
2025-12-12 09:07:10,13,19.21,73.78,7837.7,0.94,88.7MB / 94.2MB,14.5MB / 209kB
2025-12-12 09:07:26,13,7.33,73.83,7837.7,0.94,90.6MB / 96.2MB,14.5MB / 209kB
2025-12-12 09:07:43,13,7.82,73.89,7837.7,0.94,92.5MB / 98.3MB,14.5MB / 209kB
2025-12-12 09:08:00,13,12.67,73.95,7837.7,0.94,94.5MB / 100MB,14.5MB / 209kB
2025-12-12 09:08:16,14,19.21,73.98,7837.7,0.94,96.3MB / 102MB,14.5MB / 209kB
2025-12-12 09:08:33,14,12.71,74.04,7837.7,0.94,98.2MB / 104MB,14.5MB / 209kB
2025-12-12 09:08:49,14,10.64,74.38,7837.7,0.95,100MB / 107MB,14.5MB / 221kB
2025-12-12 09:09:06,15,9.94,74.15,7837.7,0.95,102MB / 109MB,14.5MB / 221kB
2025-12-12 09:09:23,15,9.92,74.23,7837.7,0.95,104MB / 111MB,14.5MB / 221kB
2025-12-12 09:09:39,15,12.92,74.3,7837.7,0.95,106MB / 113MB,14.5MB / 221kB
2025-12-12 09:09:55,15,16.09,74.31,7837.7,0.95,108MB / 115MB,14.5MB / 233kB
2025-12-12 09:10:10,16,16.86,74.37,7837.7,0.95,110MB / 117MB,14.5MB / 233kB
2025-12-12 09:10:26,16,12.52,74.42,7837.7,0.95,112MB / 119MB,14.5MB / 233kB
2025-12-12 09:10:43,16,44.93,74.49,7837.7,0.95,114MB / 121MB,14.5MB / 233kB
2025-12-12 09:11:00,16,26.42,74.54,7837.7,0.95,116MB / 123MB,14.5MB / 233kB
2025-12-12 09:11:17,17,9.35,74.83,7837.7,0.95,118MB / 125MB,14.5MB / 233kB
2025-12-12 09:11:33,17,15.82,74.63,7837.7,0.95,119MB / 127MB,14.5MB / 233kB
2025-12-12 09:11:49,17,20.69,74.71,7837.7,0.95,121MB / 129MB,14.5MB / 233kB
2025-12-12 09:12:07,18,14.17,74.74,7837.7,0.95,123MB / 131MB,14.5MB / 233kB
2025-12-12 09:12:23,18,14.72,75.3,7837.7,0.96,125MB / 133MB,14.5MB / 233kB
2025-12-12 09:12:39,18,12.07,74.86,7837.7,0.96,127MB / 135MB,14.5MB / 233kB
2025-12-12 09:12:57,18,15.75,74.91,7837.7,0.96,129MB / 137MB,14.5MB / 233kB
2025-12-12 09:13:12,19,9.69,75.2,7837.7,0.96,131MB / 139MB,14.5MB / 246kB
2025-12-12 09:13:29,19,20.14,75.51,7837.7,0.96,133MB / 141MB,14.5MB / 246kB
2025-12-12 09:13:45,19,13.49,75.09,7837.7,0.96,135MB / 143MB,14.5MB / 246kB
