timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-14 11:36:26,0,16.13,59.19,7837.7,0.76,583kB / 163kB,14.6MB / 0B
2025-12-14 11:36:44,0,22.41,59.36,7837.7,0.76,2.45MB / 638kB,14.6MB / 0B
2025-12-14 11:37:03,0,11.64,59.77,7837.7,0.76,4.33MB / 1.11MB,14.6MB / 0B
2025-12-14 11:37:19,0,18.41,59.6,7837.7,0.76,6.16MB / 1.58MB,14.6MB / 0B
2025-12-14 11:37:37,1,17.27,54.01,7837.7,0.69,8.13MB / 2.08MB,14.6MB / 0B
2025-12-14 11:37:59,1,15.76,54.54,7837.7,0.70,10MB / 2.56MB,15.1MB / 0B
2025-12-14 11:38:16,1,17.20,54.61,7837.7,0.70,11.8MB / 3.01MB,15.1MB / 0B
2025-12-14 11:38:33,2,15.64,54.65,7837.7,0.70,13.6MB / 3.46MB,15.1MB / 0B
2025-12-14 11:38:50,2,17.45,54.71,7837.7,0.70,15.4MB / 3.92MB,15.1MB / 0B
2025-12-14 11:39:08,2,11.67,55.01,7837.7,0.70,17.2MB / 4.38MB,15.1MB / 0B
2025-12-14 11:39:24,2,11.91,54.82,7837.7,0.70,18.9MB / 4.83MB,15.1MB / 0B
2025-12-14 11:39:41,3,14.30,54.88,7837.7,0.70,20.8MB / 5.3MB,15.1MB / 0B
2025-12-14 11:39:58,3,13.13,54.94,7837.7,0.70,22.5MB / 5.74MB,15.1MB / 0B
2025-12-14 11:40:15,3,13.09,54.98,7837.7,0.70,24.4MB / 6.21MB,15.1MB / 0B
2025-12-14 11:40:33,4,9.94,55.04,7837.7,0.70,26.4MB / 6.7MB,15.1MB / 0B
2025-12-14 11:40:50,4,17.04,55.71,7837.7,0.71,28.1MB / 7.15MB,15.1MB / 0B
2025-12-14 11:41:06,4,14.47,56.12,7837.7,0.72,29.9MB / 7.6MB,15.1MB / 0B
2025-12-14 11:41:23,4,10.13,56.14,7837.7,0.72,31.7MB / 8.04MB,15.1MB / 0B
2025-12-14 11:41:39,5,9.02,56.2,7837.7,0.72,33.5MB / 8.51MB,15.1MB / 0B
2025-12-14 11:41:56,5,13.09,56.27,7837.7,0.72,35.4MB / 8.97MB,15.1MB / 0B
2025-12-14 11:42:13,5,11.83,61.24,7837.7,0.78,37.1MB / 9.41MB,15.1MB / 0B
2025-12-14 11:42:28,6,14.09,59.79,7837.7,0.76,38.8MB / 9.84MB,15.1MB / 0B
2025-12-14 11:42:44,6,10.40,59.85,7837.7,0.76,40.7MB / 10.3MB,15.1MB / 0B
2025-12-14 11:43:02,6,17.63,59.92,7837.7,0.76,42.6MB / 10.8MB,15.1MB / 0B
2025-12-14 11:43:20,6,11.21,59.96,7837.7,0.77,44.6MB / 11.3MB,15.1MB / 0B
2025-12-14 11:43:37,7,14.11,60.02,7837.7,0.77,46.4MB / 11.8MB,15.1MB / 0B
2025-12-14 11:43:55,7,10.04,60.32,7837.7,0.77,48.2MB / 12.2MB,15.1MB / 0B
2025-12-14 11:44:12,7,14.44,60.12,7837.7,0.77,50.1MB / 12.7MB,15.1MB / 0B
2025-12-14 11:44:28,8,11.94,54.52,7837.7,0.70,51.8MB / 13.1MB,15.1MB / 0B
2025-12-14 11:44:44,8,12.60,54.57,7837.7,0.70,53.8MB / 13.6MB,15.1MB / 0B
2025-12-14 11:45:02,8,12.44,54.64,7837.7,0.70,55.8MB / 14.1MB,15.1MB / 0B
2025-12-14 11:45:20,8,11.35,54.68,7837.7,0.70,57.6MB / 14.6MB,15.1MB / 0B
2025-12-14 11:45:37,9,11.35,54.74,7837.7,0.70,59.4MB / 15MB,15.1MB / 0B
2025-12-14 11:45:53,9,15.34,54.8,7837.7,0.70,61.3MB / 15.5MB,15.1MB / 0B
2025-12-14 11:46:10,9,10.21,54.87,7837.7,0.70,63.1MB / 16MB,15.1MB / 0B
2025-12-14 11:46:26,10,14.39,54.91,7837.7,0.70,64.9MB / 16.4MB,15.1MB / 0B
2025-12-14 11:46:43,10,15.46,56.23,7837.7,0.72,66.7MB / 16.9MB,15.1MB / 12.3kB
2025-12-14 11:47:00,10,10.78,55.36,7837.7,0.71,68.6MB / 17.4MB,15.2MB / 1.62MB
2025-12-14 11:47:17,10,14.17,51.7,7837.7,0.66,70.3MB / 17.8MB,15.2MB / 5.51MB
2025-12-14 11:47:33,11,14.13,50.04,7837.7,0.64,72.2MB / 18.3MB,15.2MB / 7.21MB
2025-12-14 11:47:50,11,11.04,50.09,7837.7,0.64,74MB / 18.7MB,15.2MB / 7.21MB
2025-12-14 11:48:07,11,14.54,50.16,7837.7,0.64,75.9MB / 19.2MB,15.2MB / 7.21MB
2025-12-14 11:48:25,11,14.74,50.21,7837.7,0.64,77.8MB / 19.7MB,15.2MB / 7.21MB
2025-12-14 11:48:42,12,12.99,50.26,7837.7,0.64,79.7MB / 20.2MB,15.2MB / 7.21MB
2025-12-14 11:48:59,12,12.94,50.31,7837.7,0.64,81.6MB / 20.6MB,15.2MB / 7.21MB
2025-12-14 11:49:15,12,10.01,50.37,7837.7,0.64,83.4MB / 21.1MB,15.2MB / 7.21MB
2025-12-14 11:49:32,13,12.75,50.43,7837.7,0.64,85.3MB / 21.6MB,15.2MB / 7.21MB
2025-12-14 11:49:49,13,14.66,50.51,7837.7,0.64,87.2MB / 22.1MB,15.2MB / 7.21MB
2025-12-14 11:50:08,13,14.79,49.68,7837.7,0.63,89.1MB / 22.5MB,15.2MB / 8.68MB
2025-12-14 11:50:25,13,15.64,47.01,7837.7,0.60,90.8MB / 23MB,15.2MB / 11.4MB
2025-12-14 11:50:41,14,10.51,42.57,7837.7,0.54,92.7MB / 23.4MB,15.2MB / 16.1MB
2025-12-14 11:50:58,14,15.11,41.39,7837.7,0.53,94.5MB / 23.9MB,15.2MB / 17.1MB
2025-12-14 11:51:15,14,13.28,40.5,7837.7,0.52,96.3MB / 24.4MB,15.2MB / 18.6MB
2025-12-14 11:51:32,15,15.21,39.41,7837.7,0.50,98.3MB / 24.9MB,15.2MB / 19.8MB
2025-12-14 11:51:49,15,13.01,38.4,7837.7,0.49,100MB / 25.3MB,15.2MB / 20.7MB
2025-12-14 11:52:06,15,15.42,37.95,7837.7,0.48,102MB / 25.8MB,15.2MB / 21.2MB
2025-12-14 11:52:23,15,8.68,37.34,7837.7,0.48,104MB / 26.2MB,15.2MB / 22.1MB
2025-12-14 11:52:39,16,13.43,37.8,7837.7,0.48,106MB / 26.7MB,15.2MB / 22.3MB
2025-12-14 11:52:54,16,8.44,36.37,7837.7,0.46,107MB / 27.1MB,15.2MB / 23.2MB
2025-12-14 11:53:10,16,6.67,36.43,7837.7,0.46,109MB / 27.5MB,15.2MB / 23.2MB
2025-12-14 11:53:26,17,4.64,36.15,7837.7,0.46,111MB / 28MB,15.2MB / 23.3MB
2025-12-14 11:53:42,17,4.66,36.11,7837.7,0.46,113MB / 28.4MB,15.2MB / 23.6MB
2025-12-14 11:53:58,17,6.14,35.77,7837.7,0.46,115MB / 28.9MB,15.2MB / 23.7MB
2025-12-14 11:54:14,17,7.04,35.47,7837.7,0.45,117MB / 29.4MB,15.2MB / 23.8MB
2025-12-14 11:54:30,18,4.48,35.03,7837.7,0.45,118MB / 29.8MB,15.2MB / 24.3MB
2025-12-14 11:54:46,18,5.35,34.94,7837.7,0.45,120MB / 30.2MB,15.2MB / 24.7MB
2025-12-14 11:55:02,18,5.28,34.64,7837.7,0.44,122MB / 30.7MB,15.2MB / 24.9MB
2025-12-14 11:55:18,18,4.48,34.7,7837.7,0.44,124MB / 31.1MB,15.2MB / 24.9MB
2025-12-14 11:55:33,19,10.78,34.08,7837.7,0.43,126MB / 31.6MB,15.2MB / 25.4MB
2025-12-14 11:55:49,19,11.35,34.12,7837.7,0.44,127MB / 32MB,15.2MB / 25.4MB
2025-12-14 11:56:04,19,6.30,34.03,7837.7,0.43,129MB / 32.4MB,15.2MB / 25.8MB
2025-12-14 11:56:20,19,11.94,33.73,7837.7,0.43,131MB / 32.9MB,15.2MB / 25.9MB
2025-12-14 11:56:36,20,8.74,33.78,7837.7,0.43,133MB / 33.3MB,15.2MB / 25.9MB
2025-12-14 11:56:53,20,7.79,33.95,7837.7,0.43,135MB / 33.8MB,15.2MB / 26.3MB
2025-12-14 11:57:09,20,8.56,33.75,7837.7,0.43,136MB / 34.2MB,15.2MB / 26.3MB
2025-12-14 11:57:25,20,6.58,32.57,7837.7,0.42,138MB / 34.7MB,15.2MB / 27.2MB
2025-12-14 11:57:41,21,4.53,32.63,7837.7,0.42,140MB / 35.1MB,15.2MB / 27.2MB
2025-12-14 11:57:56,21,7.39,32.39,7837.7,0.41,142MB / 35.5MB,15.2MB / 27.5MB
2025-12-14 11:58:12,21,5.07,31.79,7837.7,0.41,143MB / 36MB,15.2MB / 28MB
