timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-16 13:35:01,0,90.78,270.8,7837.7,3.46,268kB / 130kB,135MB / 49.2kB
2025-12-16 13:35:18,0,104.27,269.6,7837.7,3.44,605kB / 318kB,135MB / 98.3kB
2025-12-16 13:35:34,0,103.87,271.8,7837.7,3.47,917kB / 487kB,135MB / 111kB
2025-12-16 13:35:50,0,103.21,276.4,7837.7,3.53,1.21MB / 643kB,139MB / 123kB
2025-12-16 13:36:07,1,103.35,277.9,7837.7,3.55,1.52MB / 811kB,139MB / 135kB
2025-12-16 13:36:24,1,98.18,275.9,7837.7,3.52,1.85MB / 986kB,139MB / 147kB
2025-12-16 13:36:42,1,102.58,276.4,7837.7,3.53,2.17MB / 1.16MB,139MB / 172kB
2025-12-16 13:37:00,1,99.65,277.1,7837.7,3.54,2.5MB / 1.35MB,139MB / 184kB
2025-12-16 13:37:18,2,106.48,277.3,7837.7,3.54,2.77MB / 1.49MB,139MB / 197kB
2025-12-16 13:37:33,2,102.28,278.4,7837.7,3.55,3.07MB / 1.64MB,139MB / 209kB
2025-12-16 13:37:51,2,103.43,242.9,7837.7,3.10,3.35MB / 1.79MB,139MB / 233kB
2025-12-16 13:38:11,3,103.42,245.1,7837.7,3.13,3.65MB / 1.95MB,139MB / 246kB
2025-12-16 13:38:28,3,103.32,245.6,7837.7,3.13,3.97MB / 2.13MB,139MB / 258kB
2025-12-16 13:38:45,3,99.65,243.7,7837.7,3.11,4.25MB / 2.27MB,139MB / 270kB
2025-12-16 13:39:02,4,98.61,243.9,7837.7,3.11,4.5MB / 2.4MB,139MB / 283kB
2025-12-16 13:39:19,4,94.56,243.8,7837.7,3.11,4.78MB / 2.53MB,139MB / 295kB
2025-12-16 13:39:38,4,104.41,246,7837.7,3.14,5.05MB / 2.68MB,139MB / 307kB
2025-12-16 13:39:53,4,106.88,244.5,7837.7,3.12,5.34MB / 2.83MB,139MB / 319kB
2025-12-16 13:40:10,5,105.25,246.3,7837.7,3.14,5.59MB / 2.96MB,139MB / 332kB
2025-12-16 13:40:27,5,103.78,246.4,7837.7,3.14,5.86MB / 3.09MB,139MB / 344kB
2025-12-16 13:40:44,5,96.31,244.8,7837.7,3.12,6.14MB / 3.24MB,139MB / 356kB
