timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-16 13:35:01,0,0.73,69.81,7837.7,0.89,41.9kB / 41.1kB,14.3MB / 61.4kB
2025-12-16 13:35:18,0,3.46,71.53,7837.7,0.91,166kB / 163kB,16.1MB / 61.4kB
2025-12-16 13:35:34,0,1.23,71.6,7837.7,0.91,307kB / 319kB,16.1MB / 61.4kB
2025-12-16 13:35:50,0,0.24,71.65,7837.7,0.91,425kB / 453kB,16.1MB / 61.4kB
2025-12-16 13:36:07,1,4.09,71.72,7837.7,0.92,558kB / 601kB,16.1MB / 61.4kB
2025-12-16 13:36:24,1,0.12,71.75,7837.7,0.92,668kB / 723kB,16.1MB / 61.4kB
2025-12-16 13:36:42,1,1.51,71.79,7837.7,0.92,793kB / 863kB,16.1MB / 61.4kB
2025-12-16 13:37:00,1,7.40,71.8,7837.7,0.92,925kB / 1.01MB,16.2MB / 61.4kB
2025-12-16 13:37:18,2,6.99,71.81,7837.7,0.92,1.04MB / 1.14MB,16.2MB / 61.4kB
2025-12-16 13:37:33,2,5.07,72.07,7837.7,0.92,1.15MB / 1.26MB,16.2MB / 61.4kB
2025-12-16 13:37:51,2,10.82,73.87,7837.7,0.94,1.27MB / 1.4MB,17.2MB / 61.4kB
2025-12-16 13:38:11,3,0.18,71.84,7837.7,0.92,1.37MB / 1.51MB,17.2MB / 213kB
2025-12-16 13:38:28,3,1.79,71.86,7837.7,0.92,1.49MB / 1.65MB,17.2MB / 213kB
2025-12-16 13:38:45,3,6.84,71.87,7837.7,0.92,1.61MB / 1.78MB,17.2MB / 213kB
2025-12-16 13:39:02,4,4.60,71.94,7837.7,0.92,1.71MB / 1.89MB,17.3MB / 213kB
2025-12-16 13:39:19,4,1.68,71.95,7837.7,0.92,1.78MB / 1.97MB,17.3MB / 213kB
2025-12-16 13:39:38,4,4.48,71.96,7837.7,0.92,1.88MB / 2.08MB,17.3MB / 213kB
