timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-01-02 11:00:56,157,1.67,11.04,7837.7,0.14,4.76MB / 5.21MB,22.4MB / 60.8MB
2026-01-02 11:01:13,157,1.94,11.06,7837.7,0.14,4.77MB / 5.21MB,22.4MB / 60.8MB
2026-01-02 11:01:28,158,0.17,11.06,7837.7,0.14,4.77MB / 5.22MB,22.4MB / 60.8MB
2026-01-02 11:01:45,158,0.08,11.07,7837.7,0.14,4.78MB / 5.23MB,22.4MB / 60.8MB
2026-01-02 11:02:01,158,0.12,11.07,7837.7,0.14,4.79MB / 5.24MB,22.4MB / 60.8MB
2026-01-02 11:02:18,159,0.19,11.07,7837.7,0.14,4.8MB / 5.25MB,22.4MB / 60.8MB
2026-01-02 11:02:33,159,0.08,11.07,7837.7,0.14,4.81MB / 5.26MB,22.4MB / 60.8MB
2026-01-02 11:02:50,159,0.09,11.07,7837.7,0.14,4.82MB / 5.27MB,22.4MB / 60.8MB
2026-01-02 11:03:05,159,0.11,11.07,7837.7,0.14,4.82MB / 5.27MB,22.4MB / 60.8MB
2026-01-02 11:03:21,160,0.08,11.07,7837.7,0.14,4.83MB / 5.28MB,22.4MB / 60.8MB
2026-01-02 11:03:37,160,0.16,11.07,7837.7,0.14,4.84MB / 5.29MB,22.4MB / 60.8MB
2026-01-02 11:03:52,160,0.12,11.07,7837.7,0.14,4.85MB / 5.3MB,22.4MB / 60.8MB
2026-01-02 11:04:08,160,0.19,11.07,7837.7,0.14,4.86MB / 5.31MB,22.4MB / 60.8MB
2026-01-02 11:04:23,161,0.41,11.07,7837.7,0.14,4.86MB / 5.31MB,22.4MB / 60.8MB
2026-01-02 11:04:38,161,0.08,11.08,7837.7,0.14,4.87MB / 5.32MB,22.4MB / 60.8MB
2026-01-02 11:04:56,161,0.39,11.08,7837.7,0.14,4.88MB / 5.33MB,22.4MB / 60.8MB
2026-01-02 11:05:12,161,3.18,11.08,7837.7,0.14,4.89MB / 5.34MB,22.4MB / 60.8MB
2026-01-02 11:05:29,162,0.10,11.08,7837.7,0.14,4.9MB / 5.35MB,22.4MB / 60.8MB
2026-01-02 11:05:47,162,0.17,11.08,7837.7,0.14,4.91MB / 5.36MB,22.4MB / 60.8MB
2026-01-02 11:06:02,162,0.13,11.08,7837.7,0.14,4.92MB / 5.37MB,22.4MB / 60.8MB
2026-01-02 11:06:18,163,0.27,11.08,7837.7,0.14,4.92MB / 5.38MB,22.4MB / 60.8MB
2026-01-02 11:06:34,163,0.09,11.08,7837.7,0.14,4.93MB / 5.39MB,22.4MB / 60.8MB
