timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-01-02 11:00:56,157,16.94,86.16,7837.7,1.10,1.07GB / 1.13GB,59.6MB / 51.4MB
2026-01-02 11:01:13,157,17.43,86,7837.7,1.10,1.07GB / 1.14GB,59.6MB / 51.4MB
2026-01-02 11:01:28,158,15.32,86.04,7837.7,1.10,1.07GB / 1.14GB,59.6MB / 51.4MB
2026-01-02 11:01:45,158,19.49,86.09,7837.7,1.10,1.07GB / 1.14GB,59.6MB / 51.4MB
2026-01-02 11:02:01,158,14.47,86.13,7837.7,1.10,1.08GB / 1.14GB,59.6MB / 51.4MB
2026-01-02 11:02:18,159,16.50,86.2,7837.7,1.10,1.08GB / 1.15GB,59.6MB / 51.4MB
2026-01-02 11:02:33,159,14.49,86.26,7837.7,1.10,1.08GB / 1.15GB,59.6MB / 51.4MB
2026-01-02 11:02:50,159,15.45,86.31,7837.7,1.10,1.08GB / 1.15GB,59.6MB / 51.4MB
2026-01-02 11:03:05,159,13.49,86.36,7837.7,1.10,1.08GB / 1.15GB,59.6MB / 51.4MB
2026-01-02 11:03:21,160,22.34,86.41,7837.7,1.10,1.09GB / 1.15GB,59.6MB / 51.4MB
2026-01-02 11:03:37,160,11.36,86.46,7837.7,1.10,1.09GB / 1.16GB,59.6MB / 51.4MB
2026-01-02 11:03:52,160,13.56,86.52,7837.7,1.10,1.09GB / 1.16GB,59.6MB / 51.4MB
2026-01-02 11:04:08,160,19.97,86.57,7837.7,1.10,1.09GB / 1.16GB,59.6MB / 51.4MB
2026-01-02 11:04:23,161,13.09,86.64,7837.7,1.11,1.09GB / 1.16GB,59.6MB / 51.4MB
2026-01-02 11:04:38,161,12.75,86.68,7837.7,1.11,1.09GB / 1.16GB,59.6MB / 51.4MB
2026-01-02 11:04:56,161,17.67,86.74,7837.7,1.11,1.1GB / 1.17GB,59.6MB / 51.4MB
2026-01-02 11:05:12,161,16.48,86.79,7837.7,1.11,1.1GB / 1.17GB,59.6MB / 51.4MB
2026-01-02 11:05:29,162,18.63,86.84,7837.7,1.11,1.1GB / 1.17GB,59.6MB / 51.4MB
2026-01-02 11:05:47,162,17.28,86.89,7837.7,1.11,1.1GB / 1.17GB,59.6MB / 51.4MB
2026-01-02 11:06:02,162,13.41,86.95,7837.7,1.11,1.1GB / 1.17GB,59.6MB / 51.4MB
2026-01-02 11:06:18,163,16.64,87,7837.7,1.11,1.11GB / 1.18GB,59.6MB / 51.4MB
2026-01-02 11:06:34,163,21.69,87.09,7837.7,1.11,1.11GB / 1.18GB,59.6MB / 51.5MB
2026-01-02 11:06:50,163,17.31,87.11,7837.7,1.11,1.11GB / 1.18GB,59.6MB / 51.5MB
2026-01-02 11:07:06,163,15.39,87.19,7837.7,1.11,1.11GB / 1.18GB,59.6MB / 51.5MB
2026-01-02 11:07:22,164,15.01,87.23,7837.7,1.11,1.11GB / 1.18GB,59.6MB / 51.5MB
2026-01-02 11:07:39,164,14.25,87.27,7837.7,1.11,1.12GB / 1.19GB,59.6MB / 51.5MB
2026-01-02 11:07:55,164,17.15,87.34,7837.7,1.11,1.12GB / 1.19GB,59.6MB / 51.5MB
2026-01-02 11:08:11,164,16.40,87.38,7837.7,1.11,1.12GB / 1.19GB,59.6MB / 51.5MB
2026-01-02 11:08:27,165,13.87,87.43,7837.7,1.12,1.12GB / 1.19GB,59.6MB / 51.5MB
2026-01-02 11:08:43,165,14.88,87.49,7837.7,1.12,1.12GB / 1.19GB,59.6MB / 51.5MB
2026-01-02 11:08:58,165,18.98,87.55,7837.7,1.12,1.13GB / 1.2GB,59.6MB / 51.5MB
2026-01-02 11:09:15,165,17.32,87.59,7837.7,1.12,1.13GB / 1.2GB,59.6MB / 51.5MB
2026-01-02 11:09:30,166,16.96,87.64,7837.7,1.12,1.13GB / 1.2GB,59.6MB / 51.5MB
2026-01-02 11:09:48,166,19.12,87.71,7837.7,1.12,1.13GB / 1.2GB,59.6MB / 51.5MB
2026-01-02 11:10:03,166,13.99,87.74,7837.7,1.12,1.13GB / 1.2GB,59.6MB / 51.5MB
2026-01-02 11:10:19,167,16.96,87.8,7837.7,1.12,1.14GB / 1.21GB,59.6MB / 51.5MB
2026-01-02 11:10:35,167,18.92,87.87,7837.7,1.12,1.14GB / 1.21GB,59.6MB / 51.5MB
2026-01-02 11:10:51,167,17.23,87.93,7837.7,1.12,1.14GB / 1.21GB,59.6MB / 51.5MB
2026-01-02 11:11:07,167,14.92,87.95,7837.7,1.12,1.14GB / 1.21GB,59.6MB / 51.6MB
2026-01-02 11:11:23,168,13.62,88,7837.7,1.12,1.14GB / 1.21GB,59.6MB / 51.6MB
2026-01-02 11:11:39,168,15.29,88.07,7837.7,1.12,1.14GB / 1.22GB,59.6MB / 51.6MB
2026-01-02 11:11:54,168,19.86,88.37,7837.7,1.13,1.15GB / 1.22GB,59.6MB / 51.6MB
2026-01-02 11:12:10,168,12.09,88.17,7837.7,1.13,1.15GB / 1.22GB,59.6MB / 51.6MB
2026-01-02 11:12:29,169,14.81,87.64,7837.7,1.12,1.15GB / 1.22GB,59.6MB / 51.6MB
2026-01-02 11:12:45,169,11.71,87.71,7837.7,1.12,1.15GB / 1.22GB,59.6MB / 51.6MB
2026-01-02 11:13:00,169,12.95,87.57,7837.7,1.12,1.15GB / 1.23GB,59.6MB / 51.6MB
2026-01-02 11:13:17,170,14.55,87.63,7837.7,1.12,1.16GB / 1.23GB,59.6MB / 51.6MB
2026-01-02 11:13:33,170,19.31,87.82,7837.7,1.12,1.16GB / 1.23GB,59.6MB / 51.6MB
2026-01-02 11:13:48,170,14.85,88.14,7837.7,1.12,1.16GB / 1.23GB,59.6MB / 51.6MB
2026-01-02 11:14:06,170,14.31,87.95,7837.7,1.12,1.16GB / 1.23GB,59.6MB / 51.6MB
2026-01-02 11:14:21,171,13.81,87.98,7837.7,1.12,1.16GB / 1.24GB,59.6MB / 51.6MB
2026-01-02 11:14:37,171,14.12,88.04,7837.7,1.12,1.17GB / 1.24GB,59.6MB / 51.6MB
2026-01-02 11:14:53,171,16.24,88.09,7837.7,1.12,1.17GB / 1.24GB,59.6MB / 51.6MB
2026-01-02 11:15:08,171,17.53,88.17,7837.7,1.12,1.17GB / 1.24GB,59.6MB / 51.6MB
2026-01-02 11:15:25,172,13.18,88.2,7837.7,1.13,1.17GB / 1.24GB,59.6MB / 51.6MB
2026-01-02 11:15:40,172,12.15,88.25,7837.7,1.13,1.17GB / 1.25GB,59.6MB / 51.6MB
