timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-01-02 11:00:56,157,12.62,40.58,7837.7,0.52,1.01GB / 253MB,14MB / 40.2MB
2026-01-02 11:01:13,157,9.41,40.64,7837.7,0.52,1.01GB / 253MB,14MB / 40.2MB
2026-01-02 11:01:28,158,17.19,40.7,7837.7,0.52,1.01GB / 254MB,14MB / 40.2MB
2026-01-02 11:01:45,158,13.39,40.75,7837.7,0.52,1.01GB / 254MB,14MB / 40.2MB
2026-01-02 11:02:01,158,13.87,41.05,7837.7,0.52,1.01GB / 255MB,14MB / 40.2MB
2026-01-02 11:02:18,159,11.64,40.85,7837.7,0.52,1.02GB / 255MB,14MB / 40.2MB
2026-01-02 11:02:33,159,12.00,40.91,7837.7,0.52,1.02GB / 255MB,14MB / 40.2MB
2026-01-02 11:02:50,159,12.75,40.96,7837.7,0.52,1.02GB / 256MB,14MB / 40.2MB
2026-01-02 11:03:05,159,11.48,41.02,7837.7,0.52,1.02GB / 256MB,14MB / 40.2MB
2026-01-02 11:03:21,160,9.80,41.07,7837.7,0.52,1.02GB / 257MB,14MB / 40.2MB
2026-01-02 11:03:37,160,9.93,41.12,7837.7,0.52,1.02GB / 257MB,14MB / 40.2MB
2026-01-02 11:03:52,160,8.60,41.18,7837.7,0.53,1.03GB / 258MB,14MB / 40.2MB
2026-01-02 11:04:08,160,11.56,41.22,7837.7,0.53,1.03GB / 258MB,14MB / 40.2MB
2026-01-02 11:04:23,161,11.49,41.28,7837.7,0.53,1.03GB / 259MB,14MB / 40.2MB
2026-01-02 11:04:38,161,10.42,41.34,7837.7,0.53,1.03GB / 259MB,14MB / 40.2MB
2026-01-02 11:04:56,161,8.65,41.39,7837.7,0.53,1.03GB / 259MB,14MB / 40.2MB
2026-01-02 11:05:12,161,8.05,41.44,7837.7,0.53,1.04GB / 260MB,14MB / 40.2MB
