timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-01-02 11:00:56,157,97.10,280.1,7837.7,3.57,158MB / 83.4MB,151MB / 69.9MB
2026-01-02 11:01:13,157,101.08,285.6,7837.7,3.64,158MB / 83.6MB,156MB / 69.9MB
2026-01-02 11:01:28,158,105.78,285.8,7837.7,3.65,158MB / 83.7MB,156MB / 69.9MB
2026-01-02 11:01:45,158,100.37,286,7837.7,3.65,159MB / 83.8MB,156MB / 69.9MB
2026-01-02 11:02:01,158,102.71,286.3,7837.7,3.65,159MB / 83.9MB,157MB / 69.9MB
2026-01-02 11:02:18,159,97.33,286.5,7837.7,3.66,159MB / 84MB,157MB / 69.9MB
2026-01-02 11:02:33,159,99.53,286.6,7837.7,3.66,159MB / 84.2MB,157MB / 70MB
2026-01-02 11:02:50,159,100.11,286.9,7837.7,3.66,160MB / 84.3MB,157MB / 70MB
2026-01-02 11:03:05,159,100.49,287,7837.7,3.66,160MB / 84.4MB,157MB / 70MB
2026-01-02 11:03:21,160,95.43,287.2,7837.7,3.66,160MB / 84.6MB,157MB / 70MB
2026-01-02 11:03:37,160,102.56,287.5,7837.7,3.67,160MB / 84.7MB,157MB / 70MB
2026-01-02 11:03:52,160,99.60,287.6,7837.7,3.67,161MB / 84.8MB,157MB / 70MB
2026-01-02 11:04:08,160,101.49,290.4,7837.7,3.71,161MB / 85MB,157MB / 70MB
2026-01-02 11:04:23,161,95.92,288,7837.7,3.67,161MB / 85.1MB,157MB / 70MB
2026-01-02 11:04:38,161,101.61,288.2,7837.7,3.68,161MB / 85.2MB,157MB / 70MB
2026-01-02 11:04:56,161,100.88,290.1,7837.7,3.70,162MB / 85.4MB,157MB / 70MB
2026-01-02 11:05:12,161,100.77,288.9,7837.7,3.69,162MB / 85.5MB,157MB / 70MB
2026-01-02 11:05:29,162,100.19,288.9,7837.7,3.69,162MB / 85.6MB,157MB / 70MB
2026-01-02 11:05:47,162,100.96,289.1,7837.7,3.69,162MB / 85.7MB,157MB / 70MB
2026-01-02 11:06:02,162,101.19,289.3,7837.7,3.69,163MB / 85.8MB,157MB / 70MB
2026-01-02 11:06:18,163,99.87,289.5,7837.7,3.69,163MB / 85.9MB,157MB / 70MB
2026-01-02 11:06:34,163,99.80,289.7,7837.7,3.70,163MB / 86.1MB,157MB / 70MB
2026-01-02 11:06:50,163,99.82,289.9,7837.7,3.70,163MB / 86.2MB,157MB / 70MB
2026-01-02 11:07:06,163,100.51,290.1,7837.7,3.70,164MB / 86.3MB,157MB / 70MB
2026-01-02 11:07:22,164,96.59,290.5,7837.7,3.71,164MB / 86.4MB,157MB / 70MB
2026-01-02 11:07:39,164,99.12,290.5,7837.7,3.71,164MB / 86.6MB,157MB / 70MB
2026-01-02 11:07:55,164,100.36,290.7,7837.7,3.71,164MB / 86.7MB,157MB / 70MB
2026-01-02 11:08:11,164,100.22,290.9,7837.7,3.71,165MB / 86.8MB,157MB / 70MB
2026-01-02 11:08:27,165,102.88,291.3,7837.7,3.72,165MB / 86.9MB,157MB / 70MB
2026-01-02 11:08:43,165,97.44,291.6,7837.7,3.72,165MB / 87MB,157MB / 70MB
2026-01-02 11:08:58,165,101.35,291.8,7837.7,3.72,165MB / 87.2MB,157MB / 70MB
2026-01-02 11:09:15,165,109.84,291.8,7837.7,3.72,166MB / 87.3MB,157MB / 70MB
2026-01-02 11:09:30,166,99.94,292,7837.7,3.73,166MB / 87.4MB,157MB / 70MB
2026-01-02 11:09:48,166,99.50,292.3,7837.7,3.73,166MB / 87.5MB,157MB / 70MB
2026-01-02 11:10:03,166,95.63,292.5,7837.7,3.73,166MB / 87.6MB,157MB / 70MB
2026-01-02 11:10:19,167,103.44,292.6,7837.7,3.73,167MB / 87.8MB,157MB / 70MB
2026-01-02 11:10:35,167,103.47,293.8,7837.7,3.75,167MB / 87.9MB,157MB / 70MB
2026-01-02 11:10:51,167,98.68,293,7837.7,3.74,167MB / 88MB,157MB / 70.1MB
2026-01-02 11:11:07,167,100.21,293.2,7837.7,3.74,167MB / 88.1MB,157MB / 70.1MB
2026-01-02 11:11:23,168,97.54,293.4,7837.7,3.74,168MB / 88.2MB,157MB / 70.1MB
2026-01-02 11:11:39,168,99.45,293.7,7837.7,3.75,168MB / 88.4MB,157MB / 70.1MB
2026-01-02 11:11:54,168,100.25,294,7837.7,3.75,168MB / 88.5MB,157MB / 70.1MB
2026-01-02 11:12:10,168,100.18,300.6,7837.7,3.84,168MB / 88.6MB,157MB / 74.9MB
2026-01-02 11:12:29,169,99.11,297.1,7837.7,3.79,169MB / 88.8MB,157MB / 74.9MB
2026-01-02 11:12:45,169,97.56,290.7,7837.7,3.71,169MB / 88.9MB,157MB / 75MB
2026-01-02 11:13:00,169,96.66,291,7837.7,3.71,169MB / 89.1MB,157MB / 75MB
2026-01-02 11:13:17,170,100.18,291.2,7837.7,3.72,169MB / 89.2MB,157MB / 75MB
2026-01-02 11:13:33,170,99.62,291.6,7837.7,3.72,170MB / 89.3MB,157MB / 75MB
2026-01-02 11:13:48,170,100.89,294.5,7837.7,3.76,170MB / 89.5MB,157MB / 75MB
2026-01-02 11:14:06,170,96.74,291.8,7837.7,3.72,170MB / 89.6MB,157MB / 75MB
2026-01-02 11:14:21,171,101.57,292,7837.7,3.73,171MB / 89.8MB,157MB / 75MB
2026-01-02 11:14:37,171,99.87,292.2,7837.7,3.73,171MB / 89.9MB,157MB / 75MB
2026-01-02 11:14:53,171,99.13,292.6,7837.7,3.73,171MB / 90MB,157MB / 75MB
2026-01-02 11:15:08,171,100.52,292.9,7837.7,3.74,171MB / 90.2MB,157MB / 75MB
2026-01-02 11:15:25,172,96.06,292.8,7837.7,3.74,172MB / 90.3MB,157MB / 75MB
2026-01-02 11:15:40,172,100.54,293,7837.7,3.74,172MB / 90.4MB,157MB / 75MB
2026-01-02 11:15:56,172,100.79,293.5,7837.7,3.75,172MB / 90.6MB,158MB / 75MB
2026-01-02 11:16:13,172,100.25,293.5,7837.7,3.74,172MB / 90.7MB,158MB / 75MB
2026-01-02 11:16:28,173,99.63,293.7,7837.7,3.75,173MB / 90.8MB,158MB / 75MB
