timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2026-01-02 11:00:56,157,0.26,24.48,7837.7,0.31,59.1MB / 66.8MB,17MB / 51.1MB
2026-01-02 11:01:13,157,3.04,31.05,7837.7,0.40,59.2MB / 66.9MB,25MB / 51.1MB
2026-01-02 11:01:28,158,6.61,31.05,7837.7,0.40,59.3MB / 67MB,25MB / 51.1MB
2026-01-02 11:01:45,158,1.55,31.06,7837.7,0.40,59.3MB / 67.1MB,25MB / 51.1MB
2026-01-02 11:02:01,158,4.69,31.07,7837.7,0.40,59.4MB / 67.2MB,25MB / 51.1MB
2026-01-02 11:02:18,159,0.12,31.07,7837.7,0.40,59.5MB / 67.3MB,25MB / 51.1MB
2026-01-02 11:02:33,159,0.16,31.07,7837.7,0.40,59.6MB / 67.3MB,25MB / 51.1MB
2026-01-02 11:02:50,159,1.17,31.08,7837.7,0.40,59.7MB / 67.5MB,25MB / 51.1MB
2026-01-02 11:03:05,159,1.02,31.08,7837.7,0.40,59.8MB / 67.6MB,25MB / 51.1MB
2026-01-02 11:03:21,160,1.20,31.09,7837.7,0.40,59.9MB / 67.7MB,25MB / 51.1MB
2026-01-02 11:03:37,160,2.29,31.09,7837.7,0.40,60MB / 67.8MB,25MB / 51.1MB
2026-01-02 11:03:52,160,0.12,31.09,7837.7,0.40,60.1MB / 67.9MB,25MB / 51.1MB
2026-01-02 11:04:08,160,7.15,31.1,7837.7,0.40,60.2MB / 68MB,25MB / 51.1MB
2026-01-02 11:04:23,161,1.82,31.11,7837.7,0.40,60.2MB / 68.1MB,25MB / 51.1MB
2026-01-02 11:04:38,161,0.19,31.11,7837.7,0.40,60.3MB / 68.2MB,25MB / 51.1MB
2026-01-02 11:04:56,161,0.11,31.12,7837.7,0.40,60.4MB / 68.3MB,25MB / 51.1MB
2026-01-02 11:05:12,161,7.43,31.13,7837.7,0.40,60.5MB / 68.4MB,25MB / 51.1MB
2026-01-02 11:05:29,162,5.38,31.13,7837.7,0.40,60.6MB / 68.4MB,25MB / 51.1MB
2026-01-02 11:05:47,162,1.80,31.14,7837.7,0.40,60.6MB / 68.5MB,25MB / 51.1MB
