timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-18 12:20:41,0,2.79,70.96,7837.7,0.91,33.1kB / 33.7kB,13.6MB / 401kB
2025-12-18 12:20:57,0,0.07,70.97,7837.7,0.91,40.5kB / 41.9kB,13.6MB / 401kB
2025-12-18 12:21:14,0,0.15,70.97,7837.7,0.91,48.4kB / 50.7kB,13.6MB / 401kB
2025-12-18 12:21:31,0,0.14,70.97,7837.7,0.91,56.8kB / 59.8kB,13.6MB / 401kB
2025-12-18 12:21:49,1,0.13,70.98,7837.7,0.91,64.8kB / 68.5kB,13.6MB / 401kB
2025-12-18 12:22:05,1,0.41,70.98,7837.7,0.91,72.1kB / 76.7kB,13.6MB / 401kB
2025-12-18 12:22:21,1,0.83,70.98,7837.7,0.91,80.3kB / 85.6kB,13.6MB / 401kB
2025-12-18 12:22:39,1,0.11,70.97,7837.7,0.91,88.1kB / 94.1kB,13.6MB / 401kB
2025-12-18 12:22:55,2,0.21,69.56,7837.7,0.89,97.3kB / 106kB,13.6MB / 627kB
2025-12-18 12:23:14,2,0.07,69.56,7837.7,0.89,105kB / 115kB,13.6MB / 627kB
2025-12-18 12:23:31,2,0.10,69.56,7837.7,0.89,114kB / 124kB,13.6MB / 627kB
2025-12-18 12:23:48,3,0.12,69.56,7837.7,0.89,121kB / 132kB,13.6MB / 627kB
2025-12-18 12:24:04,3,0.16,69.56,7837.7,0.89,128kB / 140kB,13.6MB / 627kB
2025-12-18 12:24:20,3,0.33,69.57,7837.7,0.89,136kB / 149kB,13.6MB / 627kB
2025-12-18 12:24:36,3,0.10,69.56,7837.7,0.89,144kB / 157kB,13.6MB / 627kB
2025-12-18 12:24:52,4,0.21,69.56,7837.7,0.89,152kB / 166kB,13.6MB / 627kB
2025-12-18 12:25:08,4,0.08,69.56,7837.7,0.89,160kB / 175kB,13.6MB / 627kB
2025-12-18 12:25:25,4,1.71,69.56,7837.7,0.89,169kB / 187kB,13.6MB / 627kB
2025-12-18 12:25:42,5,0.06,69.56,7837.7,0.89,176kB / 195kB,13.6MB / 627kB
2025-12-18 12:25:58,5,0.08,69.56,7837.7,0.89,184kB / 203kB,13.6MB / 627kB
2025-12-18 12:26:15,5,0.10,69.56,7837.7,0.89,192kB / 212kB,13.6MB / 627kB
2025-12-18 12:26:30,5,0.17,69.56,7837.7,0.89,199kB / 220kB,13.6MB / 627kB
2025-12-18 12:26:46,6,0.27,69.56,7837.7,0.89,207kB / 228kB,13.6MB / 627kB
2025-12-18 12:27:02,6,0.08,69.95,7837.7,0.89,215kB / 237kB,13.6MB / 627kB
2025-12-18 12:27:20,6,0.06,69.55,7837.7,0.89,223kB / 246kB,13.7MB / 627kB
2025-12-18 12:27:36,6,0.20,69.55,7837.7,0.89,231kB / 254kB,13.7MB / 627kB
2025-12-18 12:27:52,7,0.35,69.55,7837.7,0.89,239kB / 263kB,13.7MB / 627kB
2025-12-18 12:28:09,7,0.10,69.55,7837.7,0.89,246kB / 271kB,13.7MB / 627kB
2025-12-18 12:28:25,7,1.37,69.55,7837.7,0.89,255kB / 283kB,13.7MB / 627kB
2025-12-18 12:28:43,8,0.09,69.55,7837.7,0.89,263kB / 292kB,13.7MB / 627kB
2025-12-18 12:29:00,8,0.12,69.55,7837.7,0.89,271kB / 301kB,13.7MB / 627kB
2025-12-18 12:29:16,8,0.43,69.55,7837.7,0.89,279kB / 309kB,13.7MB / 627kB
2025-12-18 12:29:32,8,0.08,69.55,7837.7,0.89,286kB / 317kB,13.7MB / 627kB
2025-12-18 12:29:49,9,0.21,69.55,7837.7,0.89,295kB / 327kB,13.7MB / 627kB
2025-12-18 12:30:06,9,0.13,69.55,7837.7,0.89,303kB / 335kB,13.7MB / 627kB
2025-12-18 12:30:22,9,0.08,69.55,7837.7,0.89,311kB / 344kB,13.7MB / 627kB
2025-12-18 12:30:40,9,0.05,69.55,7837.7,0.89,319kB / 353kB,13.7MB / 627kB
2025-12-18 12:30:56,10,1.30,68.2,7837.7,0.87,328kB / 365kB,13.7MB / 627kB
2025-12-18 12:31:12,10,0.57,68.2,7837.7,0.87,336kB / 373kB,13.7MB / 627kB
2025-12-18 12:31:30,10,0.12,68.2,7837.7,0.87,344kB / 382kB,13.7MB / 627kB
2025-12-18 12:31:47,11,0.08,68.2,7837.7,0.87,352kB / 391kB,13.7MB / 627kB
2025-12-18 12:32:03,11,0.08,68.2,7837.7,0.87,359kB / 399kB,13.7MB / 627kB
2025-12-18 12:32:19,11,0.05,68.2,7837.7,0.87,367kB / 407kB,13.7MB / 627kB
