timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-18 12:20:41,0,0.39,58.3,7837.7,0.74,35.8kB / 35.7kB,18.5MB / 401kB
2025-12-18 12:20:57,0,0.19,58.32,7837.7,0.74,43.2kB / 43.9kB,18.5MB / 401kB
2025-12-18 12:21:14,0,0.08,58.32,7837.7,0.74,51.7kB / 52.9kB,18.5MB / 401kB
2025-12-18 12:21:31,0,0.19,58.32,7837.7,0.74,59.9kB / 61.8kB,18.5MB / 401kB
2025-12-18 12:21:49,1,0.16,58.32,7837.7,0.74,67.8kB / 70.5kB,18.5MB / 401kB
2025-12-18 12:22:05,1,0.06,58.32,7837.7,0.74,76.4kB / 81.7kB,18.5MB / 401kB
2025-12-18 12:22:21,1,1.02,58.32,7837.7,0.74,84.3kB / 90.5kB,18.5MB / 401kB
2025-12-18 12:22:39,1,0.13,58.32,7837.7,0.74,92kB / 99kB,18.5MB / 401kB
2025-12-18 12:22:55,2,0.11,55.43,7837.7,0.71,100kB / 108kB,18.5MB / 618kB
2025-12-18 12:23:14,2,0.29,55.45,7837.7,0.71,109kB / 117kB,18.5MB / 618kB
2025-12-18 12:23:31,2,0.23,55.44,7837.7,0.71,117kB / 126kB,18.5MB / 618kB
2025-12-18 12:23:48,3,0.22,55.44,7837.7,0.71,124kB / 134kB,18.5MB / 618kB
2025-12-18 12:24:04,3,1.64,55.44,7837.7,0.71,133kB / 145kB,18.5MB / 618kB
2025-12-18 12:24:20,3,2.66,55.44,7837.7,0.71,140kB / 154kB,18.5MB / 618kB
2025-12-18 12:24:36,3,0.15,55.44,7837.7,0.71,148kB / 162kB,18.5MB / 618kB
2025-12-18 12:24:52,4,0.23,55.45,7837.7,0.71,156kB / 171kB,18.5MB / 618kB
2025-12-18 12:25:08,4,0.25,55.45,7837.7,0.71,164kB / 180kB,18.5MB / 618kB
2025-12-18 12:25:25,4,0.12,55.45,7837.7,0.71,172kB / 188kB,18.5MB / 618kB
2025-12-18 12:25:42,5,0.28,55.45,7837.7,0.71,179kB / 197kB,18.5MB / 618kB
2025-12-18 12:25:58,5,0.18,55.45,7837.7,0.71,187kB / 205kB,18.5MB / 618kB
2025-12-18 12:26:15,5,0.08,55.45,7837.7,0.71,195kB / 214kB,18.5MB / 618kB
2025-12-18 12:26:30,5,0.10,55.45,7837.7,0.71,202kB / 222kB,18.5MB / 618kB
2025-12-18 12:26:46,6,0.13,55.38,7837.7,0.71,210kB / 230kB,18.5MB / 618kB
2025-12-18 12:27:02,6,0.10,57.57,7837.7,0.73,217kB / 239kB,18.5MB / 618kB
2025-12-18 12:27:20,6,1.13,57.16,7837.7,0.73,227kB / 251kB,18.6MB / 618kB
2025-12-18 12:27:36,6,0.16,57.16,7837.7,0.73,235kB / 259kB,18.6MB / 618kB
2025-12-18 12:27:52,7,0.18,57.15,7837.7,0.73,243kB / 268kB,18.6MB / 618kB
2025-12-18 12:28:09,7,0.16,57.15,7837.7,0.73,250kB / 277kB,18.6MB / 618kB
2025-12-18 12:28:25,7,0.06,57.15,7837.7,0.73,258kB / 285kB,18.6MB / 618kB
2025-12-18 12:28:43,8,0.09,57.16,7837.7,0.73,267kB / 294kB,18.6MB / 618kB
2025-12-18 12:29:00,8,0.21,57.16,7837.7,0.73,274kB / 303kB,18.6MB / 618kB
2025-12-18 12:29:16,8,0.22,57.16,7837.7,0.73,282kB / 311kB,18.6MB / 618kB
2025-12-18 12:29:32,8,0.27,57.15,7837.7,0.73,289kB / 319kB,18.6MB / 618kB
2025-12-18 12:29:49,9,0.22,57.16,7837.7,0.73,298kB / 329kB,18.6MB / 618kB
2025-12-18 12:30:06,9,0.22,57.1,7837.7,0.73,307kB / 340kB,18.6MB / 618kB
2025-12-18 12:30:22,9,0.11,52.63,7837.7,0.67,315kB / 349kB,18.6MB / 618kB
