timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-18 14:35:53,0,0.54,83.52,7837.7,1.07,28kB / 26.9kB,38.7MB / 475kB
2025-12-18 14:36:14,0,0.41,83.52,7837.7,1.07,36.9kB / 36.2kB,38.7MB / 475kB
2025-12-18 14:36:34,0,0.38,83.94,7837.7,1.07,45.8kB / 47.8kB,38.7MB / 475kB
2025-12-18 14:36:54,1,0.79,72.88,7837.7,0.93,53.8kB / 56.5kB,38.7MB / 475kB
2025-12-18 14:37:12,1,0.64,72.88,7837.7,0.93,62kB / 65.4kB,38.7MB / 475kB
2025-12-18 14:37:33,1,3.18,72.88,7837.7,0.93,71kB / 77kB,38.7MB / 475kB
2025-12-18 14:37:52,1,0.41,72.88,7837.7,0.93,79.6kB / 86.3kB,38.7MB / 475kB
2025-12-18 14:38:12,2,0.28,72.88,7837.7,0.93,88kB / 95.3kB,38.7MB / 475kB
2025-12-18 14:38:31,2,7.54,79.26,7837.7,1.01,97.6kB / 107kB,38.7MB / 475kB
2025-12-18 14:38:51,2,0.29,81.54,7837.7,1.04,107kB / 117kB,38.9MB / 475kB
2025-12-18 14:39:13,3,0.33,76.8,7837.7,0.98,116kB / 126kB,38.9MB / 475kB
2025-12-18 14:39:33,3,0.35,76.81,7837.7,0.98,125kB / 139kB,38.9MB / 475kB
2025-12-18 14:39:51,3,0.45,76.8,7837.7,0.98,133kB / 147kB,38.9MB / 475kB
2025-12-18 14:40:14,4,42.18,77.76,7837.7,0.99,1.45MB / 1.54MB,39.1MB / 475kB
2025-12-18 14:40:39,4,28.89,78.15,7837.7,1.00,3.04MB / 3.23MB,39.1MB / 487kB
2025-12-18 14:41:00,5,38.02,70.81,7837.7,0.90,5.99MB / 6.3MB,39.1MB / 487kB
2025-12-18 14:41:22,5,20.43,71.12,7837.7,0.91,7.88MB / 8.28MB,39.1MB / 512kB
2025-12-18 14:41:41,5,21.61,70.93,7837.7,0.90,9.85MB / 10.4MB,39.1MB / 512kB
2025-12-18 14:42:05,6,34.53,70.96,7837.7,0.91,11.7MB / 12.3MB,39.1MB / 524kB
2025-12-18 14:42:26,6,16.65,73.2,7837.7,0.93,13.4MB / 14.1MB,40.7MB / 664kB
2025-12-18 14:42:45,6,21.27,71.8,7837.7,0.92,15.3MB / 16.1MB,40.7MB / 2MB
2025-12-18 14:43:03,7,22.12,71.87,7837.7,0.92,17.1MB / 18.1MB,40.7MB / 2.01MB
2025-12-18 14:43:20,7,27.22,72.19,7837.7,0.92,18.9MB / 20MB,40.7MB / 2.02MB
2025-12-18 14:43:38,7,26.15,72.25,7837.7,0.92,20.8MB / 22MB,40.7MB / 2.02MB
2025-12-18 14:43:58,8,29.17,72.02,7837.7,0.92,22.5MB / 23.8MB,40.7MB / 2.02MB
2025-12-18 14:44:20,8,20.74,72.07,7837.7,0.92,24.2MB / 25.6MB,40.7MB / 2.02MB
2025-12-18 14:44:39,8,22.76,71.78,7837.7,0.92,26.2MB / 27.6MB,40.7MB / 2.61MB
2025-12-18 14:44:59,9,23.19,71.64,7837.7,0.91,28MB / 29.6MB,40.7MB / 4.82MB
2025-12-18 14:45:21,9,14.88,67.33,7837.7,0.86,30MB / 31.7MB,40.7MB / 6.77MB
2025-12-18 14:45:41,9,23.09,67.37,7837.7,0.86,32MB / 33.8MB,40.7MB / 6.77MB
2025-12-18 14:46:01,10,24.23,67.46,7837.7,0.86,34MB / 35.9MB,40.7MB / 6.77MB
2025-12-18 14:46:22,10,23.23,67.51,7837.7,0.86,35.7MB / 37.7MB,40.7MB / 6.77MB
2025-12-18 14:46:43,10,25.27,67.17,7837.7,0.86,37.3MB / 39.5MB,40.7MB / 7.52MB
2025-12-18 14:47:11,11,23.24,64.18,7837.7,0.82,39.3MB / 41.6MB,40.7MB / 9.06MB
2025-12-18 14:47:31,11,33.27,64.25,7837.7,0.82,41.2MB / 43.6MB,40.7MB / 9.06MB
2025-12-18 14:47:54,12,21.99,64.32,7837.7,0.82,43MB / 45.5MB,40.7MB / 9.06MB
2025-12-18 14:48:13,12,25.80,64.38,7837.7,0.82,44.7MB / 47.4MB,40.7MB / 9.07MB
2025-12-18 14:48:32,12,25.90,64.72,7837.7,0.83,46.7MB / 49.4MB,40.7MB / 9.08MB
2025-12-18 14:48:53,13,28.71,56.48,7837.7,0.72,48.6MB / 51.5MB,40.7MB / 16.9MB
2025-12-18 14:49:12,13,21.85,56.13,7837.7,0.72,50.7MB / 53.6MB,40.9MB / 20.5MB
2025-12-18 14:49:33,13,22.50,54.55,7837.7,0.70,52.7MB / 55.8MB,40.9MB / 22.3MB
2025-12-18 14:49:57,14,17.64,51.64,7837.7,0.66,54.3MB / 57.5MB,40.9MB / 25.5MB
2025-12-18 14:50:20,14,22.02,49,7837.7,0.63,56.1MB / 59.4MB,40.9MB / 27.9MB
2025-12-18 14:50:45,14,29.02,47.02,7837.7,0.60,57.9MB / 61.3MB,40.9MB / 28.6MB
2025-12-18 14:51:06,15,29.86,45.75,7837.7,0.58,59.8MB / 63.3MB,40.9MB / 29.2MB
2025-12-18 14:51:27,15,28.05,42.26,7837.7,0.54,61.6MB / 65.2MB,40.9MB / 31.7MB
2025-12-18 14:51:46,15,26.23,42.54,7837.7,0.54,63.3MB / 67MB,40.9MB / 31.7MB
