timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-18 14:35:53,0,0.24,70.41,7837.7,0.90,24.8kB / 24.8kB,4.27MB / 475kB
2025-12-18 14:36:14,0,0.24,70.41,7837.7,0.90,34.8kB / 37.2kB,4.27MB / 475kB
2025-12-18 14:36:34,0,0.17,70.45,7837.7,0.90,42.9kB / 46.1kB,4.27MB / 475kB
2025-12-18 14:36:54,1,0.18,68.56,7837.7,0.87,51.2kB / 54.9kB,4.27MB / 475kB
2025-12-18 14:37:12,1,0.19,68.56,7837.7,0.87,60.1kB / 66.5kB,4.27MB / 475kB
2025-12-18 14:37:33,1,0.51,68.56,7837.7,0.87,68.4kB / 75.4kB,4.27MB / 475kB
2025-12-18 14:37:52,1,0.44,68.56,7837.7,0.87,76.8kB / 84.5kB,4.27MB / 475kB
2025-12-18 14:38:12,2,0.54,68.57,7837.7,0.87,86.3kB / 96.5kB,4.27MB / 475kB
2025-12-18 14:38:31,2,0.19,69.49,7837.7,0.89,94.6kB / 105kB,4.27MB / 475kB
2025-12-18 14:38:51,2,0.34,70.76,7837.7,0.90,104kB / 115kB,6.14MB / 475kB
2025-12-18 14:39:13,3,0.91,70.78,7837.7,0.90,114kB / 128kB,6.34MB / 475kB
2025-12-18 14:39:33,3,0.48,70.78,7837.7,0.90,123kB / 137kB,6.34MB / 475kB
2025-12-18 14:39:51,3,0.54,70.78,7837.7,0.90,131kB / 146kB,6.34MB / 475kB
2025-12-18 14:40:14,4,0.31,70.78,7837.7,0.90,138kB / 156kB,6.34MB / 475kB
2025-12-18 14:40:39,4,0.63,70.93,7837.7,0.91,154kB / 173kB,6.35MB / 475kB
2025-12-18 14:41:00,5,2.65,68.45,7837.7,0.87,180kB / 202kB,6.35MB / 475kB
2025-12-18 14:41:22,5,0.67,68.46,7837.7,0.87,198kB / 220kB,6.35MB / 475kB
2025-12-18 14:41:41,5,4.84,68.47,7837.7,0.87,225kB / 249kB,6.35MB / 475kB
2025-12-18 14:42:05,6,0.46,68.48,7837.7,0.87,244kB / 269kB,6.35MB / 475kB
2025-12-18 14:42:26,6,3.82,68.81,7837.7,0.88,262kB / 290kB,6.35MB / 475kB
2025-12-18 14:42:45,6,0.17,65.03,7837.7,0.83,280kB / 308kB,8.86MB / 7.3MB
2025-12-18 14:43:03,7,0.16,62.68,7837.7,0.80,306kB / 335kB,8.87MB / 9.54MB
2025-12-18 14:43:20,7,0.38,62.68,7837.7,0.80,333kB / 362kB,8.87MB / 9.54MB
2025-12-18 14:43:38,7,0.35,62.68,7837.7,0.80,357kB / 388kB,8.87MB / 9.54MB
2025-12-18 14:43:58,8,0.66,62.71,7837.7,0.80,375kB / 410kB,8.89MB / 9.54MB
2025-12-18 14:44:20,8,1.04,62.71,7837.7,0.80,393kB / 429kB,8.89MB / 9.54MB
2025-12-18 14:44:39,8,0.15,62.72,7837.7,0.80,418kB / 457kB,8.89MB / 9.54MB
2025-12-18 14:44:59,9,0.20,56.07,7837.7,0.72,436kB / 479kB,8.89MB / 16.8MB
2025-12-18 14:45:21,9,0.82,54.41,7837.7,0.69,464kB / 507kB,12MB / 21.4MB
2025-12-18 14:45:41,9,3.84,50.43,7837.7,0.64,489kB / 529kB,12MB / 25.9MB
2025-12-18 14:46:01,10,0.27,44.64,7837.7,0.57,507kB / 557kB,12MB / 31.7MB
2025-12-18 14:46:22,10,0.54,35.11,7837.7,0.45,525kB / 575kB,12MB / 41.7MB
2025-12-18 14:46:43,10,0.42,19.24,7837.7,0.25,543kB / 597kB,12MB / 49.3MB
2025-12-18 14:47:11,11,0.42,19.34,7837.7,0.25,571kB / 629kB,12.6MB / 49.3MB
2025-12-18 14:47:31,11,1.93,19.36,7837.7,0.25,589kB / 647kB,12.6MB / 49.3MB
2025-12-18 14:47:54,12,0.31,19.38,7837.7,0.25,614kB / 675kB,12.6MB / 49.3MB
2025-12-18 14:48:13,12,0.26,19.39,7837.7,0.25,632kB / 696kB,12.6MB / 49.3MB
2025-12-18 14:48:32,12,7.28,19.41,7837.7,0.25,657kB / 724kB,12.6MB / 49.3MB
2025-12-18 14:48:53,13,0.26,18.32,7837.7,0.23,674kB / 742kB,12.6MB / 50.6MB
